id,margin,dewey,truman,other
1001,81.65%,8.55%,0,91.45%
1003,52.54%,22.26%,0,77.74%
1005,88.26%,5.65%,0,94.35%
1007,79.30%,9.16%,0,90.84%
1009,38.90%,30.08%,0,69.92%
1011,97.53%,0,0,100.00%
1013,86.73%,6.46%,0,93.54%
1015,56.92%,20.47%,0,79.53%
1017,73.68%,12.34%,0,87.66%
1019,64.81%,16.78%,0,83.22%
1021,10.70%,44.38%,0,55.62%
1023,97.74%,0,0,100.00%
1025,95.36%,2.23%,0,97.77%
1027,47.87%,25.77%,0,74.23%
1029,37.29%,30.87%,0,69.13%
1031,89.13%,5.25%,0,94.75%
1033,67.87%,15.62%,0,84.38%
1035,90.49%,4.54%,0,95.46%
1037,50.27%,24.47%,0,75.53%
1039,88.90%,5.25%,0,94.75%
1041,94.13%,2.65%,0,97.35%
1043,34.15%,32.72%,0,67.28%
1045,70.04%,14.36%,0,85.64%
1047,90.17%,4.60%,0,95.40%
1049,13.11%,43.31%,0,56.69%
1051,86.38%,6.50%,0,93.50%
1053,79.33%,9.99%,0,90.01%
1055,55.87%,21.08%,0,78.92%
1057,27.31%,35.76%,0,64.24%
1059,11.58%,44.10%,0,55.90%
1061,72.40%,13.47%,0,86.53%
1063,89.94%,4.73%,0,95.27%
1065,91.81%,3.96%,0,96.04%
1067,91.27%,4.32%,0,95.68%
1069,72.32%,13.46%,0,86.54%
1071,47.85%,25.69%,0,74.31%
1073,60.17%,19.18%,0,80.82%
1075,77.31%,11.10%,0,88.90%
1077,70.96%,14.29%,0,85.71%
1079,59.75%,19.77%,0,80.23%
1081,73.39%,12.86%,0,87.14%
1083,87.84%,5.65%,0,94.35%
1085,91.79%,0,0,100.00%
1087,81.59%,9.08%,0,90.92%
1089,70.36%,13.22%,0,86.78%
1091,92.95%,3.45%,0,96.55%
1093,33.64%,32.84%,0,67.16%
1095,48.13%,25.69%,0,74.31%
1097,58.88%,19.41%,0,80.59%
1099,96.06%,0,0,100.00%
1101,74.88%,11.13%,0,88.87%
1103,75.97%,11.68%,0,88.32%
1105,92.69%,2.78%,0,97.22%
1107,87.40%,5.97%,0,94.03%
1109,90.19%,4.74%,0,95.26%
1111,45.09%,27.11%,0,72.89%
1113,88.51%,5.29%,0,94.71%
1115,28.19%,35.67%,0,64.33%
1117,33.94%,32.66%,0,67.34%
1119,90.39%,4.67%,0,95.33%
1121,67.04%,16.01%,0,83.99%
1123,87.03%,6.31%,0,93.69%
1125,74.04%,12.06%,0,87.94%
1127,35.75%,30.72%,0,69.28%
1129,94.72%,2.31%,0,97.69%
1131,97.62%,0,0,100.00%
1133,29.29%,64.34%,0,35.66%
2013,0%,0,0,0.00%
2016,0%,0,0,0.00%
2020,0%,0,0,0.00%
2050,0%,0,0,0.00%
2060,0%,0,0,0.00%
2068,0%,0,0,0.00%
2070,0%,0,0,0.00%
2090,0%,0,0,0.00%
2100,0%,0,0,0.00%
2105,0%,0,0,0.00%
2110,0%,0,0,0.00%
2122,0%,0,0,0.00%
2130,0%,0,0,0.00%
2150,0%,0,0,0.00%
2164,0%,0,0,0.00%
2170,0%,0,0,0.00%
2180,0%,0,0,0.00%
2185,0%,0,0,0.00%
2188,0%,0,0,0.00%
2195,0%,0,0,0.00%
2198,0%,0,0,0.00%
2220,0%,0,0,0.00%
2230,0%,0,0,0.00%
2240,0%,0,0,0.00%
2261,0%,0,0,0.00%
2270,0%,0,0,0.00%
2275,0%,0,0,0.00%
2282,0%,0,0,0.00%
2290,0%,0,0,0.00%
4001,20.77%,39.51%,60.29%,0.20%
4003,22.60%,37.16%,59.77%,3.07%
4005,4.86%,47.13%,51.99%,0.88%
4007,33.74%,32.06%,65.79%,2.15%
4009,27.47%,35.71%,63.17%,1.12%
4011,46.91%,22.97%,69.88%,7.15%
4012,0%,0,0,0.00%
4013,4.95%,46.31%,51.27%,2.42%
4015,12.24%,43.03%,55.27%,1.70%
4017,18.13%,40.32%,58.45%,1.23%
4019,2.03%,47.63%,49.66%,2.71%
4021,22.76%,37.91%,60.68%,1.41%
4023,14.53%,42.00%,56.53%,1.47%
4025,1.70%,48.05%,49.75%,2.20%
4027,31.00%,33.37%,64.37%,2.26%
5001,29.05%,21.96%,53.07%,24.97%
5003,62.38%,8.18%,76.58%,15.24%
5005,30.97%,31.42%,62.39%,6.19%
5007,5.68%,44.70%,50.38%,4.92%
5009,33.85%,30.01%,63.86%,6.13%
5011,40.88%,9.74%,65.20%,25.06%
5013,72.33%,4.90%,83.66%,11.44%
5015,13.75%,41.35%,55.10%,3.55%
5017,20.09%,11.52%,54.03%,34.45%
5019,54.48%,15.27%,69.75%,14.98%
5021,38.53%,28.41%,66.94%,4.65%
5023,51.76%,21.56%,73.32%,5.12%
5025,43.14%,7.85%,67.50%,24.65%
5027,27.71%,7.28%,59.98%,32.74%
5029,54.85%,17.32%,72.17%,10.51%
5031,42.74%,14.85%,63.37%,21.78%
5033,24.66%,33.94%,58.60%,7.46%
