id,1968
1001,13b532
1003,1dc419
1005,0cb03c
1007,0ecc23
1009,38b709
1011,0b7e73
1013,11c22a
1015,1db627
1017,19bd20
1019,0fd614
1021,2dbd10
1023,07b144
1025,0eb632
1027,23cc0c
1029,1ed30a
1031,10d219
1033,1cb925
1035,08b636
1037,16bd29
1039,10dd0f
1041,09d121
1043,49a310
1045,0fd516
1047,138663
1049,5b8b15
1051,11c325
1053,10c823
1055,23af25
1057,21bf1b
1059,46a510
1061,08e90b
1063,0b638f
1065,0c8e61
1067,00cb2e
1069,0fd516
1071,1bc617
1073,318445
1075,0fe10d
1077,27b51d
1079,13d316
1081,2d9536
1083,15cf15
1085,128e60
1087,0a40b1
1089,409227
1091,0c9060
1093,2dc20b
1095,29c20e
1097,1dab33
1099,0db53a
1101,249542
1103,22c015
1105,0e7f70
1107,0cb739
1109,14b82f
1111,1fbf18
1113,0fab3d
1115,2ab916
1117,28b71a
1119,10727b
1121,1ab72a
1123,19c31c
1125,22a731
1127,22bd19
1129,08cb28
1131,0d905f
1133,648b0b
2013,0
2016,0
2020,0
2050,0
2060,0
2068,0
2070,0
2090,0
2100,0
2105,0
2110,0
2122,0
2130,0
2150,0
2164,0
2170,0
2180,0
2185,0
2188,0
2195,0
2198,0
2220,0
2230,0
2240,0
2261,0
2270,0
2275,0
2282,0
2290,0
4001,7f1865
4003,742464
4005,97174e
4007,5e207e
4009,782c59
4011,4512a5
4012,772164
4013,961750
4015,832456
4017,822852
4019,811267
4021,6c1d74
4023,7a1170
4025,952047
4027,772164
5001,3c7e43
5003,2f8d41
5005,7e3848
5007,7f3f40
5009,734a41
5011,2a874d
5013,218d50
5015,823b41
5017,276275
5019,3a6261
5021,605b42
5023,4f6549
5025,20b42a
5027,3b764c
5029,4d4c64
5031,526e3d
5033,606737
5035,3b7053
5037,308845
5039,2e7857
5041,2b6e65
5043,387d48
5045,416657
5047,4a753f
5049,5c534e
5051,605747
5053,2b983b
5055,5a5f45
5057,3e6e51
5059,388343
5061,516943
5063,5a5a4a
5065,4f5e50
5067,31814b
5069,336a60
5071,535457
5073,2f7955
5075,497342
5077,2b636f
5079,208c51
5081,397154
5083,5b544e
5085,378442
5087,783551
5089,6c444d
5091,3f7946
5093,476552
5095,297a5b
5097,596441
5099,367355
5101,81324b
5103,2f6c63
5105,526646
5107,2f5f6f
5109,557632
5111,458336
5113,66583f
5115,61514b
5117,318f3e
5119,545257
5121,4a6152
5123,2c765b
5125,3b7d46
5127,575c4a
5129,903736
5131,71513b
5133,50634a
5135,535f4b
5137,5e5d42
5139,487441
5141,5b544f
5143,7c3b47
5145,516a43
5147,2b7959
5149,575e51
6001,5f1189
6003,971453
6005,6b1f73
6007,901953
6009,851c5d
6011,831367
6013,711576
6015,75186e
6017,7c1c65
6019,6f1478
6021,891c58
6023,751374
6025,861a5d
6027,8a1b58
6029,761b6c
6031,6d1779
6033,7c1769
6035,681d78
6037,790e77
6039,6f137b
6041,7f0b6f
6043,7f1965
6045,761671
6047,681481
6049,851662
6051,a31643
6053,7f126b
6055,6f1b73
6057,831763
6059,a1104c
6061,6c167a
6063,5f1886
6065,861462
6067,6a1181
6069,791273
6071,7f1865
6073,8f125b
6075,550e98
6077,7a176c
6079,82106a
6081,6f1078
6083,880d66
6085,740d7b
6087,811168
6089,67187e
6091,751277
6093,751474
6095,581d88
6097,7c136d
6099,730f7a
6101,971551
6103,781c69
6105,6d216e
6107,851464
6109,79186d
6111,821268
6113,610f8b
6115,7a1d66
8001,6f1a73
8003,8c1160
8005,981153
8007,7e156a
8009,922249
8011,79166f
8013,930d5c
8014,0
8015,821566
8017,8e1d53
8019,86185f
8021,740a7f
8023,5205a0
8025,80205d
8027,9a1b48
8029,8d1759
8031,6f0d80
8033,872d4a
8035,9c1a46
8037,7d136e
8039,9b1b48
8041,891a5a
8043,881a5b
8045,85195f
8047,862551
8049,ab123f
8051,940e5b
8053,a81d39
8055,590b98
8057,ac1240
8059,911359
8061,8f1758
8063,9b1250
8065,5a1988
8067,911656
8069,9e0f4e
8071,540d9c
8073,911953
8075,911854
8077,7e1867
8079,6f1579
8081,9e1c43
8083,8f1f4e
8085,861c5a
8087,9c144e
8089,7e1369
8091,842752
8093,952147
8095,911854
8097,8f115b
8099,7d166a
8101,57148f
8103,a4193f
8105,940b5f
8107,89195c
8109,850f69
8111,752a5f
8113,871364
8115,9b0f54
8117,921952
8119,852e4a
8121,9b2141
8123,921258
8125,9f144a
9001,84106a
9003,620c8f
9005,7c0d74
9007,730e7c
9009,691381
9011,710e7e
9013,730d7d
9015,680a8c
10001,71305c
10003,721d6f
10005,782c5a
11001,2e00d0
12001,564e5a
12003,1bb62d
12005,359f2a
12007,26993f
12009,7a483c
12011,8a294a
12013,1dc120
12015,80304d
12017,625c3f
12019,596f35
12021,814735
12023,358c3c
12027,447f3a
12029,1abc27
12031,4e5c53
12033,388a3c
12035,337556
12037,2a9b38
12039,257d5c
12041,1ebc23
12043,3c8c35
12045,18b62f
12047,1f924c
12049,488f27
12051,447d3c
12053,576641
12055,6d533e
12057,585452
12059,11de0e
12061,823c3f
12063,19b233
12065,258157
12067,17c225
12069,78562f
12071,754741
12073,486451
12075,2f9d31
12077,16c423
12079,23914a
12081,853c3c
12083,536b40
12085,813d40
12086,5e257b
12087,57495e
12089,328d3e
12091,439525
12093,49872d
12095,804539
12097,6f5c32
12099,872f47
12101,6c4d45
12103,832852
12105,5e6a35
12107,447743
12109,57693d
12111,6d424e
12113,33ab20
12115,a22536
12117,714c40
12119,2d9040
12121,24a832
12123,28a72f
12125,1bb62c
12127,653e5a
12129,1ab42f
12131,22b625
12133,1bbe25
13001,2fa12d
13003,1d9c45
13005,35b019
13007,0e9e51
13009,53604b
13011,2fab23
13013,438634
13015,3f7d42
13017,328a42
13019,25bb1e
13021,536a41
13023,35ad1b
13025,1ac023
13027,27a235
13029,29993c
13031,44803a
13033,495d57
13035,317d50
13037,1f825d
13039,31824b
13043,329536
13045,428a31
13047,37af18
13049,2b973b
13051,565256
13053,229448
13055,338f3b
13057,5b7231
13059,633b5f
13061,1a7b68
13063,597e28
13065,2ba32f
13067,696431
13069,319735
13071,33ac1e
13073,577630
13075,25ae2b
13077,538129
13079,268b4c
13081,2d9f31
13083,2eba15
13085,518627
13087,1ba53e
13089,803a44
13091,2f9837
13093,249247
13095,4c7e34
13097,40922b
13099,15b633
13101,15d316
13103,31a428
13105,2b9a39
13107,36893e
13109,379531
13111,963335
13113,42912a
13115,58762f
13117,4f8925
13119,2ba42e
13121,5b346e
13123,834f2b
13125,30c10c
13127,4d6e43
13129,4c8130
13131,18a73e
13133,2f5876
13135,4e812f
13137,48862f
13139,5c673b
13141,1a4d97
13143,439723
13145,427745
13147,1fab34
13149,2aa232
13151,40734a
13153,4b8131
13155,26ae2a
13157,2f903f
13159,346a60
13161,32ab20
13163,3b665c
13165,397e49
13167,21b527
13169,317e4e
13171,348247
13173,27a92d
13175,368444
13177,2b874b
13179,2a6271
13181,2f9639
13183,169552
13185,468136
13187,527d2f
13189,536c3e
13191,266672
13193,317f4e
13195,28ab2a
13197,25a831
13199,347852
13201,1bd013
13205,21a538
13207,3c7051
13209,279f38
13211,347753
13213,547436
13215,527437
13217,3f734c
13219,478d29
13221,25aa2f
13223,319a33
13225,3b6a58
13227,715f2e
13229,2da928
13231,249842
13233,378740
13235,389530
13237,376d5a
13239,1e9c43
13241,408538
13243,2b7b58
13245,694252
13247,417a42
13249,269048
13251,387056
13253,14c425
13255,477344
13257,408b33
13259,238f4b
13261,358741
13263,357355
13265,295b79
13267,29a62e
13269,249941
13271,2b953e
13273,267e61
13275,3a8142
13277,3f932c
13279,3e9828
13281,853444
13283,3f912d
13285,42803b
13287,27af27
13289,258059
13291,644a50
13293,398b39
13295,419b22
13297,329338
13299,339338
13301,3a6f54
13303,436d4d
13305,3a982b
13307,19b034
13309,268e4a
13311,527d2f
13313,6a573c
13315,24ae2c
13317,3e7b44
13319,338c3e
13321,23b129
15001,5f009c
15003,630097
15005,0
15007,5d009e
15009,60009b
16001,a0203d
16003,962840
16005,7a186c
16007,990e59
16009,711874
16011,991e48
16013,892253
16015,8d3040
16017,741c6e
16019,a41b3e
16021,782462
16023,811b61
16025,8f313e
16027,a0213c
16029,9e1d42
16031,a32634
16033,a91e36
16035,5e1987
16037,7f3a45
16039,812a53
16041,a81e37
16043,952b3e
16045,931f4b
16047,8d333d
16049,782561
16051,9c2f33
16053,9a2e36
16055,7a196b
16057,831169
16059,923536
16061,621983
16063,a02439
16065,ac1d34
16067,8f333c
16069,651583
16071,a80f46
16073,98293d
16075,9c243e
16077,991c49
16079,671681
16081,931b50
16083,a02637
16085,932744
16087,93204b
17001,8a185b
17003,5d356b
17005,861b5c
17007,9e144a
17009,831365
17011,980f55
17013,7d156b
17015,a20d4e
17017,790f75
17019,881460
17021,6b1879
17023,8f1c53
17025,8d155b
17027,89185d
17029,86195e
17031,681480
17033,941555
17035,87195c
17037,a10d4d
17039,8a185b
17041,971354
17043,a91241
17045,8f1d51
17047,a21843
17049,8e105f
17051,851762
17053,a61146
17055,6d177a
17057,770f77
17059,6d1878
17061,821566
17063,97184e
17065,861d5a
17067,991253
17069,83106a
17071,881164
17073,8c135e
17075,ad133d
17077,761572
17079,84205a
17081,791a6a
17083,771e71
17085,961057
17087,9a1b49
17089,9d124d
17091,851860
17093,b31337
17095,89175d
17097,90125a
17099,800c71
17101,8b1b57
17103,a00f4f
17105,a70d49
17107,9a1351
17109,a70c4a
17111,a81043
17113,970f56
17115,6b1a77
17117,6f1975
17119,632574
17121,75186f
17123,940b5d
17125,7e126d
17127,8d244c
17129,981253
17131,8f125d
17133,8d224e
17135,751672
17137,8b1162
17139,801765
17141,af0f3f
17143,7f136a
17145,7d1a67
17147,8f1658
17149,81116b
17151,921952
17153,5f2c72
17155,891064
17157,801a63
17159,951a4e
17161,6e127d
17163,572680
17165,7f116e
17167,7f1767
17169,991351
17171,8d1759
17173,7d1967
17175,9f104e
17177,970d5a
17179,78186d
17181,761a6d
17183,7d215f
17185,8c1859
17187,991550
17189,a11646
17191,971452
17193,891362
17195,9d0c54
17197,7d245b
17199,801568
17201,851167
17203,9d1150
18001,821169
18003,8a155e
18005,8e1956
18007,971254
18009,771471
18011,96194e
18013,7d2758
18015,8f1b54
18017,831763
18019,612f6d
18021,812359
18023,891163
18025,7f235b
18027,901a53
18029,7c2260
18031,8d125d
18033,91115a
18035,792064
18037,6e127e
18039,931455
18041,771f66
18043,682372
18045,872155
18047,851d5b
18049,9a164d
18051,7a176c
18053,851d5a
18055,7b1a67
18057,ac1a37
18059,8f244a
18061,732861
18063,98273e
18065,861b5c
18067,802459
18069,8a1360
18071,842058
18073,9a1e44
18075,821566
18077,7d1a65
18079,822358
18081,922447
18083,771d68
18085,a31545
18087,9c114f
18089,5d2977
18091,7e1c62
18093,8a1f53
18095,7b1c66
18097,851a5e
18099,901a53
18101,751c6c
18103,88185d
18105,811665
18107,98164f
18109,8d313f
18111,9d1848
18113,821863
18115,751b6e
18117,8b1b57
18119,832357
18121,852058
18123,750f79
18125,731b6e
18127,872f45
18129,7e1e61
18131,8b1c56
