id,margin,nixon,mcgovern,other,other2
01001,52.86%, 75.17%,-, 2.52%,-
01003,66.29%, 82.20%,-, 1.89%,-
01005,44.66%, 70.92%,-, 2.82%,-
01007,58.73%, 78.44%,-, 1.86%,-
01009,60.00%, 79.36%,-, 1.28%,-
01011,3.11%, 47.44%,-, 2.00%,-
01013,53.59%, 76.45%,-, 0.69%,-
01015,54.90%, 76.93%,-, 1.04%,-
01017,60.35%, 79.21%,-, 1.92%,-
01019,45.16%, 71.89%,-, 1.38%,-
01021,67.59%, 82.88%,-, 1.83%,-
01023,22.29%, 60.74%,-, 0.82%,-
01025,43.50%, 70.89%,-, 1.71%,-
01027,76.91%, 88.24%,-, 0.42%,-
01029,70.73%, 85.20%,-, 0.32%,-
01031,61.01%, 80.06%,-, 0.88%,-
01033,38.66%, 67.71%,-, 1.15%, 2.10%
01035,50.56%, 74.81%,-, 0.93%,-
01037,54.87%, 77.20%,-, 0.46%,-
01039,71.05%, 85.27%,-, 0.51%,-
01041,47.60%, 72.87%,-, 1.86%,-
01043,59.80%, 79.54%,-, 0.72%,-
01045,67.26%, 83.14%,-, 0.98%,-
01047,22.53%, 60.53%,-, 1.46%,-
01049,42.87%, 71.27%,-, 0.33%,-
01051,62.04%, 79.90%,-, 2.25%,-
01053,65.53%, 82.19%,-, 1.15%,-
01055,47.16%, 72.95%,-, 1.25%,-
01057,67.06%, 83.53%,-,-,-
01059,51.68%, 75.23%,-, 1.22%,-
01061,69.21%, 84.33%,-, 0.55%,-
01063,38.67%, 29.65%,-, 2.03%,-
01065,22.37%, 59.22%,-, 1.33%, 2.61%
01067,59.68%, 79.56%,-, 0.56%,-
01069,67.87%, 83.46%,-, 0.95%,-
01071,34.19%, 65.91%,-, 2.37%,-
01073,39.19%, 68.05%,-, 3.10%,-
01075,61.77%, 80.56%,-, 0.64%,-
01077,46.24%, 71.66%,-, 2.91%,-
01079,51.46%, 75.61%,-, 0.24%,-
01081,51.48%, 74.94%,-, 1.61%,-
01083,48.62%, 73.21%,-, 2.19%,-
01085,12.21%, 42.69%,-, 2.40%,-
01087,29.17%, 33.04%,-,-, 2.00%
01089,48.68%, 73.42%,-, 1.84%,-
01091,31.68%, 65.05%,-, 1.58%,-
01093,71.18%, 85.38%,-, 0.42%,-
01095,50.47%, 74.45%,-, 1.56%,-
01097,48.98%, 73.15%,-, 2.69%,-
01099,51.07%, 74.82%,-, 1.44%,-
01101,46.00%, 71.86%,-, 2.28%,-
01103,55.60%, 76.85%,-, 1.91%,-
01105,1.44%, 49.13%,-, 0.79%,-
01107,35.36%, 67.33%,-, 0.69%,-
01109,54.78%, 76.66%,-, 1.46%,-
01111,52.56%, 75.14%,-, 2.29%,-
01113,37.49%, 66.73%,-, 1.55%,-
01115,62.16%, 79.82%,-, 2.53%,-
01117,65.16%, 81.24%,-, 2.67%,-
01119,0.93%, 49.19%,-, 0.70%,-
01121,46.96%, 73.12%,-, 0.72%,-
01123,59.23%, 78.71%,-, 1.80%,-
01125,42.74%, 70.15%,-, 2.44%,-
01127,58.66%, 78.79%,-, 1.09%,-
01129,49.77%, 74.73%,-, 0.32%,-
01131,10.31%, 44.42%,-, 0.84%,-
01133,72.64%, 86.14%,-, 0.36%,-
02013,0%,-,-,-,-
02016,0%,-,-,-,-
02020,0%,-,-,-,-
02050,0%,-,-,-,-
02060,0%,-,-,-,-
02068,0%,-,-,-,-
02070,0%,-,-,-,-
02090,0%,-,-,-,-
02100,0%,-,-,-,-
02105,0%,-,-,-,-
02110,0%,-,-,-,-
02122,0%,-,-,-,-
02130,0%,-,-,-,-
02150,0%,-,-,-,-
02164,0%,-,-,-,-
02170,0%,-,-,-,-
02180,0%,-,-,-,-
02185,0%,-,-,-,-
02188,0%,-,-,-,-
02195,0%,-,-,-,-
02198,0%,-,-,-,-
02220,0%,-,-,-,-
02230,0%,-,-,-,-
02240,0%,-,-,-,-
02261,0%,-,-,-,-
02270,0%,-,-,-,-
02275,0%,-,-,-,-
02282,0%,-,-,-,-
02290,0%,-,-,-,-
04001,3.69%, 50.28%,-, 0.16%, 2.96%
04003,31.06%, 63.97%,-, 0.07%, 3.04%
04005,25.08%, 61.02%,-, 0.09%, 2.95%
04007,13.29%, 54.70%,-, 0.07%, 3.83%
04009,28.81%, 60.15%,-, 0.02%, 8.48%
04011,6.61%, 45.57%,-, 0.16%, 2.10%
04012,0%,-,-,-,-
04013,42.34%, 69.29%,-, 0.08%, 3.68%
04015,42.52%, 68.92%,-, 0.09%, 4.58%
04017,25.89%, 60.48%,-, 0.08%, 4.85%
04019,10.51%, 45.41%,-, 1.63%,-
04021,23.81%, 60.28%,-, 0.09%, 3.16%
04023,6.64%, 52.39%,-, 1.86%,-
04025,44.46%, 65.77%,-,-, 5.07%
04027,32.05%, 63.52%,-, 0.02%, 4.98%
05001,47.46%, 73.46%,-, 0.55%,-
05003,53.12%, 76.44%,-, 0.24%,-
05005,42.65%, 70.65%,-, 1.35%,-
05007,56.12%, 77.86%,-, 0.39%,-
05009,49.20%, 74.49%,-, 0.22%,-
05011,40.10%, 69.74%,-, 0.61%,-
05013,29.26%, 64.26%,-, 0.74%,-
05015,42.55%, 70.09%,-,-, 2.36%
05017,32.06%, 65.96%,-, 0.14%,-
05019,20.57%, 59.96%,-, 0.66%,-
05021,38.77%, 69.39%,-,-,-
05023,34.39%, 67.15%,-, 0.09%,-
05025,42.90%, 71.45%,-,-,-
05027,44.97%, 72.30%,-, 0.36%,-
05029,16.35%, 58.11%,-, 0.12%,-
05031,31.88%, 65.94%,-,-,-
05033,63.67%, 81.41%,-, 0.84%,-
05035,42.12%, 71.06%,-,-,-
05037,49.04%, 72.78%,-,-, 3.48%
05039,21.10%, 60.55%,-,-,-
05041,34.01%, 66.92%,-, 0.16%,-
05043,48.11%, 74.06%,-,-,-
05045,18.87%, 59.44%,-,-,-
05047,49.21%, 74.60%,-,-,-
05049,35.79%, 67.89%,-,-,-
05051,49.24%, 73.90%,-, 1.44%,-
05053,35.38%, 67.41%,-, 0.56%,-
05055,46.06%, 73.03%,-,-,-
05057,41.60%, 70.80%,-,-,-
05059,30.07%, 64.54%,-, 1.00%,-
05061,43.00%, 71.50%,-,-,-
05063,31.68%, 65.74%,-, 0.19%,-
05065,28.68%, 64.26%,-, 0.16%,-
05067,33.46%, 66.73%,-,-,-
05069,24.00%, 61.95%,-, 0.10%,-
05071,33.52%, 66.76%,-,-,-
05073,44.08%, 71.91%,-, 0.26%,-
05075,38.90%, 69.45%,-,-,-
05077,29.79%, 64.59%,-, 0.62%,-
05079,35.04%, 67.52%,-,-,-
05081,40.07%, 70.04%,-,-,-
05083,43.28%, 71.42%,-, 0.43%,-
05085,35.66%, 67.62%,-, 0.42%,-
05087,28.19%, 64.09%,-,-,-
05089,34.97%, 66.66%,-, 1.66%,-
05091,49.06%, 74.53%,-,-,-
05093,50.50%, 74.73%,-, 1.04%,-
05095,28.89%, 63.45%,-, 1.99%,-
05097,38.01%, 68.17%,-, 1.67%,-
05099,36.13%, 68.07%,-,-,-
05101,39.67%, 69.84%,-,-,-
05103,25.46%, 62.68%,-, 0.10%,-
05105,28.07%, 63.88%,-, 0.31%,-
05107,18.44%, 58.90%,-, 0.64%,-
05109,48.30%, 73.69%,-, 0.92%,-
05111,56.70%, 77.91%,-, 0.89%,-
05113,51.61%, 74.83%,-, 1.95%,-
05115,35.29%, 67.52%,-, 0.24%,-
05117,42.92%, 71.46%,-,-,-
05119,26.20%, 62.95%,-, 0.31%,-
05121,25.66%, 62.83%,-,-,-
05123,34.97%, 65.95%,-,-, 3.07%
05125,27.69%, 63.64%,-, 0.42%,-
05127,51.74%, 75.87%,-,-,-
05129,57.52%, 78.76%,-,-,-
05131,62.64%, 81.23%,-, 0.19%,-
05133,40.91%, 69.91%,-, 1.08%,-
05135,39.66%, 69.71%,-, 0.23%,-
05137,34.93%, 67.38%,-, 0.17%,-
05139,54.01%, 76.72%,-, 0.56%,-
05141,24.27%, 61.91%,-, 0.45%,-
05143,42.16%, 70.94%,-, 0.28%,-
05145,35.08%, 67.24%,-, 0.61%,-
05147,25.02%, 61.73%,-, 1.55%,-
05149,32.96%, 66.48%,-,-,-
06001,12.18%, 42.84%,-, 2.14%,-
06003,29.69%, 63.54%,-, 2.60%,-
06005,12.52%, 53.40%,-, 0.57%, 5.14%
06007,20.82%, 57.61%,-, 0.68%, 4.93%
06009,27.30%, 60.76%,-, 1.30%, 4.48%
06011,19.19%, 57.56%,-, 0.53%, 3.54%
06013,10.64%, 54.13%,-, 2.38%,-
06015,13.65%, 51.82%,-, 0.89%, 9.12%
06017,12.80%, 54.20%,-, 0.61%, 3.80%
06019,4.06%, 50.44%,-, 0.68%, 2.51%
06021,24.38%, 59.01%,-, 0.45%, 5.92%
06023,2.65%, 48.83%,-, 0.85%, 4.14%
06025,27.12%, 62.05%,-, 0.36%, 2.66%
06027,40.05%, 68.07%,-, 0.56%, 3.35%
06029,24.96%, 60.14%,-, 0.38%, 4.29%
06031,17.40%, 56.52%,-, 0.38%, 3.99%
06033,15.00%, 55.12%,-, 0.42%, 4.33%
06035,6.80%, 50.80%,-, 0.70%, 4.49%
06037,12.71%, 54.75%,-, 0.66%, 2.54%
06039,8.43%, 52.61%,-, 0.33%, 2.87%
06041,6.46%, 52.10%,-, 2.26%,-
06043,16.80%, 56.15%,-, 0.77%, 3.73%
06045,7.76%, 51.01%,-, 0.92%, 4.81%
06047,11.71%, 54.33%,-, 0.49%, 2.56%
06049,22.83%, 58.49%,-, 0.59%, 5.27%
06051,37.30%, 66.88%,-, 0.75%, 2.79%
06053,17.55%, 57.04%,-, 0.71%, 2.76%
06055,22.60%, 59.61%,-, 0.48%, 2.91%
06057,15.79%, 54.68%,-, 0.50%, 5.93%
06059,41.34%, 68.27%,-, 0.44%, 4.36%
06061,4.56%, 50.34%,-, 0.50%, 3.39%
06063,1.65%, 46.42%,-, 0.52%, 5.00%
06065,19.60%, 58.00%,-, 0.46%, 3.13%
06067,1.36%, 49.00%,-, 0.65%, 2.72%
06069,20.04%, 57.56%,-, 0.44%, 4.48%
06071,24.23%, 59.73%,-, 0.51%, 4.27%
