id,margin,ford,carter,other
01001,1.37%, 48.32%, 49.69%, 1.99%
01003,17.70%, 57.72%, 40.02%, 2.26%
01005,11.19%, 43.25%, 54.43%, 2.32%
01007,28.14%, 35.56%, 63.70%, 0.74%
01009,21.97%, 38.56%, 60.53%, 0.91%
01011,40.34%, 29.10%, 69.44%, 1.45%
01013,18.90%, 40.36%, 59.25%, 0.39%
01015,26.61%, 35.97%, 62.59%, 1.44%
01017,5.71%, 46.32%, 52.03%, 1.65%
01019,50.77%, 23.85%, 74.62%, 1.53%
01021,7.94%, 45.50%, 53.44%, 1.06%
01023,12.59%, 43.50%, 56.10%, 0.40%
01025,6.78%, 45.81%, 52.60%, 1.59%
01027,21.88%, 38.76%, 60.64%, 0.60%
01029,26.48%, 36.07%, 62.55%, 1.38%
01031,24.99%, 37.02%, 62.00%, 0.98%
01033,44.68%, 26.55%, 71.23%, 2.23%
01035,25.58%, 36.39%, 61.97%, 1.65%
01037,35.50%, 31.76%, 67.26%, 0.98%
01039,17.21%, 40.71%, 57.93%, 1.36%
01041,29.83%, 34.20%, 64.03%, 1.77%
01043,30.23%, 34.40%, 64.63%, 0.97%
01045,11.71%, 43.33%, 55.03%, 1.64%
01047,10.53%, 43.66%, 54.19%, 2.15%
01049,19.24%, 40.14%, 59.37%, 0.49%
01051,0.70%, 48.50%, 49.20%, 2.30%
01053,9.17%, 44.22%, 53.39%, 2.38%
01055,41.08%, 28.90%, 69.99%, 1.11%
01057,30.40%, 34.44%, 64.83%, 0.73%
01059,30.18%, 34.41%, 64.59%, 1.00%
01061,37.99%, 30.47%, 68.46%, 1.06%
01063,52.30%, 23.65%, 75.96%, 0.39%
01065,22.28%, 37.71%, 59.99%, 2.30%
01067,20.86%, 39.21%, 60.07%, 0.73%
01069,9.55%, 54.07%, 44.52%, 1.41%
01071,46.17%, 25.53%, 71.71%, 2.76%
01073,6.48%, 52.32%, 45.85%, 1.83%
01075,37.05%, 30.38%, 67.44%, 2.18%
01077,35.90%, 31.17%, 67.06%, 1.77%
01079,65.13%, 17.08%, 82.21%, 0.71%
