id,margin,reagan,carter,anderson,other
01001,18.05%, 56.87%, 38.82%,-, 4.30%
01003,35.99%, 65.78%, 29.80%,-, 4.42%
01005,3.19%, 46.34%, 49.53%,-, 1.89%
01007,10.78%, 44.30%, 55.08%,-, 0.62%
01009,9.14%, 53.59%, 44.45%,-, 1.96%
01011,44.60%, 25.65%, 70.25%,-, 1.30%
01013,4.13%, 45.53%, 49.67%,-, 2.35%
01015,1.29%, 49.17%, 47.88%,-, 2.95%
01017,15.00%, 40.88%, 55.88%,-, 3.24%
01019,19.91%, 38.55%, 58.47%,-, 2.98%
01021,16.63%, 57.64%, 41.00%,-, 1.36%
01023,12.48%, 43.45%, 55.93%,-, 0.62%
01025,1.78%, 47.44%, 49.23%,-, 3.33%
01027,1.64%, 48.09%, 49.73%,-, 2.18%
01029,7.49%, 52.78%, 45.29%,-, 1.92%
01031,4.63%, 50.45%, 45.82%,-, 3.72%
01033,29.64%, 33.07%, 62.71%,-, 4.22%
01035,2.49%, 47.69%, 50.19%,-, 2.12%
01037,15.89%, 40.72%, 56.62%,-, 2.66%
01039,5.21%, 51.54%, 46.33%,-, 2.12%
01041,4.30%, 47.15%, 51.45%,-, 1.41%
01043,5.90%, 45.92%, 51.82%,-, 2.26%
01045,18.38%, 57.64%, 39.26%,-, 3.10%
01047,11.70%, 42.14%, 53.84%,-, 1.75%
01049,4.56%, 51.75%, 47.19%,-, 1.05%
01051,18.04%, 57.20%, 39.15%,-, 3.65%
01053,11.32%, 54.04%, 42.71%,-, 3.25%
01055,12.20%, 42.79%, 54.99%,-, 2.22%
01057,1.09%, 48.83%, 49.92%,-, 1.25%
01059,15.68%, 41.33%, 57.01%,-, 1.66%
01061,0.46%, 49.30%, 48.85%,-, 1.85%
01063,53.77%, 22.79%, 76.55%,-, 0.66%
01065,25.24%, 34.69%, 59.93%,-, 1.64%
01067,2.72%, 47.85%, 50.57%,-, 1.58%
01069,30.28%, 64.05%, 33.77%,-, 2.18%
01071,27.31%, 34.48%, 61.79%,-, 3.73%
01073,7.53%, 51.10%, 43.57%,-, 5.33%
01075,9.51%, 44.91%, 54.41%,-, 0.68%
01077,18.03%, 38.42%, 56.45%,-, 5.13%
01079,41.82%, 28.09%, 69.92%,-, 1.99%
01081,6.26%, 49.98%, 43.72%, 2.93%, 3.37%
01083,26.94%, 34.18%, 61.12%,-, 4.71%
01085,38.53%, 28.60%, 67.12%,-, 1.05%
01087,65.75%, 14.35%, 80.10%,-, 1.38%
01089,0.21%, 47.03%, 46.82%, 3.45%, 2.69%
01091,11.70%, 41.90%, 53.60%,-, 1.85%
01093,2.50%, 48.26%, 50.75%,-, 0.99%
01095,13.52%, 40.93%, 54.45%,-, 4.62%
01097,18.24%, 57.71%, 39.47%,-, 2.82%
01099,3.89%, 50.87%, 46.98%,-, 2.15%
01101,11.62%, 53.75%, 42.13%,-, 4.12%
01103,5.09%, 45.14%, 50.23%,-, 4.63%
01105,29.84%, 34.68%, 64.52%,-, 0.80%
01107,11.27%, 43.78%, 55.05%,-, 1.17%
01109,8.04%, 52.25%, 44.21%,-, 3.54%
01111,1.40%, 46.22%, 47.62%,-, 1.41%
01113,26.95%, 33.22%, 60.17%,-, 2.74%
01115,18.54%, 56.89%, 38.35%,-, 2.40%
01117,32.50%, 64.28%, 31.79%,-, 3.93%
01119,40.44%, 29.23%, 69.66%,-, 1.11%
01121,1.25%, 47.97%, 49.22%,-, 2.81%
01123,9.57%, 43.80%, 53.37%,-, 2.83%
01125,1.59%, 48.50%, 46.91%,-, 4.58%
01127,21.12%, 38.53%, 59.65%,-, 1.83%
01129,7.17%, 45.96%, 53.13%,-, 0.91%
01131,36.79%, 31.40%, 68.19%,-, 0.41%
01133,19.12%, 59.04%, 39.92%,-, 1.03%
02013,0%,-,-,-,-
02016,0%,-,-,-,-
02020,0%,-,-,-,-
02050,0%,-,-,-,-
02060,0%,-,-,-,-
02068,0%,-,-,-,-
02070,0%,-,-,-,-
02090,0%,-,-,-,-
02100,0%,-,-,-,-
02105,0%,-,-,-,-
02110,0%,-,-,-,-
02122,0%,-,-,-,-
02130,0%,-,-,-,-
02150,0%,-,-,-,-
02164,0%,-,-,-,-
02170,0%,-,-,-,-
02180,0%,-,-,-,-
02185,0%,-,-,-,-
02188,0%,-,-,-,-
02195,0%,-,-,-,-
02198,0%,-,-,-,-
02220,0%,-,-,-,-
02230,0%,-,-,-,-
02240,0%,-,-,-,-
02261,0%,-,-,-,-
02270,0%,-,-,-,-
02275,0%,-,-,-,-
02282,0%,-,-,-,-
02290,0%,-,-,-,-
04001,19.58%, 56.55%, 36.97%, 4.67%, 1.81%
04003,28.17%, 59.48%, 31.31%, 7.38%, 1.83%
04005,25.88%, 55.78%, 29.89%, 10.74%, 0.30%
04007,17.44%, 55.27%, 37.82%, 4.90%, 2.02%
04009,24.67%, 59.85%, 35.18%, 3.37%, 1.60%
04011,13.38%, 40.64%, 54.02%, 3.97%, 1.37%
04012,0%,-,-,-,-
04013,40.37%, 64.97%, 24.60%, 8.01%, 0.20%
04015,44.43%, 68.86%, 24.43%, 4.88%, 1.83%
04017,33.65%, 63.91%, 30.27%, 4.21%, 1.61%
04019,15.31%, 49.75%, 34.44%, 13.52%, 0.18%
