statecounty,Margin,Reagan,Mondale,Hall,Other
01001,41.82%, 70.07%, 28.25%,-, 1.69%
01003,53.54%, 75.55%, 22.01%,-, 2.45%
01005,8.54%, 53.73%, 45.18%,-, 1.09%
01007,23.21%, 61.32%, 38.10%,-, 0.58%
01009,38.22%, 68.16%, 29.95%,-, 1.89%
01011,34.72%, 32.02%, 66.75%,-, 1.23%
01013,14.93%, 56.73%, 41.81%,-, 1.46%
01015,27.67%, 61.16%, 33.49%, 3.00%, 2.35%
01017,20.22%, 59.60%, 39.38%,-, 1.02%
01019,3.10%, 51.04%, 47.93%,-, 1.03%
01021,45.42%, 70.53%, 25.10%, 3.32%, 1.05%
01023,7.99%, 53.88%, 45.90%,-, 0.22%
01025,16.93%, 58.11%, 41.18%,-, 0.71%
01027,39.26%, 68.19%, 28.93%,-, 2.88%
01029,43.72%, 70.50%, 26.78%,-, 2.73%
01031,40.93%, 69.84%, 28.91%,-, 1.26%
01033,7.03%, 45.31%, 52.34%,-, 2.35%
01035,12.68%, 55.86%, 43.18%,-, 0.96%
01037,18.34%, 58.95%, 40.62%,-, 0.43%
01039,44.17%, 71.63%, 27.46%,-, 0.91%
01041,25.74%, 61.86%, 36.12%,-, 2.03%
01043,29.37%, 63.92%, 34.55%,-, 1.54%
01045,51.88%, 75.37%, 23.48%,-, 1.15%
01047,6.61%, 46.26%, 52.88%,-, 0.86%
01049,25.25%, 62.53%, 37.27%,-, 0.20%
01051,46.63%, 72.74%, 26.11%,-, 1.15%
01053,38.05%, 68.33%, 30.28%,-, 1.39%
01055,0.44%, 49.62%, 49.18%,-, 1.20%
01057,29.45%, 64.63%, 35.18%,-, 0.19%
01059,7.01%, 52.90%, 45.89%,-, 1.22%
01061,44.15%, 70.00%, 25.86%, 3.13%, 1.01%
01063,44.42%, 26.13%, 70.55%, 2.34%, 0.98%
01065,9.87%, 44.44%, 54.31%,-, 1.25%
01067,27.58%, 63.34%, 35.76%,-, 0.90%
01069,52.23%, 75.82%, 23.59%,-, 0.59%
01071,6.21%, 46.15%, 52.36%,-, 1.49%
01073,19.08%, 59.41%, 40.33%,-, 0.25%
01075,34.65%, 67.21%, 32.55%,-, 0.24%
01077,8.54%, 53.57%, 45.04%,-, 1.39%
01079,4.21%, 47.04%, 51.25%,-, 1.71%
01081,29.36%, 64.05%, 34.70%,-, 1.25%
01083,21.51%, 60.12%, 38.62%,-, 1.26%
01085,36.90%, 31.02%, 67.92%,-, 1.07%
01087,66.47%, 16.24%, 82.71%,-, 1.04%
01089,30.14%, 64.54%, 34.40%,-, 1.06%
01091,4.41%, 51.51%, 47.11%,-, 1.38%
01093,26.63%, 63.20%, 36.57%,-, 0.22%
01095,22.69%, 60.47%, 37.78%,-, 1.75%
01097,26.47%, 62.56%, 36.08%,-, 1.36%
01099,22.47%, 60.65%, 38.18%,-, 1.17%
01101,16.16%, 57.77%, 41.61%,-, 0.63%
01103,36.31%, 67.99%, 31.68%,-, 0.32%
01105,2.42%, 48.08%, 50.50%,-, 1.42%
01107,13.25%, 56.47%, 43.23%,-, 0.30%
01109,27.03%, 62.60%, 35.58%,-, 1.82%
01111,33.28%, 65.74%, 32.46%,-, 1.81%
01113,6.62%, 46.04%, 52.66%,-, 1.30%
01115,43.73%, 71.02%, 27.30%,-, 1.68%
01117,56.91%, 77.88%, 20.96%,-, 1.16%
01119,28.39%, 35.65%, 64.04%,-, 0.31%
01121,24.23%, 61.11%, 36.88%,-, 2.01%
01123,33.57%, 66.19%, 32.62%,-, 1.19%
01125,26.84%, 62.75%, 35.91%,-, 1.34%
01127,9.52%, 54.11%, 44.59%,-, 1.31%
01129,17.94%, 58.78%, 40.85%,-, 0.37%
01131,22.02%, 38.81%, 60.83%,-, 0.37%
01133,44.53%, 72.22%, 27.69%,-, 0.09%
02013,0%,-,-,-,-
02016,0%,-,-,-,-
02020,0%,-,-,-,-
02050,0%,-,-,-,-
02060,0%,-,-,-,-
02068,0%,-,-,-,-
02070,0%,-,-,-,-
02090,0%,-,-,-,-
02100,0%,-,-,-,-
02105,0%,-,-,-,-
02110,0%,-,-,-,-
02122,0%,-,-,-,-
02130,0%,-,-,-,-
02150,0%,-,-,-,-
02164,0%,-,-,-,-
02170,0%,-,-,-,-
02180,0%,-,-,-,-
02185,0%,-,-,-,-
02188,0%,-,-,-,-
02195,0%,-,-,-,-
02198,0%,-,-,-,-
02220,0%,-,-,-,-
02230,0%,-,-,-,-
02240,0%,-,-,-,-
02261,0%,-,-,-,-
02270,0%,-,-,-,-
