id,margin,bush,dukakis,paul,other
01001,35.70%, 67.17%, 31.47%,-, 1.36%
01003,46.81%, 72.85%, 26.04%,-, 1.11%
01005,12.61%, 55.71%, 43.11%,-, 1.18%
01007,12.46%, 56.06%, 43.61%,-, 0.33%
01009,31.51%, 64.61%, 33.10%, 2.17%, 0.11%
01011,37.11%, 31.00%, 68.11%,-, 0.89%
01013,6.14%, 52.59%, 46.45%,-, 0.95%
01015,21.65%, 58.31%, 36.66%,-, 1.14%
01017,20.00%, 59.39%, 39.39%,-, 1.23%
01019,5.05%, 47.01%, 52.06%,-, 0.93%
01021,39.14%, 69.41%, 30.26%,-, 0.33%
01023,1.94%, 50.89%, 48.96%,-, 0.15%
01025,14.88%, 56.97%, 42.09%,-, 0.95%
01027,36.16%, 66.74%, 30.58%,-, 2.67%
01029,37.59%, 68.40%, 30.80%,-, 0.80%
01031,34.23%, 66.57%, 32.34%,-, 1.09%
01033,14.25%, 42.25%, 56.49%,-, 1.26%
01035,3.68%, 51.22%, 47.54%,-, 1.24%
01037,12.72%, 56.15%, 43.43%,-, 0.42%
01039,35.49%, 67.34%, 31.85%,-, 0.81%
01041,17.44%, 58.44%, 41.00%,-, 0.56%
01043,25.15%, 61.87%, 36.72%,-, 1.42%
01045,44.87%, 71.80%, 26.94%,-, 1.26%
01047,11.65%, 43.79%, 55.44%,-, 0.76%
01049,21.88%, 60.60%, 38.72%,-, 0.68%
01051,40.87%, 69.84%, 28.97%,-, 1.20%
01053,25.44%, 62.14%, 36.70%,-, 1.16%
01055,0.18%, 49.67%, 49.49%,-, 0.84%
01057,15.24%, 57.40%, 42.16%,-, 0.44%
01059,1.81%, 50.25%, 48.44%,-, 1.31%
01061,35.62%, 67.32%, 31.69%,-, 0.99%
01063,51.34%, 23.94%, 75.28%,-, 0.78%
01065,13.68%, 42.71%, 56.39%,-, 0.90%
01067,24.08%, 61.82%, 37.75%,-, 0.43%
01069,48.00%, 73.87%, 25.87%,-, 0.26%
01071,9.72%, 44.55%, 54.27%,-, 1.18%
01073,15.95%, 57.74%, 41.80%,-, 0.46%
01075,17.10%, 58.48%, 41.38%,-, 0.15%
01077,0.31%, 49.43%, 49.13%,-, 1.44%
01079,12.24%, 42.96%, 55.20%,-, 1.84%
01081,30.36%, 64.39%, 34.02%,-, 1.59%
01083,24.60%, 61.56%, 36.96%,-, 1.48%
01085,40.26%, 29.42%, 69.68%,-, 0.90%
01087,65.07%, 16.81%, 81.88%,-, 1.30%
01089,34.76%, 67.06%, 32.29%,-, 0.65%
01091,1.85%, 48.61%, 50.45%,-, 0.94%
01093,13.81%, 56.73%, 42.92%,-, 0.35%
01095,24.02%, 60.90%, 36.88%,-, 2.22%
01097,22.50%, 60.88%, 38.39%,-, 0.73%
01099,20.88%, 60.07%, 39.19%,-, 0.74%
01101,17.65%, 58.43%, 40.79%,-, 0.78%
01103,27.50%, 63.54%, 36.04%,-, 0.42%
01105,25.48%, 36.59%, 62.07%,-, 1.34%
01107,10.66%, 55.16%, 44.50%,-, 0.34%
01109,21.22%, 60.04%, 38.82%,-, 1.13%
01111,29.94%, 64.02%, 34.08%,-, 1.90%
01113,1.96%, 48.40%, 50.35%,-, 1.25%
01115,41.80%, 70.71%, 28.91%,-, 0.39%
01117,58.03%, 78.84%, 20.80%,-, 0.36%
01119,32.85%, 33.36%, 66.21%,-, 0.42%
01121,21.77%, 60.32%, 38.55%,-, 1.13%
01123,29.36%, 63.93%, 34.58%,-, 1.49%
01125,20.17%, 59.87%, 39.70%,-, 0.43%
01127,1.44%, 48.51%, 49.95%,-, 1.55%
01129,4.73%, 52.23%, 47.49%,-, 0.28%
01131,31.85%, 33.98%, 65.83%,-, 0.20%
01133,35.57%, 67.59%, 32.02%,-, 0.39%
02013,0%,-,-,-,-
02016,0%,-,-,-,-
02020,0%,-,-,-,-
02050,0%,-,-,-,-
02060,0%,-,-,-,-
02068,0%,-,-,-,-
02070,0%,-,-,-,-
02090,0%,-,-,-,-
02100,0%,-,-,-,-
02105,0%,-,-,-,-
02110,0%,-,-,-,-
02122,0%,-,-,-,-
02130,0%,-,-,-,-
02150,0%,-,-,-,-
02164,0%,-,-,-,-
02170,0%,-,-,-,-
02180,0%,-,-,-,-
02185,0%,-,-,-,-
02188,0%,-,-,-,-
02195,0%,-,-,-,-
02198,0%,-,-,-,-
02220,0%,-,-,-,-
02230,0%,-,-,-,-
02240,0%,-,-,-,-
02261,0%,-,-,-,-
02270,0%,-,-,-,-
02275,0%,-,-,-,-
02282,0%,-,-,-,-
02290,0%,-,-,-,-
