statecounty,margin,bush,clinton,perot
01001,25.00%, 55.92%, 30.92%, 12.29%
01003,30.28%, 56.52%, 26.24%, 16.47%
01005,3.46%, 42.90%, 46.36%, 9.78%
01007,3.33%, 46.49%, 43.15%, 10.21%
01009,20.90%, 53.81%, 32.92%, 11.81%
01011,41.65%, 26.02%, 67.67%, 5.52%
01013,6.22%, 41.21%, 47.43%, 10.23%
01015,9.74%, 48.18%, 38.44%, 11.02%
01017,1.96%, 43.40%, 45.36%, 10.90%
01019,18.75%, 34.85%, 53.61%, 10.74%
01021,21.98%, 56.17%, 34.19%, 9.42%
01023,11.53%, 40.60%, 52.13%, 6.47%
01025,4.03%, 46.90%, 42.87%, 7.44%
01027,13.66%, 49.68%, 36.02%, 11.33%
01029,5.37%, 46.31%, 40.94%, 12.03%
01031,11.68%, 48.87%, 37.19%, 13.01%
01033,18.42%, 35.98%, 54.40%, 9.35%
01035,10.97%, 39.05%, 50.02%, 8.75%
01037,7.44%, 41.12%, 48.56%, 9.92%
01039,13.15%, 48.99%, 35.84%, 13.47%
01041,1.23%, 44.22%, 45.44%, 9.17%
01043,13.63%, 49.62%, 35.98%, 14.16%
01045,19.16%, 51.45%, 32.29%, 15.35%
01047,18.66%, 37.72%, 56.38%, 5.66%
01049,10.54%, 48.73%, 38.20%, 12.70%
01051,25.18%, 55.70%, 30.52%, 13.56%
01053,8.94%, 46.44%, 37.50%, 12.60%
01055,7.28%, 41.15%, 48.43%, 10.08%
01057,2.67%, 42.55%, 45.22%, 11.95%
01059,9.77%, 40.43%, 50.20%, 9.07%
01061,12.37%, 49.08%, 36.71%, 13.41%
01063,62.69%, 16.49%, 79.18%, 3.97%
01065,24.57%, 33.22%, 57.80%, 8.07%
01067,2.55%, 45.70%, 43.15%, 10.26%
01069,28.57%, 58.33%, 29.76%, 11.73%
01071,25.99%, 30.19%, 56.19%, 13.02%
01073,8.01%, 50.13%, 42.12%, 7.42%
01075,5.99%, 47.29%, 41.30%, 11.06%
01077,6.54%, 40.67%, 47.21%, 11.88%
01079,24.06%, 30.86%, 54.91%, 14.01%
01081,8.78%, 47.58%, 38.80%, 12.88%
01083,8.22%, 45.66%, 37.45%, 16.59%
01085,42.19%, 25.80%, 67.99%, 5.52%
01087,69.84%, 12.94%, 82.78%, 3.23%
01089,11.56%, 47.71%, 36.14%, 15.75%
01091,10.33%, 39.75%, 50.09%, 8.17%
01093,3.58%, 42.89%, 46.47%, 10.47%
01095,6.84%, 45.85%, 39.01%, 14.20%
01097,12.50%, 50.72%, 38.22%, 10.51%
01099,10.74%, 50.48%, 39.73%, 7.79%
01101,3.95%, 47.29%, 43.34%, 8.88%
01103,13.60%, 47.92%, 34.31%, 17.47%
01105,32.39%, 31.46%, 63.86%, 3.66%
01107,1.83%, 44.63%, 46.46%, 8.47%
01109,6.57%, 48.45%, 41.88%, 9.15%
01111,6.07%, 46.77%, 40.70%, 11.27%
01113,19.50%, 35.61%, 55.12%, 8.67%
01115,27.42%, 57.56%, 30.14%, 12.09%
01117,46.55%, 67.97%, 21.42%, 10.43%
01119,42.75%, 25.72%, 68.47%, 5.52%
01121,7.49%, 48.21%, 40.72%, 10.01%
01123,15.77%, 52.67%, 36.90%, 10.11%
01125,6.82%, 47.27%, 40.46%, 12.07%
01127,11.95%, 38.26%, 50.22%, 11.32%
01129,9.51%, 40.06%, 49.57%, 10.16%
01131,33.33%, 31.50%, 64.84%, 3.28%
01133,21.16%, 55.01%, 33.85%, 11.00%
02013,0%,-,-,-
02016,0%,-,-,-
02020,0%,-,-,-
02050,0%,-,-,-
02060,0%,-,-,-
02068,0%,-,-,-
02070,0%,-,-,-
02090,0%,-,-,-
02100,0%,-,-,-
02105,0%,-,-,-
02110,0%,-,-,-
02122,0%,-,-,-
02130,0%,-,-,-
02150,0%,-,-,-
02164,0%,-,-,-
02170,0%,-,-,-
02180,0%,-,-,-
02185,0%,-,-,-
02188,0%,-,-,-
02195,0%,-,-,-
02198,0%,-,-,-
02220,0%,-,-,-
02230,0%,-,-,-
02240,0%,-,-,-
02261,0%,-,-,-
02270,0%,-,-,-
02275,0%,-,-,-
02282,0%,-,-,-
02290,0%,-,-,-
04001,36.31%, 25.13%, 61.44%, 10.84%
04003,1.51%, 36.81%, 38.31%, 23.70%
04005,12.01%, 32.31%, 44.32%, 21.97%
04007,9.69%, 31.29%, 40.97%, 25.40%
04009,8.02%, 42.98%, 34.96%, 19.18%
04011,6.11%, 36.34%, 42.45%, 19.88%
04012,4.21%, 32.23%, 36.44%, 29.99%
04013,8.51%, 41.06%, 32.56%, 25.26%
04015,1.06%, 33.69%, 32.63%, 31.28%
04017,11.72%, 32.45%, 44.17%, 19.43%
04019,11.20%, 34.47%, 45.68%, 19.16%
04021,10.34%, 31.76%, 42.10%, 25.13%
04023,6.04%, 37.43%, 43.47%, 17.91%
04025,8.67%, 39.42%, 30.75%, 27.62%
04027,4.58%, 41.55%, 36.97%, 20.42%
05001,26.50%, 32.51%, 59.01%, 8.01%
05003,33.34%, 28.08%, 61.42%, 9.73%
05005,8.59%, 35.85%, 44.44%, 18.68%
05007,12.37%, 48.81%, 36.45%, 14.16%
05009,0.24%, 42.21%, 42.45%, 14.40%
05011,30.43%, 30.64%, 61.07%, 8.08%
05013,12.66%, 38.75%, 51.41%, 9.51%
05015,2.64%, 39.91%, 42.55%, 16.94%
05017,44.36%, 24.36%, 68.72%, 6.81%
05019,37.70%, 26.93%, 64.64%, 8.00%
05021,45.21%, 23.26%, 68.47%, 8.02%
05023,15.13%, 35.87%, 51.00%, 12.66%
05025,22.68%, 33.36%, 56.04%, 9.98%
05027,10.64%, 37.70%, 48.35%, 11.10%
05029,25.69%, 32.06%, 57.75%, 9.47%
05031,18.86%, 35.57%, 54.43%, 8.88%
05033,1.40%, 42.57%, 41.18%, 15.11%
05035,22.05%, 34.55%, 56.60%, 4.96%
05037,25.12%, 32.97%, 58.09%, 8.62%
05039,16.54%, 37.15%, 53.68%, 8.79%
05041,45.12%, 22.75%, 67.87%, 6.97%
05043,28.74%, 30.77%, 59.51%, 9.46%
05045,13.92%, 37.64%, 51.56%, 9.66%
05047,10.72%, 37.04%, 47.76%, 14.65%
05049,33.13%, 26.56%, 59.69%, 13.32%
05051,16.46%, 35.80%, 52.26%, 9.65%
05053,14.81%, 36.66%, 51.47%, 11.33%
05055,32.71%, 28.49%, 61.20%, 9.84%
05057,34.62%, 26.75%, 61.38%, 11.45%
05059,30.82%, 28.60%, 59.42%, 11.39%
05061,20.82%, 34.73%, 55.56%, 9.37%
05063,22.20%, 32.96%, 55.16%, 11.25%
05065,33.77%, 27.42%, 61.18%, 10.84%
05067,40.94%, 24.77%, 65.71%, 8.94%
05069,45.10%, 23.74%, 68.85%, 6.52%
05071,18.32%, 33.82%, 52.14%, 13.37%
05073,27.27%, 29.86%, 57.12%, 12.67%
05075,29.18%, 30.65%, 59.84%, 9.18%
05077,42.30%, 25.52%, 67.82%, 6.08%
05079,38.26%, 26.27%, 64.53%, 8.97%
05081,32.25%, 25.94%, 58.18%, 15.56%
05083,6.76%, 39.23%, 45.99%, 14.04%
05085,10.81%, 39.52%, 50.32%, 9.82%
05087,3.35%, 42.41%, 45.76%, 11.33%
05089,11.75%, 32.39%, 44.15%, 21.25%
05091,12.15%, 36.06%, 48.21%, 15.38%
05093,33.51%, 29.43%, 62.94%, 6.15%
05095,29.35%, 30.99%, 60.35%, 8.31%
05097,18.83%, 32.46%, 51.29%, 15.52%
05099,25.96%, 30.83%, 56.79%, 11.52%
05101,0.84%, 41.75%, 42.59%, 14.67%
05103,29.80%, 29.89%, 59.69%, 9.97%
05105,21.23%, 33.16%, 54.39%, 11.76%
05107,38.23%, 27.40%, 65.63%, 6.45%
05109,13.97%, 37.26%, 51.23%, 11.15%
05111,34.02%, 28.29%, 62.31%, 8.88%
05113,5.61%, 38.20%, 43.81%, 16.97%
05115,1.97%, 45.10%, 43.13%, 11.14%
05117,30.64%, 29.17%, 59.81%, 10.97%
05119,23.14%, 34.89%, 58.03%, 6.39%
05121,34.13%, 27.97%, 62.10%, 9.15%
05123,30.64%, 30.93%, 61.57%, 7.20%
05125,10.00%, 39.38%, 49.38%, 10.72%
05127,11.68%, 37.15%, 48.84%, 13.37%
05129,2.33%, 44.48%, 42.14%, 12.63%
05131,0.62%, 42.40%, 41.78%, 15.19%
05133,19.28%, 31.77%, 51.05%, 12.83%
05135,17.72%, 34.55%, 52.27%, 12.80%
05137,18.85%, 33.18%, 52.03%, 13.83%
05139,7.97%, 39.32%, 47.29%, 10.33%
05141,16.40%, 35.48%, 51.88%, 12.06%
05143,3.63%, 42.38%, 46.01%, 11.08%
05145,9.07%, 39.60%, 48.67%, 10.97%
05147,54.74%, 19.34%, 74.08%, 6.49%
05149,21.71%, 32.79%, 54.49%, 12.30%
06001,42.43%, 20.62%, 63.04%, 15.40%
06003,1.11%, 35.18%, 34.07%, 29.48%
06005,1.24%, 35.49%, 34.25%, 29.50%
06007,1.04%, 37.18%, 38.22%, 23.80%
06009,0.10%, 35.35%, 35.25%, 28.53%
06011,14.04%, 45.94%, 31.91%, 21.40%
06013,21.42%, 29.51%, 50.93%, 18.94%
06015,5.94%, 32.96%, 38.91%, 27.53%
06017,7.54%, 39.92%, 32.38%, 26.97%
06019,1.50%, 40.67%, 42.17%, 16.56%
06021,13.00%, 43.24%, 30.24%, 25.84%
06023,17.59%, 30.49%, 48.07%, 20.56%
06025,5.33%, 38.55%, 43.88%, 16.77%
06027,11.74%, 43.58%, 31.84%, 23.62%
06029,11.30%, 45.05%, 33.75%, 20.58%
06031,2.69%, 41.61%, 38.91%, 19.10%
06033,16.67%, 28.77%, 45.44%, 24.97%
06035,4.32%, 37.02%, 32.70%, 28.99%
06037,23.50%, 29.04%, 52.54%, 17.75%
06039,7.28%, 43.20%, 35.92%, 20.35%
06041,34.95%, 23.32%, 58.27%, 17.59%
06043,0.49%, 35.98%, 36.48%, 26.68%
06045,23.51%, 21.78%, 50.21%, 26.69%
06047,4.37%, 36.48%, 40.85%, 22.15%
06049,6.79%, 38.98%, 32.19%, 27.44%
06051,1.86%, 36.05%, 34.19%, 28.66%
06053,15.77%, 31.25%, 47.01%, 20.97%
06055,16.00%, 29.30%, 45.30%, 24.60%
06057,4.32%, 39.24%, 34.92%, 25.05%
06059,12.31%, 43.87%, 31.56%, 23.90%
06061,8.23%, 41.92%, 33.69%, 23.80%
06063,1.44%, 36.17%, 37.61%, 25.64%
06065,1.58%, 37.06%, 38.64%, 23.76%
06067,8.20%, 35.36%, 43.56%, 20.16%
06069,9.75%, 32.28%, 42.03%, 24.98%
06071,1.49%, 37.24%, 38.74%, 23.03%
06073,1.55%, 35.69%, 37.24%, 26.28%
06075,54.60%, 17.80%, 72.40%, 9.01%
06077,3.44%, 37.84%, 41.28%, 20.24%
06079,3.59%, 34.78%, 38.36%, 26.11%
06081,26.82%, 27.15%, 53.97%, 18.25%
06083,7.27%, 35.25%, 42.53%, 21.57%
06085,20.83%, 28.38%, 49.21%, 21.41%
06087,36.20%, 21.86%, 58.06%, 18.96%
06089,9.63%, 41.24%, 31.61%, 26.32%
06091,2.03%, 36.85%, 34.83%, 27.68%
06093,7.71%, 32.21%, 39.91%, 26.92%
06095,19.25%, 29.43%, 48.69%, 21.08%
06097,28.69%, 24.09%, 52.78%, 22.19%
06099,4.02%, 36.93%, 40.95%, 21.60%
06101,19.62%, 50.10%, 30.48%, 18.87%
06103,0.42%, 35.36%, 35.79%, 28.05%
06105,2.07%, 31.28%, 32.63%, 34.70%
06107,10.50%, 45.71%, 35.22%, 18.55%
06109,2.86%, 35.26%, 38.12%, 26.03%
06111,1.53%, 35.46%, 36.99%, 26.84%
06113,25.18%, 28.15%, 53.33%, 17.73%
06115,9.16%, 43.40%, 34.24%, 21.53%
08001,14.07%, 29.93%, 44.00%, 25.59%
08003,7.71%, 34.05%, 41.76%, 23.59%
08005,3.05%, 39.26%, 36.21%, 24.12%
