statecounty,margin,dole,clinton,perot,nader,other
01001,29.14%, 61.66%, 32.52%, 5.27%,-, 0.55%
01003,35.47%, 62.58%, 27.11%, 9.59%,-, 0.71%
01005,12.96%, 40.51%, 53.47%, 5.75%,-, 0.27%
01007,4.16%, 48.20%, 44.04%, 7.22%,-, 0.54%
01009,26.07%, 59.09%, 33.02%, 6.43%,-, 1.47%
01011,43.89%, 26.32%, 70.21%, 2.53%,-, 0.94%
01013,6.13%, 43.14%, 49.27%, 6.92%,-, 0.67%
01015,6.40%, 49.00%, 42.60%, 7.08%,-, 1.31%
01017,7.28%, 42.42%, 49.70%, 7.32%,-, 0.57%
01019,16.04%, 36.20%, 52.24%, 10.68%,-, 0.89%
01021,17.90%, 55.40%, 37.50%, 6.51%,-, 0.60%
01023,20.35%, 36.78%, 57.13%, 5.79%,-, 0.29%
01025,0.45%, 47.29%, 47.75%, 4.72%,-, 0.24%
01027,6.97%, 48.38%, 41.42%, 9.66%,-, 0.54%
01029,7.69%, 48.64%, 40.96%, 9.08%,-, 1.32%
01031,18.62%, 55.12%, 36.50%, 7.36%,-, 1.02%
01033,9.45%, 40.88%, 50.33%, 8.35%,-, 0.45%
01035,14.83%, 38.33%, 53.16%, 8.15%,-, 0.37%
01037,9.68%, 41.66%, 51.34%, 6.34%,-, 0.65%
01039,12.52%, 50.66%, 38.13%, 9.22%,-, 1.99%
01041,5.24%, 43.60%, 48.84%, 7.13%,-, 0.43%
01043,17.94%, 53.88%, 35.94%, 9.19%,-, 0.98%
01045,24.82%, 57.84%, 33.02%, 8.49%,-, 0.66%
01047,22.06%, 37.45%, 59.52%, 2.70%,-, 0.33%
01049,18.07%, 54.14%, 36.07%, 8.87%,-, 0.92%
01051,30.59%, 61.76%, 31.18%, 6.53%,-, 0.53%
01053,5.07%, 46.96%, 41.89%, 7.81%,-, 3.35%
01055,3.04%, 44.82%, 47.86%, 6.73%,-, 0.59%
01057,2.64%, 44.26%, 46.90%, 8.18%,-, 0.65%
01059,5.52%, 42.44%, 47.97%, 9.22%,-, 0.37%
01061,17.27%, 52.60%, 35.33%, 9.54%,-, 2.53%
01063,61.71%, 17.99%, 79.70%,-,-, 2.31%
01065,27.02%, 34.59%, 61.61%, 3.47%,-, 0.33%
01067,0.95%, 46.44%, 45.49%, 7.76%,-, 0.32%
01069,30.95%, 62.27%, 31.33%, 5.89%,-, 0.51%
01071,16.42%, 36.32%, 52.73%, 10.11%,-, 0.84%
01073,4.13%, 50.20%, 46.07%, 3.07%,-, 0.66%
01075,1.75%, 46.10%, 44.35%, 9.31%,-, 0.23%
01077,1.44%, 46.19%, 44.75%, 8.46%,-, 0.61%
01079,13.42%, 38.38%, 51.80%, 9.50%,-, 0.32%
01081,15.25%, 54.15%, 38.90%, 5.87%,-, 1.09%
01083,13.62%, 52.52%, 38.90%, 8.02%,-, 0.56%
01085,47.80%, 25.16%, 72.96%,-,-, 1.87%
01087,73.52%, 12.03%, 85.55%,-,-, 2.41%
01089,8.06%, 49.96%, 41.90%, 7.37%,-, 0.77%
01091,9.53%, 43.18%, 52.71%, 3.63%,-, 0.48%
01093,2.83%, 43.79%, 46.62%, 9.04%,-, 0.55%
01095,15.45%, 52.89%, 37.43%, 9.23%,-, 0.45%
01097,9.24%, 51.32%, 42.08%, 5.81%,-, 0.79%
01099,6.52%, 50.38%, 43.86%, 5.59%,-, 0.17%
01101,0.76%, 47.98%, 48.74%, 2.59%,-, 0.69%
01103,17.87%, 54.39%, 36.53%, 8.37%,-, 0.71%
01105,39.81%, 28.85%, 68.66%, 2.02%,-, 0.47%
01107,8.95%, 42.74%, 51.69%, 5.18%,-, 0.39%
01109,7.42%, 51.07%, 43.65%, 4.86%,-, 0.42%
01111,4.03%, 47.41%, 43.38%, 8.65%,-, 0.56%
01113,20.51%, 36.69%, 57.20%, 5.78%,-, 0.32%
01115,32.09%, 62.29%, 30.20%, 6.92%,-, 0.60%
01117,50.83%, 73.05%, 22.22%, 4.01%,-, 0.72%
01119,48.71%, 24.18%, 72.89%, 2.66%,-, 0.26%
01121,2.40%, 47.99%, 45.59%, 5.86%,-, 0.56%
01123,10.50%, 51.48%, 40.98%, 7.01%,-, 0.53%
01125,8.96%, 51.38%, 42.42%, 5.60%,-, 0.60%
01127,12.40%, 39.44%, 51.84%, 8.07%,-, 0.65%
01129,13.45%, 37.68%, 51.12%, 10.64%,-, 0.56%
01131,38.15%, 30.00%, 68.15%,-,-, 1.86%
01133,18.64%, 54.80%, 36.17%, 8.38%,-, 0.65%
02013,0%,-,-,-,-,-
02016,0%,-,-,-,-,-
02020,0%,-,-,-,-,-
02050,0%,-,-,-,-,-
02060,0%,-,-,-,-,-
02068,0%,-,-,-,-,-
02070,0%,-,-,-,-,-
02090,0%,-,-,-,-,-
02100,0%,-,-,-,-,-
02105,0%,-,-,-,-,-
02110,0%,-,-,-,-,-
02122,0%,-,-,-,-,-
02130,0%,-,-,-,-,-
02150,0%,-,-,-,-,-
02164,0%,-,-,-,-,-
02170,0%,-,-,-,-,-
02180,0%,-,-,-,-,-
02185,0%,-,-,-,-,-
02188,0%,-,-,-,-,-
02195,0%,-,-,-,-,-
02198,0%,-,-,-,-,-
02220,0%,-,-,-,-,-
02230,0%,-,-,-,-,-
02240,0%,-,-,-,-,-
02261,0%,-,-,-,-,-
02270,0%,-,-,-,-,-
02275,0%,-,-,-,-,-
02282,0%,-,-,-,-,-
02290,0%,-,-,-,-,-
04001,40.85%, 25.48%, 66.33%, 6.94%,-, 1.25%
04003,1.83%, 45.00%, 43.17%, 10.48%,-, 1.35%
04005,17.75%, 35.40%, 53.15%, 9.52%,-, 1.93%
04007,12.46%, 36.80%, 49.26%, 12.70%,-, 1.24%
04009,3.06%, 45.42%, 42.36%, 11.12%,-, 1.10%
04011,17.57%, 34.16%, 51.72%, 12.56%,-, 1.56%
04012,1.38%, 42.33%, 43.71%, 13.29%,-, 0.67%
04013,2.69%, 47.22%, 44.53%, 7.15%,-, 1.09%
04015,3.29%, 43.33%, 40.04%, 15.33%,-, 1.30%
04017,14.64%, 37.14%, 51.78%, 9.87%,-, 1.22%
04019,12.80%, 39.36%, 52.16%, 7.11%,-, 1.38%
04021,17.74%, 35.33%, 53.07%, 10.77%,-, 0.84%
04023,36.55%, 27.62%, 64.17%, 7.35%,-, 0.86%
04025,13.65%, 50.29%, 36.64%, 11.18%,-, 1.89%
04027,2.70%, 47.03%, 44.33%, 7.80%,-, 0.85%
05001,34.49%, 28.52%, 63.00%, 6.91%,-, 1.57%
05003,31.19%, 29.32%, 60.51%, 8.50%,-, 1.67%
05005,1.12%, 44.35%, 43.23%, 10.14%,-, 2.28%
05007,14.30%, 51.89%, 37.59%, 9.06%,-, 1.46%
05009,2.62%, 45.94%, 43.32%, 8.54%,-, 2.20%
05011,35.79%, 28.88%, 64.67%, 5.57%,-, 0.88%
05013,25.26%, 31.72%, 56.98%, 10.34%,-, 0.96%
05015,3.04%, 44.85%, 41.81%, 11.18%,-, 2.16%
05017,46.25%, 24.01%, 70.26%, 5.30%,-, 0.43%
05019,39.02%, 26.00%, 65.02%, 6.98%,-, 1.99%
05021,39.84%, 25.79%, 65.63%, 7.91%,-, 0.67%
05023,7.06%, 40.23%, 47.28%, 10.79%,-, 1.70%
05025,24.83%, 32.74%, 57.57%, 8.86%,-, 0.83%
05027,15.07%, 37.59%, 52.66%, 7.55%,-, 2.20%
05029,24.00%, 31.68%, 55.69%, 10.24%,-, 2.39%
05031,16.57%, 37.47%, 54.04%, 7.23%,-, 1.26%
05033,2.74%, 45.42%, 42.68%, 10.64%,-, 1.26%
05035,26.29%, 32.83%, 59.11%, 3.89%,-, 4.17%
05037,26.48%, 32.47%, 58.94%, 7.56%,-, 1.02%
05039,31.35%, 30.31%, 61.66%, 6.87%,-, 1.16%
05041,49.46%, 21.48%, 70.94%, 5.42%,-, 2.15%
05043,33.71%, 29.20%, 62.91%, 6.96%,-, 0.93%
05045,7.69%, 42.19%, 49.88%, 6.33%,-, 1.60%
05047,16.53%, 36.30%, 52.83%, 10.12%,-, 0.76%
05049,23.92%, 31.99%, 55.91%, 10.77%,-, 1.33%
05051,15.33%, 37.73%, 53.06%, 7.65%,-, 1.56%
05053,18.48%, 34.77%, 53.25%, 10.06%,-, 1.91%
05055,24.92%, 32.68%, 57.61%, 8.82%,-, 0.89%
05057,39.23%, 26.76%, 65.99%, 6.63%,-, 0.61%
05059,30.90%, 28.20%, 59.10%, 11.06%,-, 1.63%
05061,27.27%, 31.91%, 59.18%, 7.97%,-, 0.95%
05063,19.08%, 34.58%, 53.66%, 9.68%,-, 2.07%
05065,22.30%, 32.82%, 55.11%, 10.58%,-, 1.49%
05067,42.75%, 23.46%, 66.22%, 9.40%,-, 0.92%
05069,48.31%, 22.87%, 71.18%, 4.64%,-, 1.31%
05071,17.83%, 34.64%, 52.47%, 11.08%,-, 1.81%
05073,38.88%, 25.25%, 64.14%, 9.73%,-, 0.88%
05075,29.78%, 29.69%, 59.47%, 9.92%,-, 0.93%
05077,49.51%, 22.25%, 71.75%, 5.64%,-, 0.35%
05079,43.89%, 24.73%, 68.62%, 6.03%,-, 0.63%
05081,34.70%, 27.56%, 62.27%, 9.39%,-, 0.78%
05083,10.82%, 37.07%, 47.89%, 13.10%,-, 1.95%
05085,10.18%, 39.95%, 50.13%, 8.53%,-, 1.40%
