id,margin,bush,gore,trash,trash2,other
01001,40.98%, 69.69%, 28.72%,-,-, 1.59%
01003,47.58%, 72.37%, 24.78%,-,-, 2.85%
01005,0.89%, 49.02%, 49.91%,-,-, 1.07%
01007,22.01%, 60.17%, 38.16%,-,-, 1.66%
01009,42.79%, 70.48%, 27.69%,-,-, 1.83%
01011,40.01%, 29.22%, 69.23%,-,-, 1.55%
01013,6.68%, 52.89%, 46.21%,-,-, 0.90%
01015,16.77%, 57.33%, 40.56%,-,-, 2.11%
01017,3.56%, 51.01%, 47.46%,-,-, 1.53%
01019,8.40%, 53.10%, 44.70%,-,-, 2.20%
01021,34.85%, 66.70%, 31.84%,-,-, 1.46%
01023,1.45%, 48.82%, 50.27%,-,-, 0.91%
01025,12.17%, 55.69%, 43.52%,-,-, 0.79%
01027,28.45%, 63.22%, 34.76%,-,-, 2.02%
01029,32.78%, 65.46%, 32.68%,-,-, 1.87%
01031,30.57%, 64.39%, 33.82%,-,-, 1.79%
01033,0.12%, 48.85%, 48.96%,-,-, 2.19%
01035,1.51%, 48.62%, 50.14%,-,-, 1.24%
01037,6.09%, 52.16%, 46.07%,-,-, 1.77%
01039,33.21%, 65.83%, 32.62%,-,-, 1.56%
01041,17.91%, 58.25%, 40.33%,-,-, 1.42%
01043,31.83%, 64.88%, 33.05%,-,-, 2.07%
01045,35.98%, 67.02%, 31.04%,-,-, 1.94%
01047,19.54%, 39.86%, 59.40%,-,-, 0.74%
01049,28.45%, 63.23%, 34.78%,-,-, 1.98%
01051,42.53%, 70.48%, 27.94%,-,-, 1.58%
01053,21.03%, 59.82%, 38.79%,-,-, 1.39%
01055,9.29%, 53.59%, 44.30%,-,-, 2.10%
01057,19.44%, 58.68%, 39.24%,-,-, 2.07%
01059,11.94%, 55.11%, 43.17%,-,-, 1.72%
01061,39.95%, 68.92%, 28.97%,-,-, 2.11%
01063,60.37%, 19.34%, 79.71%,-,-, 0.96%
01065,21.58%, 38.60%, 60.17%,-,-, 1.23%
01067,18.35%, 58.48%, 40.13%,-,-, 1.38%
01069,39.74%, 69.10%, 29.36%,-,-, 1.54%
01071,3.30%, 47.33%, 50.63%,-,-, 2.04%
01073,3.14%, 50.59%, 47.45%,-,-, 1.97%
01075,25.07%, 61.66%, 36.60%,-,-, 1.74%
01077,11.21%, 54.39%, 43.17%,-,-, 2.44%
01079,5.13%, 46.54%, 51.67%,-,-, 1.79%
01081,20.54%, 58.63%, 38.09%,-, 2.34%, 0.95%
01083,22.05%, 60.10%, 38.05%,-,-, 1.85%
01085,46.76%, 26.24%, 72.99%,-,-, 0.77%
01087,74.44%, 12.35%, 86.80%,-,-, 0.85%
01089,12.31%, 54.85%, 42.53%,-,-, 2.62%
01091,1.57%, 48.81%, 50.39%,-,-, 0.80%
01093,19.65%, 58.78%, 39.13%,-,-, 2.09%
01095,23.95%, 61.04%, 37.09%,-,-, 1.87%
01097,13.97%, 55.93%, 41.96%,-,-, 2.11%
01099,15.77%, 57.57%, 41.79%,-,-, 0.64%
01101,1.92%, 48.34%, 50.26%,-,-, 1.41%
01103,22.76%, 60.39%, 37.63%,-,-, 1.98%
01105,39.54%, 29.93%, 69.47%,-,-, 0.60%
01107,1.91%, 50.42%, 48.51%,-,-, 1.07%
01109,16.13%, 57.45%, 41.32%,-,-, 1.22%
01111,19.85%, 58.92%, 39.07%,-,-, 2.01%
01113,14.88%, 41.95%, 56.83%,-,-, 1.23%
01115,44.13%, 71.05%, 26.92%,-,-, 2.03%
01117,55.48%, 76.70%, 21.22%,-,-, 2.08%
01119,45.76%, 26.76%, 72.52%,-,-, 0.72%
01121,9.99%, 54.25%, 44.26%,-,-, 1.49%
01123,22.29%, 60.33%, 38.04%,-,-, 1.63%
01125,15.62%, 56.56%, 40.95%,-,-, 2.49%
01127,7.27%, 52.60%, 45.32%,-,-, 2.08%
01129,9.62%, 54.20%, 44.58%,-,-, 1.22%
01131,34.78%, 32.40%, 67.19%,-,-, 0.41%
01133,39.93%, 68.82%, 28.89%,-,-, 2.29%
02013,0%,-,-,-,-,-
02016,0%,-,-,-,-,-
02020,0%,-,-,-,-,-
02050,0%,-,-,-,-,-
02060,0%,-,-,-,-,-
02068,0%,-,-,-,-,-
02070,0%,-,-,-,-,-
02090,0%,-,-,-,-,-
02100,0%,-,-,-,-,-
02105,0%,-,-,-,-,-
02110,0%,-,-,-,-,-
02122,0%,-,-,-,-,-
02130,0%,-,-,-,-,-
02150,0%,-,-,-,-,-
02164,0%,-,-,-,-,-
02170,0%,-,-,-,-,-
02180,0%,-,-,-,-,-
02185,0%,-,-,-,-,-
02188,0%,-,-,-,-,-
02195,0%,-,-,-,-,-
02198,0%,-,-,-,-,-
02220,0%,-,-,-,-,-
02230,0%,-,-,-,-,-
02240,0%,-,-,-,-,-
02261,0%,-,-,-,-,-
02270,0%,-,-,-,-,-
