id,margin,bush,kerry,other3,other2,other1
01001,51.98%, 75.67%, 23.69%,-,-, 0.63%
01003,53.91%, 76.42%, 22.50%,-,-, 1.08%
01005,9.90%, 54.74%, 44.84%,-,-, 0.43%
01007,44.51%, 72.00%, 27.49%,-,-, 0.51%
01009,62.54%, 80.85%, 18.31%,-,-, 0.84%
01011,36.38%, 31.67%, 68.05%,-,-, 0.28%
01013,18.61%, 59.16%, 40.55%,-,-, 0.29%
01015,32.56%, 65.89%, 33.33%,-,-, 0.78%
01017,17.46%, 58.49%, 41.03%,-,-, 0.48%
01019,31.86%, 65.45%, 33.59%,-,-, 0.95%
01021,54.22%, 76.85%, 22.63%,-,-, 0.52%
01023,8.22%, 53.92%, 45.70%,-,-, 0.37%
01025,18.46%, 59.07%, 40.61%,-,-, 0.32%
01027,41.53%, 70.32%, 28.79%,-,-, 0.90%
01029,51.38%, 75.37%, 23.99%,-,-, 0.64%
01031,48.47%, 73.90%, 25.43%,-,-, 0.66%
01033,10.82%, 55.10%, 44.28%,-,-, 0.62%
01035,9.17%, 54.33%, 45.16%,-,-, 0.51%
01037,17.00%, 58.09%, 41.09%,-,-, 0.82%
01039,52.62%, 76.02%, 23.40%,-,-, 0.58%
01041,37.80%, 68.67%, 30.87%,-,-, 0.45%
01043,53.35%, 76.21%, 22.86%,-,-, 0.93%
01045,50.12%, 74.71%, 24.60%,-,-, 0.69%
01047,20.68%, 39.49%, 60.17%,-,-, 0.34%
01049,40.60%, 69.94%, 29.34%,-,-, 0.72%
01051,54.34%, 76.90%, 22.56%,-,-, 0.53%
01053,37.91%, 68.68%, 30.77%,-,-, 0.55%
01055,27.35%, 63.26%, 35.91%,-,-, 0.83%
01057,39.07%, 69.16%, 30.09%,-,-, 0.75%
01059,25.89%, 62.68%, 36.79%,-,-, 0.53%
01061,59.21%, 79.30%, 20.09%,-,-, 0.62%
01063,59.10%, 20.18%, 79.28%,-,-, 0.55%
01065,16.99%, 41.30%, 58.29%,-,-, 0.42%
01067,33.00%, 66.31%, 33.31%,-,-, 0.38%
01069,48.98%, 74.24%, 25.26%,-,-, 0.51%
01071,14.27%, 56.76%, 42.49%,-,-, 0.75%
01073,9.01%, 54.16%, 45.15%,-,-, 0.68%
01075,42.67%, 71.08%, 28.41%,-,-, 0.51%
01077,20.30%, 59.72%, 39.42%,-,-, 0.86%
01079,11.25%, 55.21%, 43.96%,-,-, 0.83%
01081,26.33%, 62.70%, 36.38%,-,-, 0.92%
01083,36.38%, 67.77%, 31.39%,-,-, 0.84%
01085,40.64%, 29.66%, 70.30%,-,-, 0.03%
01087,66.23%, 16.69%, 82.92%,-,-, 0.39%
01089,18.72%, 58.88%, 40.17%,-,-, 0.95%
01091,2.11%, 50.91%, 48.80%,-,-, 0.29%
01093,40.19%, 69.77%, 29.58%,-,-, 0.65%
01095,45.51%, 72.35%, 26.84%,-,-, 0.81%
01097,18.04%, 58.69%, 40.65%,-,-, 0.65%
01099,22.71%, 61.16%, 38.45%,-,-, 0.39%
01101,1.19%, 49.19%, 50.37%,-,-, 0.44%
01103,39.03%, 69.09%, 30.06%,-,-, 0.85%
01105,36.74%, 31.47%, 68.21%,-,-, 0.33%
01107,13.74%, 56.61%, 42.87%,-,-, 0.51%
01109,26.50%, 62.97%, 36.47%,-,-, 0.56%
01111,36.77%, 68.07%, 31.30%,-,-, 0.63%
01113,0.23%, 49.60%, 49.82%,-,-, 0.58%
01115,61.88%, 80.59%, 18.71%,-,-, 0.70%
01117,61.57%, 80.39%, 18.82%,-,-, 0.79%
01119,41.15%, 29.22%, 70.37%,-,-, 0.40%
01121,23.27%, 61.31%, 38.04%,-,-, 0.65%
01123,38.66%, 69.03%, 30.36%,-,-, 0.61%
01125,23.53%, 61.40%, 37.87%,-,-, 0.72%
01127,35.78%, 67.57%, 31.78%,-,-, 0.65%
01129,23.22%, 61.36%, 38.14%,-,-, 0.51%
01131,35.27%, 32.28%, 67.55%,-,-, 0.18%
01133,56.55%, 78.00%, 21.45%,-,-, 0.55%
02013,0%,-,-,-,-,-
02016,0%,-,-,-,-,-
02020,0%,-,-,-,-,-
02050,0%,-,-,-,-,-
02060,0%,-,-,-,-,-
02068,0%,-,-,-,-,-
02070,0%,-,-,-,-,-
02090,0%,-,-,-,-,-
02100,0%,-,-,-,-,-
02105,0%,-,-,-,-,-
02110,0%,-,-,-,-,-
02122,0%,-,-,-,-,-
02130,0%,-,-,-,-,-
02150,0%,-,-,-,-,-
02164,0%,-,-,-,-,-
02170,0%,-,-,-,-,-
02180,0%,-,-,-,-,-
02185,0%,-,-,-,-,-
02188,0%,-,-,-,-,-
02195,0%,-,-,-,-,-
02198,0%,-,-,-,-,-
02220,0%,-,-,-,-,-
02230,0%,-,-,-,-,-
02240,0%,-,-,-,-,-
02261,0%,-,-,-,-,-
02270,0%,-,-,-,-,-
02275,0%,-,-,-,-,-
02282,0%,-,-,-,-,-
02290,0%,-,-,-,-,-
04001,30.06%, 34.65%, 64.71%,-,-, 0.64%
04003,20.28%, 59.55%, 39.27%,-,-, 1.18%
04005,12.82%, 43.00%, 55.82%,-,-, 1.19%
04007,19.30%, 59.12%, 39.82%,-,-, 1.05%
04009,39.94%, 69.65%, 29.71%,-,-, 0.63%
04011,24.55%, 61.92%, 37.37%,-,-, 0.72%
04012,25.87%, 62.42%, 36.55%,-,-, 1.03%
04013,14.61%, 56.86%, 42.25%,-,-, 0.89%
04015,28.13%, 63.53%, 35.40%,-,-, 1.07%
04017,7.60%, 53.32%, 45.72%,-,-, 0.96%
04019,5.99%, 46.56%, 52.55%,-,-, 0.89%
04021,15.09%, 57.27%, 42.17%,-,-, 0.56%
04023,19.17%, 39.93%, 59.11%,-,-, 0.96%
04025,23.22%, 61.05%, 37.82%,-,-, 1.13%
04027,15.97%, 57.58%, 41.61%,-,-, 0.81%
05001,9.78%, 54.55%, 44.77%,-,-, 0.68%
05003,8.06%, 53.65%, 45.59%,-,-, 0.75%
05005,21.58%, 60.05%, 38.47%,-,-, 1.47%
05007,37.90%, 68.37%, 30.47%,-,-, 1.17%
05009,34.87%, 66.27%, 31.40%,-,-, 2.33%
05011,4.59%, 47.33%, 51.92%,-,-, 0.75%
05013,17.44%, 58.29%, 40.84%,-,-, 0.87%
05015,19.30%, 59.00%, 39.70%,-,-, 1.30%
05017,26.66%, 36.26%, 62.92%,-,-, 0.82%
05019,9.18%, 44.99%, 54.17%,-,-, 0.84%
05021,8.28%, 45.26%, 53.54%,-,-, 1.20%
05023,22.02%, 60.43%, 38.41%,-,-, 1.16%
05025,15.99%, 57.47%, 41.48%,-,-, 1.06%
05027,16.36%, 57.82%, 41.46%,-,-, 0.73%
05029,0.33%, 49.59%, 49.26%,-,-, 1.15%
05031,7.22%, 53.08%, 45.85%,-,-, 1.07%
05033,32.48%, 65.64%, 33.16%,-,-, 1.21%
05035,8.80%, 45.29%, 54.10%,-,-, 0.61%
05037,10.31%, 54.62%, 44.32%,-,-, 1.06%
05039,0.86%, 50.18%, 49.32%,-,-, 0.50%
05041,24.14%, 37.21%, 61.35%,-,-, 1.44%
05043,4.96%, 52.20%, 47.24%,-,-, 0.56%
05045,19.02%, 58.64%, 39.63%,-,-, 1.73%
05047,16.09%, 57.36%, 41.27%,-,-, 1.37%
05049,3.07%, 50.90%, 47.83%,-,-, 1.27%
05051,9.20%, 54.13%, 44.93%,-,-, 0.95%
05053,24.83%, 62.11%, 37.28%,-,-, 0.61%
05055,4.82%, 51.86%, 47.04%,-,-, 1.10%
05057,3.18%, 48.04%, 51.22%,-,-, 0.74%
05059,0.49%, 49.40%, 48.91%,-,-, 1.69%
05061,11.53%, 55.35%, 43.82%,-,-, 0.83%
