statecounty,Margin,McCain,Obama,Other
01001,47.84%, 73.61%, 25.77%, 0.61%
01003,51.45%, 75.26%, 23.81%, 0.93%
01005,1.45%, 50.44%, 48.99%, 0.58%
01007,45.85%, 72.44%, 26.60%, 0.96%
01009,69.51%, 84.02%, 14.51%, 1.47%
01011,48.38%, 25.69%, 74.07%, 0.24%
01013,13.36%, 56.49%, 43.14%, 0.37%
01015,32.52%, 65.69%, 33.17%, 1.14%
01017,8.48%, 53.94%, 45.46%, 0.60%
01019,51.23%, 74.89%, 23.66%, 1.45%
01021,57.84%, 78.49%, 20.66%, 0.85%
01023,7.44%, 53.50%, 46.06%, 0.44%
01025,11.55%, 55.57%, 44.02%, 0.41%
01027,47.28%, 73.09%, 25.81%, 1.10%
01029,62.35%, 80.35%, 17.99%, 1.66%
01031,48.89%, 74.12%, 25.23%, 0.65%
01033,20.27%, 59.33%, 39.06%, 1.61%
01035,0.59%, 49.98%, 49.39%, 0.63%
01037,17.53%, 58.39%, 40.86%, 0.75%
01039,58.30%, 78.82%, 20.52%, 0.65%
01041,37.85%, 68.65%, 30.81%, 0.54%
01043,65.24%, 81.85%, 16.61%, 1.54%
01045,44.60%, 71.87%, 27.28%, 0.85%
01047,34.47%, 32.60%, 67.07%, 0.33%
01049,51.21%, 74.77%, 23.56%, 1.67%
01051,50.93%, 75.12%, 24.19%, 0.69%
01053,28.53%, 63.89%, 35.36%, 0.76%
01055,38.22%, 68.39%, 30.17%, 1.44%
01057,48.88%, 73.93%, 25.06%, 1.01%
01059,39.16%, 68.83%, 29.67%, 1.51%
01061,62.48%, 80.78%, 18.31%, 0.91%
01063,66.58%, 16.51%, 83.09%, 0.40%
01065,21.69%, 38.96%, 60.65%, 0.39%
01067,29.68%, 64.58%, 34.90%, 0.52%
01069,40.80%, 70.09%, 29.29%, 0.61%
01071,36.93%, 67.47%, 30.54%, 2.00%
01073,5.09%, 47.07%, 52.15%, 0.78%
01075,53.78%, 76.59%, 22.81%, 0.59%
01077,28.18%, 63.16%, 34.98%, 1.86%
01079,28.02%, 63.19%, 35.18%, 1.63%
01081,19.76%, 59.33%, 39.57%, 1.10%
01083,41.91%, 70.33%, 28.42%, 1.24%
01085,50.01%, 24.86%, 74.87%, 0.27%
01087,74.05%, 12.83%, 86.88%, 0.29%
01089,14.94%, 56.88%, 41.93%, 1.19%
01091,3.57%, 48.09%, 51.66%, 0.25%
01093,56.14%, 77.18%, 21.04%, 1.77%
01095,56.35%, 77.57%, 21.22%, 1.21%
01097,8.75%, 54.04%, 45.30%, 0.66%
01099,10.22%, 54.88%, 44.66%, 0.46%
01101,19.22%, 40.13%, 59.35%, 0.52%
01103,43.76%, 71.26%, 27.49%, 1.25%
01105,45.10%, 27.26%, 72.37%, 0.37%
01107,8.34%, 53.98%, 45.63%, 0.39%
01109,15.23%, 57.36%, 42.13%, 0.52%
01111,39.59%, 69.10%, 29.51%, 1.40%
01113,7.30%, 46.02%, 53.32%, 0.66%
01115,63.24%, 81.11%, 17.87%, 1.02%
01117,53.43%, 76.19%, 22.75%, 1.06%
01119,50.33%, 24.66%, 74.99%, 0.36%
01121,18.52%, 58.80%, 40.28%, 0.92%
01123,36.52%, 67.92%, 31.40%, 0.68%
01125,15.98%, 57.54%, 41.56%, 0.90%
01127,46.43%, 72.32%, 25.90%, 1.78%
01129,29.48%, 64.43%, 34.95%, 0.62%
01131,42.25%, 28.77%, 71.02%, 0.22%
01133,63.26%, 80.78%, 17.52%, 1.70%
02013,0%,-,-,-
02016,0%,-,-,-
02020,0%,-,-,-
02050,0%,-,-,-
02060,0%,-,-,-
02068,0%,-,-,-
02070,0%,-,-,-
02090,0%,-,-,-
02100,0%,-,-,-
