state_index,county_name,d_percent,d_total,r_percent,r_total,o_percent,o_total
1,Autauga,25.8,6093,73.6,17403,0.6,145
1,Baldwin,23.8,19386,75.3,61271,0.9,756
1,Barbour,49.0,5697,50.4,5866,0.6,67
1,Bibb,26.6,2299,72.4,6262,1.0,83
1,Blount,14.5,3522,84.0,20389,1.5,356
1,Bullock,74.1,4011,25.7,1391,0.2,13
1,Butler,43.1,4188,56.5,5485,0.4,36
1,Calhoun,33.2,16334,65.7,32348,1.1,560
1,Chambers,45.5,6799,53.9,8067,0.6,90
1,Cherokee,23.7,2306,74.9,7298,1.4,141
1,Chilton,20.7,3674,78.5,13960,0.8,151
1,Choctaw,46.1,3636,53.5,4223,0.4,35
1,Clarke,44.0,5914,55.6,7466,0.4,55
1,Clay,25.8,1760,73.1,4984,1.1,75
1,Cleburne,18.0,1168,80.3,5216,1.7,108
1,Coffee,25.2,5079,74.1,14919,0.6,130
1,Colbert,39.1,9703,59.3,14739,1.6,401
1,Conecuh,49.4,3429,50.0,3470,0.6,44
1,Coosa,40.9,2273,58.4,3248,0.8,42
1,Covington,20.5,3240,78.8,12444,0.7,103
1,Crenshaw,30.8,1938,68.7,4319,0.5,34
1,Cullman,16.6,5864,81.8,28896,1.5,545
1,Dale,27.3,5270,71.9,13886,0.8,164
1,Dallas,67.1,13986,32.6,6798,0.3,68
1,DeKalb,23.6,5658,74.8,17957,1.7,400
1,Elmore,24.2,8301,75.1,25777,0.7,237
1,Escambia,35.4,5188,63.9,9375,0.8,111
1,Etowah,30.2,13497,68.4,30595,1.4,645
1,Fayette,25.1,1994,73.9,5883,1.0,80
1,Franklin,29.7,3469,68.8,8048,1.5,176
1,Geneva,18.3,2134,80.8,9417,0.9,106
1,Greene,83.1,4408,16.5,876,0.4,21
1,Hale,60.7,4982,39.0,3200,0.4,32
1,Henry,34.9,3018,64.6,5585,0.5,45
1,Houston,29.3,12225,70.1,29254,0.6,256
1,Jackson,30.5,6374,67.5,14083,2.0,417
1,Jefferson,52.2,166121,47.1,149921,0.8,2482
1,Lamar,22.8,1614,76.6,5419,0.6,42
1,Lauderdale,35.0,13329,63.2,24068,1.9,707
1,Lawrence,35.2,5164,63.2,9277,1.6,239
1,Lee,39.6,21498,59.3,32230,1.1,597
1,Limestone,28.4,9536,70.3,23598,1.2,417
1,Lowndes,74.9,5449,24.9,1809,0.3,20
1,Macon,86.9,9450,12.8,1396,0.3,31
1,Madison,41.9,64117,56.9,86965,1.2,1817
1,Marengo,51.7,5926,48.1,5516,0.3,29
1,Marion,21.0,2600,77.2,9536,1.8,219
1,Marshall,21.2,7038,77.6,25727,1.2,401
1,Mobile,45.3,82181,54.0,98049,0.7,1194
1,Monroe,44.7,5025,54.9,6175,0.5,52
1,Montgomery,59.4,62166,40.1,42031,0.5,546
1,Morgan,27.5,13895,71.3,36014,1.3,633
1,Perry,72.4,4457,27.3,1679,0.4,23
1,Pickens,45.6,4594,54.0,5434,0.4,39
1,Pike,42.1,5879,57.4,8004,0.5,72
1,Randolph,29.5,3064,69.1,7175,1.4,145
1,Russell,53.3,10085,46.0,8705,0.7,125
1,St. Clair,17.9,6091,81.1,27649,1.0,348
1,Shelby,22.8,20625,76.2,69060,1.1,958
1,Sumter,75.0,5264,24.7,1731,0.4,25
1,Talladega,40.3,13779,58.8,20112,0.9,313
1,Tallapoosa,31.4,6063,67.9,13116,0.7,132
1,Tuscaloosa,41.6,32796,57.5,45405,0.9,711
1,Walker,25.9,7420,72.3,20722,1.8,510
1,Washington,35.0,3067,64.4,5654,0.6,54
1,Wilcox,71.0,4612,28.8,1868,0.2,14
1,Winston,17.5,1757,80.8,8103,1.7,171
2,District 1,37.3,2597,59.5,4149,3.2,224
2,District 2,44.8,3468,52.1,4029,3.1,238
2,District 3,64.5,5657,32.3,2829,3.2,281
2,District 4,47.6,4161,49.2,4302,3.1,273
2,District 5,47.6,3393,48.1,3426,4.3,304
2,District 6,34.5,2351,62.0,4234,3.5,239
2,District 7,39.3,4283,57.8,6297,2.9,314
2,District 8,48.4,4995,48.3,4983,3.3,342
2,District 9,39.3,2805,58.0,4141,2.8,197
2,District 10,36.9,2074,60.4,3392,2.7,149
2,District 11,19.5,1924,78.4,7736,2.1,206
2,District 12,25.2,1914,72.0,5467,2.7,208
2,District 13,24.3,2800,73.2,8432,2.6,294
2,District 14,20.4,2132,77.5,8108,2.1,216
2,District 15,22.6,2510,74.2,8227,3.1,349
2,District 16,24.6,2636,72.7,7774,2.7,287
2,District 17,28.0,2645,70.1,6621,1.9,182
2,District 18,31.9,2046,66.3,4252,1.8,113
2,District 19,42.0,3095,55.7,4106,2.3,171
2,District 20,48.2,2474,49.4,2536,2.5,128
2,District 21,42.0,3647,55.8,4837,2.2,191
2,District 22,50.3,3337,46.9,3109,2.8,188
2,District 23,57.5,4075,39.6,2808,2.8,199
2,District 24,44.0,3380,53.7,4127,2.4,181
2,District 25,50.2,3233,47.2,3042,2.6,168
2,District 26,51.4,4472,46.4,4037,2.1,186
2,District 27,36.8,3130,60.7,5159,2.5,209
2,District 28,37.2,3642,60.8,5953,2.0,197
2,District 29,38.6,2684,59.3,4127,2.2,151
2,District 30,38.0,3486,59.9,5500,2.1,197
2,District 31,35.2,3596,62.8,6419,2.0,205
2,District 32,42.1,5176,55.8,6867,2.1,264
2,District 33,23.4,2089,73.8,6571,2.8,249
2,District 34,20.1,1920,77.1,7358,2.8,270
2,District 35,44.8,4254,52.2,4959,3.1,290
2,District 36,33.9,2264,63.0,4201,3.1,208
2,District 37,40.0,1868,57.0,2661,2.9,136
2,District 38,52.9,2549,42.7,2056,4.5,215
2,District 39,52.0,2695,44.8,2323,3.2,166
2,District 40,42.7,2137,53.7,2686,3.5,177
