id,margin,romney,obama,other
01001,45.95%, 72.49%, 26.54%, 0.96%
01003,55.67%, 77.22%, 21.55%, 1.23%
01005,3.14%, 48.19%, 51.33%, 0.48%
01007,46.67%, 72.83%, 26.15%, 1.02%
01009,73.93%, 86.27%, 12.34%, 1.38%
01011,52.80%, 23.51%, 76.31%, 0.19%
01013,7.50%, 53.54%, 46.03%, 0.43%
01015,31.85%, 65.30%, 33.45%, 1.24%
01017,5.16%, 52.13%, 46.97%, 0.90%
01019,54.88%, 76.65%, 21.77%, 1.57%
01021,60.25%, 79.68%, 19.43%, 0.89%
01023,4.59%, 52.06%, 47.47%, 0.48%
01025,8.20%, 53.90%, 45.70%, 0.40%
01027,45.52%, 72.12%, 26.61%, 1.27%
01029,68.06%, 83.43%, 15.37%, 1.20%
01031,49.14%, 73.99%, 24.85%, 1.16%
01033,20.35%, 59.44%, 39.10%, 1.46%
01035,1.65%, 48.95%, 50.60%, 0.44%
01037,16.24%, 57.72%, 41.48%, 0.80%
01039,58.26%, 78.72%, 20.45%, 0.83%
01041,35.51%, 67.42%, 31.91%, 0.67%
01043,69.30%, 83.92%, 14.62%, 1.46%
01045,42.05%, 70.47%, 28.42%, 1.11%
01047,39.71%, 29.99%, 69.70%, 0.31%
01049,54.66%, 76.54%, 21.87%, 1.59%
01051,48.67%, 73.86%, 25.19%, 0.95%
01053,25.50%, 62.35%, 36.85%, 0.79%
01055,38.30%, 68.34%, 30.04%, 1.62%
01057,53.24%, 76.07%, 22.83%, 1.09%
01059,40.40%, 69.54%, 29.14%, 1.31%
01061,62.98%, 80.97%, 17.99%, 1.03%
01063,69.57%, 15.05%, 84.62%, 0.34%
01065,25.45%, 37.12%, 62.58%, 0.30%
01067,29.03%, 64.20%, 35.17%, 0.63%
01069,40.26%, 69.72%, 29.46%, 0.83%
01071,41.77%, 69.98%, 28.22%, 1.80%
01073,5.97%, 46.53%, 52.50%, 0.97%
01075,53.11%, 76.05%, 22.94%, 1.02%
01077,30.78%, 64.57%, 33.78%, 1.65%
01079,26.89%, 62.72%, 35.83%, 1.45%
01081,19.84%, 59.08%, 39.23%, 1.69%
01083,43.52%, 71.17%, 27.66%, 1.17%
01085,53.05%, 23.34%, 76.39%, 0.27%
01087,74.20%, 12.80%, 87.00%, 0.19%
01089,18.57%, 58.47%, 39.90%, 1.63%
01091,7.20%, 46.23%, 53.43%, 0.35%
01093,61.41%, 79.95%, 18.54%, 1.51%
01095,59.94%, 79.24%, 19.30%, 1.46%
01097,9.21%, 54.18%, 44.97%, 0.85%
01099,7.72%, 53.57%, 45.85%, 0.58%
01101,24.25%, 37.56%, 61.81%, 0.64%
01103,44.38%, 71.56%, 27.17%, 1.27%
01105,50.19%, 24.68%, 74.87%, 0.44%
01107,6.95%, 53.26%, 46.30%, 0.44%
01109,13.65%, 56.38%, 42.73%, 0.89%
01111,39.79%, 69.32%, 29.54%, 1.14%
01113,11.75%, 43.78%, 55.53%, 0.70%
01115,65.93%, 82.39%, 16.46%, 1.14%
01117,55.41%, 77.03%, 21.62%, 1.35%
01119,54.55%, 22.56%, 77.11%, 0.33%
01121,15.98%, 57.60%, 41.61%, 0.79%
01123,32.24%, 65.76%, 33.52%, 0.72%
01125,17.39%, 58.08%, 40.68%, 1.24%
01127,52.80%, 75.74%, 22.94%, 1.32%
01129,31.69%, 65.56%, 33.87%, 0.57%
01131,48.65%, 25.61%, 74.26%, 0.12%
01133,72.22%, 85.44%, 13.22%, 1.34%
02013,0%,-,-,-
02016,0%,-,-,-
02020,0%,-,-,-
02050,0%,-,-,-
02060,0%,-,-,-
02068,0%,-,-,-
02070,0%,-,-,-
02090,0%,-,-,-
02100,0%,-,-,-
02105,0%,-,-,-
02110,0%,-,-,-
02122,0%,-,-,-
02130,0%,-,-,-
02150,0%,-,-,-
02164,0%,-,-,-
02170,0%,-,-,-
02180,0%,-,-,-
02185,0%,-,-,-
02188,0%,-,-,-
02195,0%,-,-,-
02198,0%,-,-,-
02220,0%,-,-,-
02230,0%,-,-,-
02240,0%,-,-,-
02261,0%,-,-,-
02270,0%,-,-,-
02275,0%,-,-,-
02282,0%,-,-,-
02290,0%,-,-,-
04001,34.33%, 31.83%, 66.16%, 2.01%
04003,22.26%, 59.95%, 37.69%, 2.35%
04005,15.47%, 40.84%, 56.30%, 2.86%
04007,26.66%, 62.31%, 35.64%, 2.05%
04009,37.52%, 67.84%, 30.31%, 1.85%
04011,9.44%, 53.32%, 43.87%, 0.77%
04012,31.98%, 64.76%, 32.78%, 2.46%
04013,10.69%, 54.30%, 43.61%, 2.08%
04015,42.14%, 69.91%, 27.77%, 2.31%
04017,7.84%, 53.07%, 45.23%, 1.70%
04019,6.91%, 45.61%, 52.52%, 1.86%
04021,16.35%, 57.12%, 40.77%, 2.11%
04023,37.75%, 30.44%, 68.19%, 1.37%
04025,30.35%, 64.04%, 33.69%, 2.27%
04027,12.58%, 55.50%, 42.92%, 1.57%
05001,22.21%, 60.01%, 37.80%, 2.19%
05003,25.35%, 61.44%, 36.09%, 2.46%
05005,44.04%, 70.78%, 26.74%, 2.48%
05007,40.39%, 68.95%, 28.56%, 2.49%
05009,48.00%, 72.50%, 24.51%, 2.99%
05011,18.76%, 58.43%, 39.68%, 1.89%
05013,36.71%, 67.07%, 30.36%, 2.58%
05015,23.85%, 60.15%, 36.30%, 1.37%
05017,22.45%, 38.29%, 60.74%, 0.96%
05019,6.33%, 51.65%, 45.32%, 3.03%
05021,29.10%, 63.11%, 34.01%, 2.88%
05023,52.14%, 74.64%, 22.50%, 2.87%
05025,44.95%, 70.82%, 25.87%, 3.31%
05027,23.62%, 61.24%, 37.62%, 1.14%
05029,19.52%, 58.40%, 38.87%, 2.73%
05031,30.99%, 64.20%, 33.21%, 2.60%
05033,49.85%, 73.55%, 23.70%, 2.74%
05035,14.89%, 41.86%, 56.75%, 1.38%
05037,29.79%, 63.90%, 34.11%, 1.99%
05039,10.64%, 53.99%, 43.35%, 2.66%
05041,12.38%, 42.90%, 55.27%, 1.83%
05043,18.95%, 58.60%, 39.65%, 1.75%
05045,31.60%, 64.45%, 32.85%, 2.69%
05047,44.42%, 70.81%, 26.39%, 2.80%
05049,33.10%, 65.21%, 32.11%, 2.68%
05051,29.98%, 63.87%, 33.89%, 2.23%
05053,51.88%, 74.53%, 22.66%, 2.81%
05055,36.85%, 65.92%, 29.07%, 1.88%
05057,26.24%, 61.90%, 35.66%, 2.44%
05059,29.01%, 63.03%, 34.01%, 2.96%
05061,31.85%, 64.81%, 32.97%, 2.22%
05063,43.94%, 70.40%, 26.47%, 3.13%
05065,38.86%, 67.73%, 28.87%, 3.39%
05067,18.27%, 57.45%, 39.18%, 3.37%
05069,29.03%, 34.77%, 63.80%, 1.44%
05071,27.97%, 62.53%, 34.56%, 2.90%
05073,18.44%, 58.48%, 40.05%, 1.47%
05075,31.55%, 63.83%, 32.27%, 1.71%
05077,24.15%, 37.38%, 61.54%, 1.08%
05079,20.77%, 59.02%, 38.24%, 2.74%
05081,36.29%, 67.02%, 30.73%, 2.26%
05083,41.88%, 69.28%, 27.40%, 3.31%
05085,50.82%, 74.15%, 23.33%, 2.53%
05087,32.95%, 64.91%, 31.96%, 3.14%
05089,38.82%, 67.71%, 28.89%, 1.29%
05091,39.82%, 69.29%, 29.47%, 1.23%
05093,1.02%, 49.37%, 48.35%, 2.28%
05095,0.06%, 49.07%, 49.01%, 1.92%
05097,42.57%, 69.59%, 27.03%, 3.38%
05099,20.15%, 58.98%, 38.83%, 2.19%
05101,41.38%, 68.51%, 27.12%, 2.05%
05103,8.61%, 53.52%, 44.92%, 1.56%
05105,35.40%, 65.54%, 30.14%, 1.83%
05107,32.84%, 32.76%, 65.60%, 1.64%
05109,52.69%, 75.16%, 22.47%, 2.38%
05111,34.18%, 65.79%, 31.61%, 2.59%
05113,56.94%, 77.08%, 20.14%, 2.78%
05115,47.15%, 72.23%, 25.08%, 2.69%
05117,40.53%, 68.55%, 28.02%, 3.44%
05119,11.46%, 43.28%, 54.74%, 1.98%
05121,27.79%, 62.14%, 34.35%, 1.48%
05123,18.44%, 40.28%, 58.72%, 1.00%
05125,42.70%, 70.04%, 27.34%, 2.61%
05127,47.64%, 72.28%, 24.64%, 3.08%
05129,51.03%, 73.06%, 22.04%, 2.33%
05131,37.08%, 67.27%, 30.19%, 2.54%
05133,48.36%, 72.42%, 24.06%, 3.51%
05135,38.84%, 67.57%, 28.72%, 1.57%
05137,45.20%, 70.53%, 25.33%, 1.51%
05139,26.22%, 62.29%, 36.07%, 1.64%
05141,39.39%, 67.88%, 28.49%, 1.42%
05143,16.25%, 56.33%, 40.07%, 1.26%
05145,53.73%, 75.47%, 21.74%, 2.78%
05147,4.21%, 45.70%, 49.91%, 2.05%
05149,38.83%, 67.66%, 28.82%, 3.52%
06001,60.56%, 18.12%, 78.69%, 3.19%
06003,23.39%, 36.09%, 59.48%, 4.43%
06005,19.50%, 58.11%, 38.60%, 3.29%
06007,1.99%, 48.87%, 46.88%, 4.26%
06009,16.90%, 56.56%, 39.66%, 3.78%
06011,21.29%, 59.57%, 38.28%, 2.15%
06013,35.14%, 31.09%, 66.23%, 2.69%
06015,9.38%, 52.61%, 43.23%, 4.16%
06017,17.76%, 57.27%, 39.51%, 3.21%
06019,1.79%, 47.94%, 49.72%, 2.34%
06021,25.23%, 60.97%, 35.73%, 3.30%
