id,1920,1924,1928,1932,1936,1940,1944,1948,1956,1964,1968,1972,1976,1980,1984,1992
1001,2f02cd,2707d0,6f008f,1702e4,0d01f0,0e01ee,1500e8,15e900,5f1d81,da2400,13b532,bf0638,7b057e,910a62,b20448,8e1f4e
1003,4902a1,463483,82017b,3100c0,2503c8,2c02c3,4002bb,38c600,820775,ce3000,1dc419,d10428,930566,a70b4b,c00638,902942
1005,1c02df,0d07e9,5a02a1,0700f7,0501f8,0901f4,0700f2,0ef000,390abb,cb3300,0cb03c,b40742,6e058a,76047e,890273,6d1876
1007,2b00c3,2e2ea2,740089,1404e6,1700e6,1502e6,2802d4,17e700,630a91,d62800,0ecc23,c80432,5a01a2,70018c,9c0161,761a6e
1009,7d017f,68078f,84007a,3304c6,3502c7,3b02c1,5001ad,4cb200,71038a,a45a00,38b709,ca0331,62029a,880471,ad044c,891e53
1011,0000fe,0002fc,4200bc,0003fb,0001fd,0003fb,0500f9,00fe00,3d1ba5,926c00,0b7e73,780580,4a03b1,4103b3,5103aa,420eac
1013,1a03e1,1317d4,5c00a2,0701f5,0800f5,0005f9,0a00f4,10ee00,5f128d,cd3100,11c22a,c2013a,660097,74057e,90036a,691a78
1015,3f02bd,450dac,8a0073,2201db,1d02de,2000dd,2301da,34ca00,5206a6,a05e00,1db627,c40238,5b039f,7d077a,9b0d55,7a1c62
1017,2301da,1105e8,a1005d,1e00df,0700f7,0600f7,0d00f0,1fdf00,3604c3,a45a00,19bd20,c90430,760484,68088e,970264,6e1b73
1019,6f048b,5e059a,a0005e,2803d3,2601d7,2001dd,2f02cd,2ad400,3d00c1,7e8000,0fd614,b70344,3c03be,620795,82027a,581b88
1021,b0044a,a10855,b0004d,780482,5c01a1,6b0093,680095,718d00,9b055d,c13d00,2dbd10,d30426,740288,920368,b30b40,8f1857
1023,1200ec,0005f9,4100bd,0700f7,0b00f3,0800f6,1000ed,00fe00,410ab3,da2400,07b144,9a0262,6e018f,6e018e,890075,671084
1025,0801f5,1103ea,5b00a3,0500f9,0500f9,0003fb,0f00ef,05f900,62009b,d32b00,0eb632,b40445,740486,78087d,940169,77126d
1027,7e0080,610598,a70056,4d02af,3b01b7,4801b5,5201aa,41bd00,7a0380,b24c00,23cc0c,e1011c,62019a,7a057e,ad0749,7e1c5b
1029,950069,820774,94006a,3800c5,4e01af,3d00c1,5801a5,4eb000,6d0091,c23c00,1ed30a,d90024,5b039f,860473,b30644,761e68
1031,4701b6,2a03d1,63009b,0800f6,0801f5,0f00ef,0900f4,0df100,2f06c9,cc3200,10d219,cc0230,5e029e,800974,b20349,7c215e
1033,4000b8,4016a8,5000a7,1801e4,1100ec,1500e9,2000de,27d700,3303c7,7b8300,1cb925,ac084a,4305b5,540a9f,730585,5b178a
1035,2000de,1508e0,8f006f,0c00f2,0901f3,0500f9,1302e8,0bf300,51109c,cf2f00,08b636,be023d,5c049e,79057f,8e026e,63167f
1037,6b0291,620399,9a0064,2902d2,2505d4,3001cc,4301b9,3ec000,6c038e,b94500,16bd29,c40138,5002ab,670690,960167,68197b
1039,3400c3,1310da,74008a,0600f7,0900f4,0900f5,1400ea,0df100,4c0ba6,d12d00,10dd0f,d90124,670393,830576,b60246,7c225b
1041,2d01d0,1703e3,6c0092,0d00ea,0900f4,0700f6,0e00ef,06f800,300dc1,c83600,09d121,b90440,5704a3,780383,9d055c,701773
1043,91016b,730c7e,a60058,3d05bc,4e00af,5900a4,5b01a1,53ab00,70008d,946a00,49a310,ca0132,5702a4,750584,a20358,7e245b
1045,5a02a2,3404c5,72008c,1000ee,1200eb,2000dd,2102da,24da00,58079f,d52900,0fd516,d40228,6e048c,920764,c0023b,832752
1047,0700f7,060fe9,4400ba,0701f6,0004fa,0c00f2,0c00f1,0bf300,6e2b64,e31b00,138663,9a0360,6f058a,6b0489,750286,600e8f
1049,8c0170,880076,970067,72028a,6d0091,5600a7,5f009e,6e9000,7e0080,936b00,5b8b15,b50048,660197,830278,9f005f,7c2061
