id,1948,1956,1964,1968,1992
1001,15e900,5f1d81,da2400,13b532,8e1f4e
1003,38c600,820775,ce3000,1dc419,902942
1005,0ef000,390abb,cb3300,0cb03c,6d1876
1007,17e700,630a91,d62800,0ecc23,761a6e
1009,4cb200,71038a,a45a00,38b709,891e53
1011,00fe00,3d1ba5,926c00,0b7e73,420eac
1013,10ee00,5f128d,cd3100,11c22a,691a78
1015,34ca00,5206a6,a05e00,1db627,7a1c62
1017,1fdf00,3604c3,a45a00,19bd20,6e1b73
1019,2ad400,3d00c1,7e8000,0fd614,581b88
1021,718d00,9b055d,c13d00,2dbd10,8f1857
1023,00fe00,410ab3,da2400,07b144,671084
1025,05f900,62009b,d32b00,0eb632,77126d
1027,41bd00,7a0380,b24c00,23cc0c,7e1c5b
1029,4eb000,6d0091,c23c00,1ed30a,761e68
1031,0df100,2f06c9,cc3200,10d219,7c215e
1033,27d700,3303c7,7b8300,1cb925,5b178a
1035,0bf300,51109c,cf2f00,08b636,63167f
1037,3ec000,6c038e,b94500,16bd29,68197b
1039,0df100,4c0ba6,d12d00,10dd0f,7c225b
1041,06f800,300dc1,c83600,09d121,701773
1043,53ab00,70008d,946a00,49a310,7e245b
1045,24da00,58079f,d52900,0fd516,832752
1047,0bf300,6e2b64,e31b00,138663,600e8f
1049,6e9000,7e0080,936b00,5b8b15,7c2061
1051,10ee00,4c139e,d52900,11c325,8e224d
1053,19e500,4910a5,bd4100,10c823,76205f
1055,35c900,5c049e,966800,23af25,68197b
1057,5ba300,7e017e,b54900,21bf1b,6c1e73
1059,708e00,80007e,8f6f00,46a510,671780
1061,22dc00,4906af,cd3100,08e90b,7d225d
1063,0cf200,4b0aa8,a75700,0b638f,2a0ac9
1065,0af400,430dae,c53900,0c8e61,541493
1067,0bf300,280ec7,d32b00,00cb2e,741a6e
1069,22dc00,621587,e01e00,0fd516,941d4b
1071,41bd00,4700b6,768800,1bc617,4c218f
1073,30ce00,7f0f70,b94500,318445,7f126b
1075,1ce200,4102bb,b84600,0fe10d,781c69
1077,24da00,3501c7,798500,27b51d,671e78
1079,32cc00,4801b4,7f7f00,13d316,4e238c
1081,20de00,5008a6,c83600,2d9536,792062
1083,0ef000,1f00de,708e00,15cf15,742a5f
1085,00fe00,453385,d42a00,128e60,410ead
1087,17e700,7c0b77,629c00,0a40b1,2008d3
1089,21dd00,3e02be,847a00,409227,79285c
1091,08f600,540f9b,d12d00,0c9060,65147f
1093,53ab00,770186,b14d00,2dc20b,6d1a76
1095,41bd00,5202a9,8f6f00,29c20e,742463
1097,31cd00,850b6e,b44a00,1dab33,811a61
1099,00fe00,410bb2,cf2f00,0db53a,801365
1101,1ce200,762b5d,c03e00,249542,78166e
1103,1de100,4505b3,906e00,22c015,7a2c57
1105,07f700,561f89,cb3300,0e7f70,5009a2
1107,0fef00,590f95,d12d00,0cb739,711576
1109,0cf200,420eae,d72700,14b82f,7b176a
1111,45b900,5401a8,9f5f00,1fbf18,771c67
1113,0df100,4808ae,c13d00,0fab3d,5a168c
1115,5aa400,7d057c,b44a00,2ab916,921e4c
1117,53ab00,840872,c03e00,28b71a,ad1a36
1119,0bf300,581195,cc3200,10727b,410eae
1121,28d600,6f048b,b44a00,1ab72a,7a1967
1123,10ee00,4403b7,c23c00,19c31c,86195e
1125,1ee000,5c0b97,af4f00,22a731,781e67
1127,4eb000,660197,946a00,22bd19,611c80
1129,05f900,4d08a9,b24c00,08cb28,66197e
1131,00fe00,562286,ea1400,0d905f,5008a5
1133,a45a00,a70057,b54900,648b0b,8c1c56
2013,000000,000000,000000,0,000000
2016,000000,000000,000000,0,000000
2020,000000,000000,000000,0,000000
2050,000000,000000,000000,0,000000
2060,000000,000000,000000,0,000000
2068,000000,000000,000000,0,000000
2070,000000,000000,000000,0,000000
2090,000000,000000,000000,0,000000
2100,000000,000000,000000,0,000000
2105,000000,000000,000000,0,000000
2110,000000,000000,000000,0,000000
2122,000000,000000,000000,0,000000
2130,000000,000000,000000,0,000000
2150,000000,000000,000000,0,000000
2164,000000,000000,000000,0,000000
2170,000000,000000,000000,0,000000
2180,000000,000000,000000,0,000000
2185,000000,000000,000000,0,000000
2188,000000,000000,000000,0,000000
2195,000000,000000,000000,0,000000
2198,000000,000000,000000,0,000000
2220,000000,000000,000000,0,000000
2230,000000,000000,000000,0,000000
2240,000000,000000,000000,0,000000
2261,000000,000000,000000,0,000000
2270,000000,000000,000000,0,000000
2275,000000,000000,000000,0,000000
2282,000000,000000,000000,0,000000
2290,000000,000000,000000,0,000000
4001,640099,a1005d,790085,7f1865,401b9c
4003,5e0798,8f006f,74008a,742464,5d3c61
4005,780284,a1005c,840079,97174e,523871
4007,5105a7,82007c,5900a5,5e207e,4f4068
4009,5b02a1,950069,7c0082,782c59,6d3059
4011,3a12b2,650099,4300bb,4512a5,5c326c
4012,5505a4,000000,000000,772164,524c5c
4013,760682,a0005e,890075,961750,684053
4015,6d048c,9b0062,7a0083,832456,554f53
4017,660395,a70056,80007e,822852,523170
4019,79067e,9f005f,760088,811267,573074
4021,60039a,870077,690095,6c1d74,50406b
4023,6b0390,970067,6e0090,7a1170,5f2d6e
