id,1944,1948,1956,1964,1968,1992
1001,1500e8,15e900,5f1d81,da2400,13b532,8e1f4e
1003,4002bb,38c600,820775,ce3000,1dc419,902942
1005,0700f2,0ef000,390abb,cb3300,0cb03c,6d1876
1007,2802d4,17e700,630a91,d62800,0ecc23,761a6e
1009,5001ad,4cb200,71038a,a45a00,38b709,891e53
1011,0500f9,00fe00,3d1ba5,926c00,0b7e73,420eac
1013,0a00f4,10ee00,5f128d,cd3100,11c22a,691a78
1015,2301da,34ca00,5206a6,a05e00,1db627,7a1c62
1017,0d00f0,1fdf00,3604c3,a45a00,19bd20,6e1b73
1019,2f02cd,2ad400,3d00c1,7e8000,0fd614,581b88
1021,680095,718d00,9b055d,c13d00,2dbd10,8f1857
1023,1000ed,00fe00,410ab3,da2400,07b144,671084
1025,0f00ef,05f900,62009b,d32b00,0eb632,77126d
1027,5201aa,41bd00,7a0380,b24c00,23cc0c,7e1c5b
1029,5801a5,4eb000,6d0091,c23c00,1ed30a,761e68
1031,0900f4,0df100,2f06c9,cc3200,10d219,7c215e
1033,2000de,27d700,3303c7,7b8300,1cb925,5b178a
1035,1302e8,0bf300,51109c,cf2f00,08b636,63167f
1037,4301b9,3ec000,6c038e,b94500,16bd29,68197b
1039,1400ea,0df100,4c0ba6,d12d00,10dd0f,7c225b
1041,0e00ef,06f800,300dc1,c83600,09d121,701773
1043,5b01a1,53ab00,70008d,946a00,49a310,7e245b
1045,2102da,24da00,58079f,d52900,0fd516,832752
1047,0c00f1,0bf300,6e2b64,e31b00,138663,600e8f
1049,5f009e,6e9000,7e0080,936b00,5b8b15,7c2061
1051,0e00f0,10ee00,4c139e,d52900,11c325,8e224d
1053,1c01e0,19e500,4910a5,bd4100,10c823,76205f
1055,3303c7,35c900,5c049e,966800,23af25,68197b
1057,5a00a3,5ba300,7e017e,b54900,21bf1b,6c1e73
1059,670097,708e00,80007e,8f6f00,46a510,671780
1061,2801d4,22dc00,4906af,cd3100,08e90b,7d225d
1063,0f00ee,0cf200,4b0aa8,a75700,0b638f,2a0ac9
1065,0600f8,0af400,430dae,c53900,0c8e61,541493
1067,0600f7,0bf300,280ec7,d32b00,00cb2e,741a6e
1069,1301ea,22dc00,621587,e01e00,0fd516,941d4b
1071,4100bd,41bd00,4700b6,768800,1bc617,4c218f
1073,3001cd,30ce00,7f0f70,b94500,318445,7f126b
1075,2101db,1ce200,4102bb,b84600,0fe10d,781c69
1077,2001dd,24da00,3501c7,798500,27b51d,671e78
1079,3a00c3,32cc00,4801b4,7f7f00,13d316,4e238c
1081,0f00ee,20de00,5008a6,c83600,2d9536,792062
1083,0b00f2,0ef000,1f00de,708e00,15cf15,742a5f
1085,0005f9,00fe00,453385,d42a00,128e60,410ead
1087,1200ec,17e700,7c0b77,629c00,0a40b1,2008d3
1089,1500e8,21dd00,3e02be,847a00,409227,79285c
1091,0c01f1,08f600,540f9b,d12d00,0c9060,65147f
1093,660097,53ab00,770186,b14d00,2dc20b,6d1a76
1095,4300bb,41bd00,5202a9,8f6f00,29c20e,742463
