id,margin,taft,wilson,other,roosevelt,other2,hex_color
01001,58.37%, 5.07%, 73.35%,14.98%, 14.98%,-,0c26bb
01003,52.05%, 4.00%, 67.28%,15.23%, 15.23%,-,0a26ab
01005,83.49%,-, 90.38%,9.629999999999999%, 6.89%,-,0018e6
01007,56.27%, 3.51%, 71.87%,15.6%, 15.60%,-,0827b7
01009,23.52%, 24.65%, 48.74%,26.61%, 25.22%,-,3e437c
01011,98.65%,-, 99.19%,0.81%,-,-,0002fc
01013,75.09%, 7.90%, 83.00%,9.1%, 7.35%,-,1417d3
01015,52.58%, 10.07%, 70.47%,19.46%, 17.89%,-,1931b3
01017,83.92%,-, 90.83%,9.17%, 6.91%,-,0017e7
01019,0.86%, 5.03%, 46.57%,45.71%, 45.71%,-,0c7476
01021,12.20%, 6.23%, 39.18%,51.38%, 51.38%,-,0f8363
01023,74.73%,-, 86.40%,13.6%, 11.66%,-,0022dc
01025,93.02%,-, 95.34%,2.33%,-,-,0005f3
01027,8.04%, 3.03%, 52.46%,44.510000000000005%, 44.42%,-,077185
01029,13.55%, 9.96%, 51.72%,38.32%, 38.17%,-,196183
01031,48.81%, 3.76%, 70.67%,21.86%, 21.86%,-,0937b4
01033,47.09%, 15.25%, 63.28%,16.19%, 16.19%,-,2629a1
01035,70.53%, 6.05%, 80.93%,10.39%, 10.39%,-,0f1ace
01037,36.98%, 9.04%, 63.27%,27.7%, 26.29%,-,1746a1
01039,62.20%, 6.47%, 73.54%,8.64%, 8.64%,-,1016bb
01041,73.61%, 4.03%, 84.49%,11.48%, 10.88%,-,0a1dd7
01043,4.97%, 9.12%, 42.49%,48.39%, 47.46%,-,177b6c
01045,38.40%, 6.17%, 66.02%,27.810000000000002%, 27.62%,-,0f46a8
01047,95.50%,-, 96.69%,3.31%,-,-,0008f6
01049,29.94%, 19.49%, 54.61%,25.900000000000002%, 24.67%,-,31428b
01051,69.86%, 5.74%, 81.70%,12.55%, 11.84%,-,0e20d0
01053,78.00%, 5.37%, 85.64%,8.98%, 7.64%,-,0d16da
01055,21.55%, 12.22%, 52.18%,30.63%, 30.63%,-,1f4e85
01057,21.55%, 28.52%, 50.07%,21.419999999999998%, 20.11%,-,48367f
01059,15.47%, 17.14%, 47.09%,31.61%, 31.61%,-,2b5078
01061,24.71%, 6.44%, 57.93%,33.22%, 33.22%,-,105493
01063,62.79%, 18.22%, 81.01%,0.78%,-,-,2e01ce
01065,97.54%,-, 98.50%,1.5%,-,-,0003fb
01067,59.55%, 5.02%, 75.88%,16.33%, 16.33%,-,0c29c1
01069,48.03%, 4.96%, 70.18%,22.14%, 22.14%,-,0c38b2
01071,52.82%, 10.16%, 70.82%,19.02%, 18.00%,-,1930b4
01073,56.05%, 5.67%, 72.69%,16.64%, 16.64%,-,0e2ab9
01075,62.66%, 5.83%, 77.94%,16.24%, 15.28%,-,0e29c6
01077,53.96%, 13.03%, 68.68%,14.72%, 14.72%,-,2125af
01079,33.69%, 17.46%, 56.70%,23.02%, 23.02%,-,2c3a90
01081,84.45%, 3.25%, 88.98%,3.25%, 3.25%,-,0808e2
01083,75.64%, 7.38%, 83.02%,6.81%, 6.81%,-,1211d3
01085,95.34%,-, 97.00%,3.0%,-,-,0007f7
01087,89.77%, 3.46%, 93.23%,3.31%, 3.31%,-,0808ed
01089,65.20%, 5.47%, 78.21%,13.01%, 13.01%,-,0d21c7
01091,96.47%,-, 97.88%,2.12%,-,-,0005f9
01093,42.65%, 22.39%, 65.05%,12.55%, 12.14%,-,3920a5
01095,8.83%, 13.84%, 47.11%,39.06%, 38.28%,-,236378
01097,68.16%, 3.72%, 79.98%,11.83%, 11.83%,-,091ecb
01099,94.80%,-, 97.12%,2.87%, 2.32%,-,0007f7
01101,90.06%,-, 94.10%,5.9%, 4.05%,-,000fef
01103,55.84%, 10.16%, 71.11%,15.27%, 15.27%,-,1926b5
01105,89.86%,-, 93.84%,6.16%, 3.98%,-,000fef
01107,80.13%, 2.38%, 88.01%,9.61%, 7.88%,-,0618e0
01109,91.61%,-, 95.14%,4.85%, 3.53%,-,000cf2
01111,44.78%, 14.80%, 64.99%,20.21%, 20.21%,-,2533a5
01113,94.05%,-, 96.22%,3.7800000000000002%, 2.17%,-,0009f5
01115,5.53%, 14.37%, 43.50%,37.98%, 37.98%,-,24606e
01117,1.96%, 7.56%, 44.45%,47.989999999999995%, 46.41%,-,137a71
01119,95.71%,-, 97.09%,2.91%,-,-,0007f7
01121,51.16%, 6.13%, 72.49%,21.389999999999997%, 21.33%,-,0f36b8
01123,77.86%, 4.56%, 86.06%,9.379999999999999%, 8.19%,-,0b17db
01125,77.28%, 4.37%, 85.22%,7.94%, 7.94%,-,0b14d9
01127,33.06%, 24.64%, 57.71%,14.1%, 14.10%,-,3e2393
01129,86.19%, 3.12%, 90.20%,4.01%, 4.01%,-,070ae6
01131,96.99%,-, 97.77%,2.23%,-,-,0005f9
01133,22.65%, 17.18%, 29.88%,52.94%, 52.53%,-,2b864c
02013,0%,-,-,0.0%,-,-,000000
02016,0%,-,-,0.0%,-,-,000000
02020,0%,-,-,0.0%,-,-,000000
02050,0%,-,-,0.0%,-,-,000000
02060,0%,-,-,0.0%,-,-,000000
02068,0%,-,-,0.0%,-,-,000000
02070,0%,-,-,0.0%,-,-,000000
02090,0%,-,-,0.0%,-,-,000000
02100,0%,-,-,0.0%,-,-,000000
02105,0%,-,-,0.0%,-,-,000000
02110,0%,-,-,0.0%,-,-,000000
02122,0%,-,-,0.0%,-,-,000000
02130,0%,-,-,0.0%,-,-,000000
02150,0%,-,-,0.0%,-,-,000000
02164,0%,-,-,0.0%,-,-,000000
02170,0%,-,-,0.0%,-,-,000000
02180,0%,-,-,0.0%,-,-,000000
02185,0%,-,-,0.0%,-,-,000000
02188,0%,-,-,0.0%,-,-,000000
02195,0%,-,-,0.0%,-,-,000000
02198,0%,-,-,0.0%,-,-,000000
02220,0%,-,-,0.0%,-,-,000000
02230,0%,-,-,0.0%,-,-,000000
02240,0%,-,-,0.0%,-,-,000000
02261,0%,-,-,0.0%,-,-,000000
02270,0%,-,-,0.0%,-,-,000000
02275,0%,-,-,0.0%,-,-,000000
02282,0%,-,-,0.0%,-,-,000000
02290,0%,-,-,0.0%,-,-,000000
04001,11.37%, 21.96%, 42.35%,31.76%, 30.98%,-,37506b
04003,12.49%, 8.72%, 42.71%,30.83%, 30.22%,-,164e6c
04005,11.93%, 27.72%, 39.65%,21.4%, 20.82%,-,463665
04007,11.59%, 10.27%, 38.09%,27.14%, 26.50%,-,1a4561
04009,28.10%, 9.74%, 51.09%,23.65%, 22.99%,-,183c82
04011,31.09%, 9.28%, 55.54%,24.79%, 24.45%,-,173f8d
04012,0%,-,-,0.0%,-,-,000000
04013,13.90%, 11.32%, 45.97%,34.38%, 32.07%, 2.31%,1c5775
04015,11.41%, 8.56%, 39.70%,28.91%, 28.29%,-,154965
04017,7.35%, 22.86%, 39.05%,32.65%, 31.70%,-,3a5363
04019,4.32%, 19.57%, 38.41%,35.970000000000006%, 34.09%,-,315b61
04021,5.09%, 9.94%, 43.73%,38.75%, 38.63%,-,19626f
04023,27.08%, 11.94%, 53.30%,26.66%, 26.23%,-,1e4387
04025,19.64%, 18.84%, 42.38%,23.62%, 22.73%,-,303c6c
04027,6.09%, 8.43%, 39.74%,34.12%, 33.65%,-,155765
05001,38.39%, 16.95%, 59.16%,20.76%, 20.76%,-,2b3496
05003,31.12%, 23.15%, 54.27%,18.25%, 18.25%,-,3b2e8a
05005,36.14%, 14.26%, 53.82%,17.67%, 17.67%,-,242d89
05007,43.97%, 14.05%, 61.12%,17.14%, 17.14%,-,232b9b
05009,42.68%, 17.45%, 60.12%,17.38%, 17.38%,-,2c2c99
05011,54.02%, 11.84%, 66.72%,12.71%, 12.71%,-,1e20aa
05013,32.79%, 9.05%, 55.03%,22.24%, 22.24%,-,17388c
05015,24.42%, 24.91%, 49.33%,19.22%, 19.22%,-,3f317d
05017,13.25%, 10.62%, 50.00%,36.75%, 36.75%,-,1b5d7f
05019,39.11%, 21.78%, 60.89%,15.24%, 15.24%,-,37269b
05021,27.11%, 24.91%, 52.02%,14.34%, 14.34%,-,3f2484
05023,42.11%, 15.33%, 57.44%,13.11%, 13.11%,-,272192
05025,37.58%, 25.21%, 62.79%,8.98%, 8.98%,-,4016a0
05027,46.12%, 20.61%, 66.73%,10.12%, 10.12%,-,3419aa
05029,38.17%, 22.15%, 60.32%,15.3%, 15.30%,-,382799
05031,46.84%, 13.10%, 61.30%,11.15%, 11.15%,-,211c9c
05033,29.04%, 21.65%, 51.54%,22.5%, 22.50%,-,373983
05035,17.31%, 11.17%, 53.07%,35.76%, 35.76%,-,1c5b87
05037,18.05%, 26.71%, 44.76%,21.33%, 21.33%,-,443672
05039,18.84%, 17.33%, 49.70%,30.85%, 30.85%,-,2c4e7e
05041,28.33%, 9.63%, 58.15%,29.81%, 29.81%,-,184c94
05043,28.57%, 26.45%, 55.02%,15.85%, 15.85%,-,43288c
05045,45.93%, 20.20%, 66.13%,8.09%, 8.09%,-,3314a8
05047,48.89%, 14.75%, 63.64%,11.09%, 11.09%,-,251ca2
05049,10.36%, 34.24%, 44.60%,17.76%, 17.76%,-,572d71
05051,25.31%, 14.80%, 51.60%,26.3%, 26.30%,-,254383
05053,53.05%, 17.68%, 70.74%,7.56%, 7.56%,-,2d13b4
05055,47.42%, 14.05%, 61.47%,12.73%, 12.73%,-,23209c
05057,15.55%, 31.63%, 47.18%,17.71%, 17.71%,-,502d78
05059,34.85%, 20.58%, 55.44%,20.5%, 20.50%,-,34348d
05061,32.91%, 24.06%, 56.97%,14.02%, 14.02%,-,3d2391
05063,36.95%, 18.73%, 55.68%,17.95%, 17.95%,-,2f2d8d
05065,46.17%, 18.70%, 64.87%,11.91%, 11.91%,-,2f1ea5
05067,17.29%, 31.94%, 49.24%,9.35%, 9.35%,-,51177d
05069,28.88%, 18.46%, 52.88%,24.0%, 24.00%,-,2f3d86
05071,45.88%, 12.57%, 61.64%,15.76%, 15.76%,-,20289d
05073,33.30%, 23.88%, 57.18%,18.95%, 17.80%,-,3c3091
05075,49.41%, 15.15%, 64.56%,11.61%, 11.61%,-,261da4
05077,16.45%, 36.10%, 52.55%,11.34%, 10.53%,-,5c1c86
05079,10.65%, 31.74%, 42.39%,16.52%, 16.52%,-,502a6c
05081,37.00%, 22.42%, 59.42%,8.41%, 8.41%,-,391597
05083,21.59%, 12.98%, 51.40%,29.81%, 29.81%,-,214c83
05085,37.47%, 13.52%, 60.09%,22.62%, 22.62%,-,223999
05087,7.23%, 38.91%, 46.14%,11.44%, 11.44%,-,631d75
05089,37.74%, 16.02%, 53.75%,14.51%, 14.51%,-,282589
05091,34.84%, 22.40%, 57.24%,13.19%, 13.19%,-,392191
05093,38.77%, 20.23%, 59.00%,14.08%, 14.08%,-,332396
05095,11.29%, 32.95%, 44.23%,16.56%, 16.56%,-,542a70
05097,24.25%, 21.44%, 45.68%,19.59%, 19.59%,-,363174
05099,22.09%, 24.96%, 47.05%,20.78%, 20.78%,-,3f3477
05101,0.56%, 31.81%, 32.37%,27.57%, 27.57%,-,514652
05103,6.40%, 42.29%, 48.69%,6.99%, 6.99%,-,6b117c
05105,31.71%, 16.89%, 54.09%,22.38%, 22.38%,-,2b3989
05107,55.36%, 15.06%, 70.42%,14.52%, 14.37%,-,2625b3
05109,24.20%, 29.45%, 53.65%,14.06%, 14.06%,-,4b2388
05111,35.89%, 18.96%, 54.86%,14.52%, 14.52%,-,30258b
05113,19.49%, 11.08%, 47.47%,27.98%, 27.98%,-,1c4779
05115,37.82%, 13.14%, 59.70%,21.88%, 21.88%,-,213798
05117,22.85%, 31.70%, 54.55%,8.68%, 8.68%,-,50168b
05119,29.25%, 16.76%, 54.09%,24.84%, 24.84%,-,2a3f89
05121,46.72%, 16.83%, 63.54%,11.34%, 11.34%,-,2a1ca2
05123,26.33%, 29.19%, 55.52%,8.88%, 8.88%,-,4a168d
05125,54.95%, 13.86%, 68.81%,11.83%, 11.83%,-,231eaf
05127,33.44%, 16.60%, 51.57%,18.13%, 18.13%,-,2a2e83
05129,4.38%, 34.79%, 39.18%,16.1%, 16.10%,-,582963
05131,40.17%, 12.53%, 58.40%,18.23%, 18.23%,-,1f2e94
05133,46.19%, 13.26%, 60.14%,12.65%, 12.65%,-,212099
05135,45.94%, 10.75%, 64.25%,18.3%, 18.30%,-,1b2ea3
05137,36.60%, 18.46%, 55.07%,15.03%, 15.03%,-,2f268c
05139,63.25%, 10.25%, 73.50%,9.1%, 9.10%,-,1a17bb
05141,32.03%, 19.94%, 52.90%,20.88%, 20.88%,-,323586
05143,41.95%, 18.01%, 59.96%,16.96%, 16.96%,-,2d2b98
05145,38.42%, 15.10%, 57.53%,19.11%, 19.11%,-,263092
05147,25.31%, 27.84%, 53.15%,15.19%, 15.19%,-,462687
05149,37.94%, 17.18%, 55.20%,17.26%, 17.26%,-,2b2c8c
06001,10.72%,-, 36.75%,49.22%, 47.47%,-,007d5d
06003,2.50%, 10.00%, 42.50%,45.0%, 45.00%,-,19726c
06005,37.48%,-, 64.80%,29.81%, 27.33%, 2.28%,004ca5
06007,7.52%,-, 45.66%,43.79%, 38.14%, 5.54%,006f74
06009,36.23%,-, 60.51%,26.580000000000002%, 24.28%, 2.14%,00439a
06011,34.32%,-, 63.58%,32.4%, 29.26%, 3.03%,0052a2
