id,margin,hughes,wilson,other,other2,hex_color
01001,75.90%, 11.15%, 87.05%,1.8%,-,1c04dd
01003,48.25%, 18.95%, 67.19%,13.860000000000001%, 12.98%,3023ab
01005,91.19%, 3.45%, 94.64%,1.92%,-,0804f1
01007,64.90%, 13.67%, 78.58%,7.75%, 6.68%,2213c8
01009,9.42%, 44.71%, 54.13%,1.16%,-,72028a
01011,98.66%,-, 99.20%,0.8%,-,0002fc
01013,86.79%, 6.24%, 93.03%,0.72%,-,0f01ed
01015,65.60%, 16.21%, 81.81%,1.98%,-,2905d0
01017,80.89%, 8.99%, 89.88%,1.12%,-,1602e5
01019,37.47%, 30.31%, 67.78%,1.91%,-,4d04ac
01021,20.97%, 59.31%, 38.34%,2.35%,-,970561
01023,93.00%, 2.63%, 95.63%,1.75%,-,0604f3
01025,95.68%,-, 97.42%,2.58%,-,0006f8
01027,27.65%, 36.07%, 63.72%,0.21%,-,5b00a2
01029,13.46%, 42.75%, 56.21%,1.04%,-,6d028f
01031,64.74%, 17.21%, 81.95%,0.85%,-,2b02d0
01033,51.01%, 23.02%, 74.04%,2.9499999999999997%, 2.88%,3a07bc
01035,90.61%, 3.83%, 94.44%,1.73%,-,0904f0
01037,27.50%, 34.92%, 62.42%,2.6700000000000004%, 2.45%,59069f
01039,65.92%, 14.03%, 79.94%,6.02%, 4.92%,230fcb
01041,81.62%, 8.81%, 90.43%,0.76%,-,1601e6
01043,1.63%, 48.90%, 50.52%,0.58%,-,7c0180
01045,35.45%, 31.93%, 67.38%,0.7%,-,5101ab
01047,96.44%,-, 97.87%,2.13%,-,0005f9
01049,19.74%, 39.35%, 59.09%,1.55%,-,640396
01051,99.15%,-, 99.57%,0.43%,-,0001fd
01053,79.96%, 9.88%, 89.84%,0.27%,-,1900e5
01055,36.14%, 30.51%, 66.65%,2.83%, 2.58%,4d07a9
01057,18.74%, 39.69%, 58.43%,1.88%,-,650494
01059,2.89%, 47.44%, 50.34%,2.22%,-,780580
01061,27.42%, 35.42%, 62.84%,1.74%,-,5a04a0
01063,95.41%, 2.30%, 97.70%,0.0%,-,0500f9
01065,95.94%,-, 97.79%,2.21%,-,0005f9
01067,69.60%, 13.65%, 83.25%,3.09%, 2.61%,2207d4
01069,54.83%, 21.22%, 76.05%,2.73%, 2.09%,3606c1
01071,53.13%, 22.48%, 75.61%,1.9%,-,3904c0
01073,65.74%, 15.64%, 81.38%,2.9799999999999995%, 2.26%,2707cf
01075,60.92%, 18.53%, 79.45%,2.02%,-,2f05ca
01077,62.13%, 17.51%, 79.64%,2.85%, 2.23%,2c07cb
01079,75.91%, 3.71%, 85.92%,0.35%,-,0900db
01081,91.77%, 2.90%, 94.67%,2.42%, 2.07%,0706f1
01083,86.28%, 5.84%, 92.12%,2.03%,-,0e05ea
01085,96.37%,-, 98.00%,2.0%,-,0005f9
01087,85.67%, 6.92%, 92.59%,0.48%,-,1101ec
01089,80.48%, 8.69%, 89.17%,2.14%,-,1605e3
01091,97.35%,-, 98.61%,1.39%,-,0003fb
01093,24.19%, 37.69%, 61.89%,0.42%,-,60019d
01095,24.01%, 37.32%, 61.32%,1.36%,-,5f039c
01097,54.83%, 21.36%, 76.18%,2.46%,-,3606c2
01099,96.47%,-, 98.09%,1.91%,-,0004fa
01101,92.99%, 3.07%, 96.06%,0.87%,-,0702f4
01103,68.43%, 14.19%, 82.62%,3.2%,-,2408d2
01105,94.29%, 2.16%, 96.44%,1.4%,-,0503f5
01107,67.72%, 15.36%, 83.09%,1.55%,-,2703d3
01109,93.70%, 2.69%, 96.39%,0.92%,-,0602f5
01111,33.85%, 32.85%, 66.70%,0.45%,-,5301aa
01113,98.55%,-, 99.08%,0.92%,-,0002fc
01115,7.16%, 44.81%, 51.97%,3.21%, 2.79%,720884
01117,4.25%, 51.81%, 47.57%,0.62%,-,840179
01119,97.19%,-, 98.21%,1.79%,-,0004fa
01121,54.71%, 22.39%, 77.10%,0.5%,-,3901c4
01123,85.71%, 6.27%, 91.98%,1.75%,-,0f04ea
01125,81.94%, 8.05%, 89.99%,1.96%,-,1404e5
01127,10.56%, 43.25%, 53.80%,2.96%, 2.49%,6e0789
01129,86.99%, 5.95%, 92.94%,1.12%,-,0f02ec
01131,99.77%,-, 99.88%,0.12%,-,0000fe
01133,20.57%, 59.94%, 39.36%,0.7%,-,980164
02013,0%,-,-,0.0%,-,000000
02016,0%,-,-,0.0%,-,000000
02020,0%,-,-,0.0%,-,000000
02050,0%,-,-,0.0%,-,000000
02060,0%,-,-,0.0%,-,000000
02068,0%,-,-,0.0%,-,000000
02070,0%,-,-,0.0%,-,000000
02090,0%,-,-,0.0%,-,000000
02100,0%,-,-,0.0%,-,000000
02105,0%,-,-,0.0%,-,000000
02110,0%,-,-,0.0%,-,000000
02122,0%,-,-,0.0%,-,000000
02130,0%,-,-,0.0%,-,000000
02150,0%,-,-,0.0%,-,000000
02164,0%,-,-,0.0%,-,000000
02170,0%,-,-,0.0%,-,000000
02180,0%,-,-,0.0%,-,000000
02185,0%,-,-,0.0%,-,000000
02188,0%,-,-,0.0%,-,000000
02195,0%,-,-,0.0%,-,000000
02198,0%,-,-,0.0%,-,000000
02220,0%,-,-,0.0%,-,000000
02230,0%,-,-,0.0%,-,000000
02240,0%,-,-,0.0%,-,000000
02261,0%,-,-,0.0%,-,000000
02270,0%,-,-,0.0%,-,000000
02275,0%,-,-,0.0%,-,000000
02282,0%,-,-,0.0%,-,000000
02290,0%,-,-,0.0%,-,000000
04001,34.39%, 31.73%, 66.12%,2.14%,-,5005a8
04003,28.74%, 31.61%, 60.35%,8.03%, 6.85%,501499
04005,17.81%, 38.71%, 56.52%,4.78%, 3.72%,620c90
04007,38.22%, 26.08%, 64.29%,9.63%, 8.90%,4218a3
04009,48.74%, 22.02%, 70.76%,7.22%, 5.27%,3812b4
04011,35.13%, 28.79%, 63.92%,7.279999999999999%, 6.68%,4912a2
04012,0%,-,-,0.0%,-,000000
04013,12.89%, 39.26%, 52.14%,3.92%, 3.92%,640984
04015,31.09%, 28.89%, 59.97%,11.14%, 10.92%,491c98
04017,35.41%, 30.52%, 65.92%,1.33%,-,4d03a8
04019,10.91%, 53.15%, 42.24%,4.609999999999999%, 3.05%,870b6b
04021,17.30%, 39.24%, 56.54%,4.22%, 2.75%,640a90
04023,4.16%, 46.19%, 50.35%,3.46%, 2.91%,750880
04025,23.62%, 34.44%, 58.06%,7.5%, 6.64%,571394
04027,26.56%, 32.46%, 59.02%,8.530000000000001%, 7.90%,521596
05001,29.21%, 35.39%, 64.61%,0.0%,-,5a00a4
05003,53.28%, 23.36%, 76.64%,0.0%,-,3b00c3
05005,48.38%, 25.81%, 74.19%,0.0%,-,4100bd
05007,41.21%, 29.39%, 70.61%,0.0%,-,4a00b4
05009,40.53%, 29.74%, 70.26%,0.0%,-,4b00b3
05011,57.37%, 21.32%, 78.68%,0.0%,-,3600c8
05013,54.47%, 22.76%, 77.24%,0.0%,-,3a00c4
05015,18.77%, 40.61%, 59.39%,0.0%,-,670097
05017,9.20%, 45.40%, 54.60%,0.0%,-,73008b
05019,48.89%, 25.56%, 74.44%,0.0%,-,4100bd
05021,33.42%, 33.29%, 66.71%,0.0%,-,5400aa
05023,52.29%, 23.86%, 76.14%,0.0%,-,3c00c2
05025,66.13%, 16.94%, 83.06%,0.0%,-,2b00d3
05027,48.41%, 25.80%, 74.20%,0.0%,-,4100bd
05029,15.17%, 42.42%, 57.58%,0.0%,-,6c0092
05031,56.56%, 21.72%, 78.28%,0.0%,-,3700c7
05033,15.16%, 42.42%, 57.58%,0.0%,-,6c0092
05035,72.17%, 13.91%, 86.09%,0.0%,-,2300db
05037,57.25%, 21.37%, 78.63%,0.0%,-,3600c8
05039,37.15%, 31.43%, 68.57%,0.0%,-,5000ae
05041,44.47%, 27.77%, 72.23%,0.0%,-,4600b8
05043,32.01%, 34.00%, 66.00%,0.0%,-,5600a8
05045,42.63%, 28.69%, 71.31%,0.0%,-,4900b5
05047,48.52%, 25.74%, 74.26%,0.0%,-,4100bd
05049,47.31%, 26.34%, 73.66%,0.0%,-,4300bb
05051,22.71%, 38.65%, 61.35%,0.0%,-,62009c
05053,66.87%, 16.56%, 83.44%,0.0%,-,2a00d4
05055,62.27%, 18.87%, 81.13%,0.0%,-,3000ce
05057,25.89%, 37.05%, 62.95%,0.0%,-,5e00a0
05059,37.80%, 31.10%, 68.90%,0.0%,-,4f00af
05061,41.46%, 29.27%, 70.73%,0.0%,-,4a00b4
05063,44.56%, 27.72%, 72.28%,0.0%,-,4600b8
05065,63.27%, 18.36%, 81.64%,0.0%,-,2e00d0
05067,47.89%, 26.05%, 73.95%,0.0%,-,4200bc
05069,40.37%, 29.81%, 70.19%,0.0%,-,4c00b2
05071,44.29%, 27.85%, 72.15%,0.0%,-,4700b7
05073,41.88%, 29.06%, 70.94%,0.0%,-,4a00b4
05075,70.26%, 14.87%, 85.13%,0.0%,-,2500d9
05077,41.22%, 29.39%, 70.61%,0.0%,-,4a00b4
05079,30.16%, 34.92%, 65.08%,0.0%,-,5900a5
05081,39.64%, 30.18%, 69.82%,0.0%,-,4c00b2
05083,26.09%, 36.96%, 63.04%,0.0%,-,5e00a0
05085,61.78%, 19.11%, 80.89%,0.0%,-,3000ce
05087,4.45%, 47.78%, 52.22%,0.0%,-,790085
05089,48.06%, 25.97%, 74.03%,0.0%,-,4200bc
05091,55.82%, 22.09%, 77.91%,0.0%,-,3800c6
05093,49.94%, 25.03%, 74.97%,0.0%,-,3f00bf
05095,18.65%, 40.67%, 59.33%,0.0%,-,670097
05097,36.98%, 31.51%, 68.49%,0.0%,-,5000ae
05099,35.37%, 32.32%, 67.68%,0.0%,-,5200ac
05101,10.20%, 55.10%, 44.90%,0.0%,-,8c0072
05103,18.32%, 40.84%, 59.16%,0.0%,-,680096
05105,37.91%, 31.05%, 68.95%,0.0%,-,4f00af
05107,45.29%, 27.35%, 72.65%,0.0%,-,4500b9
05109,32.14%, 33.93%, 66.07%,0.0%,-,5600a8
05111,39.35%, 30.33%, 69.67%,0.0%,-,4d00b1
05113,46.98%, 26.51%, 73.49%,0.0%,-,4300bb
05115,46.57%, 26.71%, 73.29%,0.0%,-,4400ba
05117,23.66%, 38.17%, 61.83%,0.0%,-,61009d
05119,39.70%, 30.15%, 69.85%,0.0%,-,4c00b2
05121,54.45%, 22.77%, 77.23%,0.0%,-,3a00c4
05123,41.70%, 29.15%, 70.85%,0.0%,-,4a00b4
05125,74.30%, 12.85%, 87.15%,0.0%,-,2000de
05127,45.41%, 27.30%, 72.70%,0.0%,-,4500b9
05129,18.73%, 59.37%, 40.63%,0.0%,-,970067
05131,46.27%, 26.86%, 73.14%,0.0%,-,4400ba
05133,67.66%, 16.17%, 83.83%,0.0%,-,2900d5
05135,58.95%, 20.52%, 79.48%,0.0%,-,3400ca
05137,39.18%, 30.41%, 69.59%,0.0%,-,4d00b1
05139,72.20%, 13.90%, 86.10%,0.0%,-,2300db
05141,26.25%, 36.87%, 63.13%,0.0%,-,5e00a0
05143,28.52%, 35.74%, 64.26%,0.0%,-,5b00a3
05145,61.50%, 19.25%, 80.75%,0.0%,-,3100cd
05147,36.20%, 31.90%, 68.10%,0.0%,-,5100ad
05149,45.76%, 27.12%, 72.88%,0.0%,-,4500b9
06001,7.51%, 50.34%, 42.84%,6.819999999999999%, 5.31%,80116d
06003,44.58%, 72.29%, 27.71%,0.0%,-,b80046
06005,17.75%, 38.53%, 56.28%,5.1899999999999995%, 3.98%,620d8f
06007,9.64%, 40.91%, 50.55%,4.51%, 4.51%,680b80
06009,12.15%, 40.91%, 53.06%,6.0200000000000005%, 4.70%,680f87
06011,31.07%, 31.82%, 62.89%,5.29%, 3.87%,510da0
06013,2.77%, 44.05%, 46.82%,6.81%, 6.81%,701177
06015,2.46%, 43.81%, 41.35%,12.64%, 12.64%,6f2069
06017,22.58%, 35.10%, 57.67%,7.23%, 6.15%,591293
06019,8.89%, 41.07%, 49.95%,5.78%, 5.78%,680e7f
