id,margin,harding,cox,other,other2,hex_color
01001,62.16%, 18.44%, 80.60%,0.97%,-,2f02cd
01003,34.80%, 28.70%, 63.50%,0.88%,-,4902a1
01005,76.43%, 11.37%, 87.79%,0.84%,-,1c02df
01007,59.54%, 16.95%, 76.49%,0.23%,-,2b00c3
01009,0.99%, 49.15%, 50.14%,0.71%,-,7d017f
01011,99.43%,-, 99.66%,0.34%,-,0000fe
01013,77.91%, 10.40%, 88.31%,1.29%,-,1a03e1
01015,49.64%, 24.76%, 74.40%,0.85%,-,3f02bd
01017,71.76%, 13.82%, 85.58%,0.6%,-,2301da
01019,10.91%, 43.74%, 54.65%,1.61%,-,6f048b
01021,39.86%, 69.11%, 29.25%,1.64%,-,b0044a
01023,85.55%, 7.09%, 92.65%,0.26%,-,1200ec
01025,92.93%, 3.30%, 96.24%,0.46%,-,0801f5
01027,0.74%, 49.59%, 50.34%,0.07%,-,7e0080
01029,17.32%, 58.60%, 41.28%,0.12%,-,950069
01031,43.52%, 27.95%, 71.47%,0.58%,-,4701b6
01033,47.23%, 25.18%, 72.41%,0.0%,-,4000b8
01035,74.87%, 12.57%, 87.43%,0.0%,-,2000de
01037,15.08%, 42.01%, 57.09%,0.91%,-,6b0291
01039,56.18%, 20.65%, 76.83%,0.11%,-,3400c3
01041,63.68%, 17.93%, 81.61%,0.46%,-,2d01d0
01043,15.18%, 57.24%, 42.06%,0.7%,-,91016b
01045,28.41%, 35.31%, 63.72%,0.97%,-,5a02a2
01047,94.39%, 2.81%, 97.19%,0.0%,-,0700f7
01049,10.89%, 55.17%, 44.28%,0.56%,-,8c0170
01051,66.43%, 16.64%, 83.07%,0.28%,-,2a00d3
01053,78.01%, 10.87%, 88.88%,0.24%,-,1b00e2
01055,29.22%, 34.83%, 64.05%,1.11%,-,5802a3
01057,13.66%, 56.36%, 42.70%,0.94%,-,8f026c
01059,16.43%, 57.58%, 41.15%,1.28%,-,920368
01061,15.31%, 41.65%, 56.97%,1.38%,-,6a0391
