id,margin,coolidge,davis,other,lafollette,hex_color
01001,66.56%, 15.30%, 81.87%,2.83%, 2.31%,2707d0
01003,23.96%, 27.76%, 51.72%,20.53%, 19.82%,463483
01005,86.26%, 5.33%, 91.59%,3.07%, 2.73%,0d07e9
01007,45.41%, 18.27%, 63.68%,18.049999999999997%, 17.47%,2e2ea2
01009,15.23%, 40.92%, 56.15%,2.94%, 2.78%,68078f
01011,97.80%,-, 98.83%,1.17%,-,0002fc
01013,74.21%, 7.54%, 83.33%,9.13%, 9.13%,1317d4
01015,40.48%, 27.17%, 67.65%,5.18%, 4.58%,450dac
01017,84.09%, 6.91%, 91.00%,2.09%, 2.04%,1105e8
01019,23.51%, 37.13%, 60.63%,2.24%,-,5e059a
01021,29.60%, 63.19%, 33.60%,3.21%, 2.97%,a10855
01023,95.98%,-, 97.80%,2.2%,-,0005f9
01025,85.16%, 6.77%, 91.93%,1.3%,-,1103ea
01027,21.75%, 38.13%, 59.88%,1.99%,-,610598
01029,5.44%, 51.18%, 45.74%,3.08%, 2.79%,820774
01031,65.50%, 16.61%, 82.11%,1.29%,-,2a03d1
01033,40.69%, 25.29%, 65.98%,8.74%, 8.30%,4016a8
01035,79.61%, 8.49%, 88.10%,3.41%, 2.86%,1508e0
01037,21.46%, 38.66%, 60.12%,1.22%,-,620399
01039,78.34%, 7.54%, 85.88%,6.57%, 6.38%,1310da
01041,79.65%, 9.41%, 89.06%,1.53%,-,1703e3
01043,4.68%, 45.11%, 49.79%,5.09%, 4.95%,730c7e
01045,56.90%, 20.61%, 77.52%,1.87%,-,3404c5
01047,85.87%, 2.36%, 91.76%,5.89%, 5.89%,060fe9
01049,6.70%, 53.35%, 46.65%,0.0%,-,880076
01051,65.19%, 16.43%, 81.62%,1.95%,-,2904d0
01053,75.00%, 10.70%, 85.70%,3.5900000000000003%, 3.24%,1b09da
01055,28.24%, 33.17%, 61.41%,5.42%, 4.82%,540d9c
