id,margin,hoover,smith,other,hex_color
01001,12.77%, 43.61%, 56.39%,-,6f008f
01003,2.61%, 51.05%, 48.44%, 0.51%,82017b
01005,27.84%, 35.59%, 63.44%, 0.97%,5a02a1
01007,8.41%, 45.61%, 54.02%, 0.36%,740089
01009,4.12%, 52.06%, 47.94%,-,84007a
01011,47.47%, 26.27%, 73.73%,-,4200bc
01013,27.71%, 36.14%, 63.86%,-,5c00a2
01015,9.02%, 54.50%, 45.48%, 0.02%,8a0073
01017,26.84%, 63.42%, 36.58%,-,a1005d
01019,25.74%, 62.78%, 37.05%, 0.17%,a0005e
01021,38.84%, 69.37%, 30.52%, 0.11%,b0004d
01023,48.65%, 25.67%, 74.33%,-,4100bd
01025,27.94%, 36.03%, 63.97%,-,5b00a3
01027,31.76%, 65.86%, 34.10%, 0.03%,a70056
01029,16.51%, 58.25%, 41.75%,-,94006a
01031,21.66%, 39.17%, 60.83%,-,63009b
01033,34.12%, 31.64%, 65.75%,-,5000a7
01035,12.94%, 56.47%, 43.53%,-,8f006f
01037,21.32%, 60.63%, 39.31%, 0.06%,9a0064
01039,8.65%, 45.60%, 54.26%, 0.14%,74008a
01041,14.66%, 42.67%, 57.33%,-,6c0092
01043,30.55%, 65.28%, 34.72%,-,a60058
01045,10.43%, 44.76%, 55.19%, 0.04%,72008c
01047,45.96%, 27.00%, 72.96%, 0.04%,4400ba
01049,18.56%, 59.27%, 40.71%, 0.02%,970067
01051,14.96%, 57.45%, 42.49%, 0.06%,92006c
01053,23.91%, 61.94%, 38.03%, 0.04%,9d0060
01055,18.39%, 58.88%, 40.50%, 0.62%,960167
01057,19.69%, 59.83%, 40.13%, 0.04%,980066
01059,12.60%, 56.24%, 43.64%, 0.11%,8f006f
01061,1.59%, 50.80%, 49.20%,-,81007d
01063,87.81%, 6.09%, 93.91%,-,0f00ef
01065,44.45%, 27.77%, 72.23%,-,4600b8
01067,1.18%, 49.35%, 50.53%, 0.12%,7d0080
01069,7.68%, 46.12%, 53.81%, 0.07%,750089
01071,17.69%, 58.72%, 41.03%, 0.25%,950068
01073,3.80%, 51.74%, 47.94%, 0.32%,83007a
01075,27.44%, 36.28%, 63.72%,-,5c00a2
01077,32.41%, 33.78%, 66.20%, 0.02%,5600a8
01079,1.32%, 49.27%, 50.59%, 0.15%,7d0081
01081,17.11%, 41.38%, 58.49%, 0.12%,690095
01083,61.16%, 19.42%, 80.58%,-,3100cd
01085,59.23%, 20.39%, 79.61%,-,3300cb
01087,20.30%, 39.68%, 59.98%, 0.34%,650098
01089,0.26%, 50.11%, 49.85%, 0.04%,7f007f
01091,43.25%, 28.38%, 71.62%,-,4800b6
01093,1.75%, 49.13%, 50.87%,-,7d0081
01095,3.90%, 51.84%, 47.94%, 0.23%,84007a
01097,8.22%, 45.84%, 54.07%, 0.09%,740089
01099,11.13%, 44.44%, 55.56%,-,71008d
01101,34.16%, 32.90%, 67.06%, 0.03%,5300ab
01103,9.64%, 54.76%, 45.12%, 0.12%,8b0073
01105,46.00%, 26.97%, 72.97%, 0.06%,4400ba
01107,23.71%, 38.15%, 61.85%,-,61009d
01109,53.35%, 23.24%, 76.59%, 0.17%,3b00c3
01111,18.15%, 59.04%, 40.89%, 0.07%,960068
01113,42.86%, 27.82%, 70.68%, 1.50%,4603b4
01115,32.55%, 66.25%, 33.70%, 0.05%,a80055
01117,19.58%, 59.53%, 39.95%, 0.52%,970165
01119,68.33%, 15.84%, 84.16%,-,2800d6
01121,2.75%, 48.43%, 51.18%, 0.39%,7b0082
01123,19.05%, 40.46%, 59.51%, 0.03%,670097
01125,39.16%, 30.39%, 69.56%, 0.05%,4d00b1
01127,7.54%, 46.23%, 53.77%,-,750089
01129,16.45%, 41.73%, 58.18%, 0.08%,6a0094
01131,57.22%, 21.35%, 78.57%, 0.08%,3600c8
01133,51.95%, 75.96%, 24.01%, 0.04%,c1003d
02013,0%,-,-,-,000000
02016,0%,-,-,-,000000
02020,0%,-,-,-,000000
02050,0%,-,-,-,000000
02060,0%,-,-,-,000000
02068,0%,-,-,-,000000
02070,0%,-,-,-,000000
02090,0%,-,-,-,000000
02100,0%,-,-,-,000000
02105,0%,-,-,-,000000
02110,0%,-,-,-,000000
02122,0%,-,-,-,000000
02130,0%,-,-,-,000000
02150,0%,-,-,-,000000
02164,0%,-,-,-,000000
02170,0%,-,-,-,000000
02180,0%,-,-,-,000000
02185,0%,-,-,-,000000
02188,0%,-,-,-,000000
02195,0%,-,-,-,000000
02198,0%,-,-,-,000000
02220,0%,-,-,-,000000
02230,0%,-,-,-,000000
02240,0%,-,-,-,000000
02261,0%,-,-,-,000000
02270,0%,-,-,-,000000
02275,0%,-,-,-,000000
02282,0%,-,-,-,000000
02290,0%,-,-,-,000000
04001,2.83%, 51.41%, 48.59%,-,83007b
04003,15.02%, 57.28%, 42.27%, 0.45%,92016b
04005,18.79%, 59.19%, 40.40%, 0.41%,960167
04007,1.40%, 50.60%, 49.20%, 0.19%,81007d
04009,13.18%, 43.27%, 56.45%, 0.28%,6e008f
04011,15.36%, 42.08%, 57.43%, 0.49%,6b0192
04012,0%,-,-,-,000000
04013,24.61%, 62.25%, 37.64%, 0.11%,9e005f
04015,21.36%, 60.33%, 38.97%, 0.70%,990163
04017,9.99%, 54.99%, 45.01%,-,8c0072
04019,14.24%, 56.94%, 42.70%, 0.36%,91006c
04021,6.94%, 53.41%, 46.46%, 0.13%,880076
04023,2.28%, 48.78%, 51.06%, 0.16%,7c0082
04025,15.68%, 57.83%, 42.15%, 0.03%,93006b
04027,18.87%, 59.43%, 40.57%,-,970067
05001,17.49%, 41.10%, 58.59%, 0.31%,680095
05003,27.82%, 36.02%, 63.84%, 0.14%,5b00a2
05005,13.64%, 42.71%, 56.36%, 0.93%,6c028f
05007,15.88%, 57.29%, 41.42%, 1.29%,920369
05009,5.06%, 47.27%, 52.33%, 0.40%,780185
05011,53.77%, 23.11%, 76.89%,-,3a00c4
05013,48.69%, 25.36%, 74.06%, 0.58%,4001bc
05015,6.55%, 53.05%, 46.50%, 0.45%,870176
05017,39.24%, 30.31%, 69.55%, 0.14%,4d00b1
05019,33.04%, 33.37%, 66.41%, 0.22%,5500a9
05021,6.68%, 46.31%, 52.99%, 0.70%,760187
05023,19.56%, 39.81%, 59.36%, 0.83%,650297
05025,18.34%, 40.79%, 59.13%, 0.09%,680096
05027,47.89%, 26.03%, 73.92%, 0.04%,4200bc
05029,38.91%, 30.48%, 69.39%, 0.14%,4d00b0
05031,4.23%, 47.55%, 51.77%, 0.68%,790184
05033,5.57%, 47.21%, 52.79%,-,780086
05035,68.64%, 15.68%, 84.32%,-,2700d7
05037,59.50%, 20.12%, 79.63%, 0.25%,3300cb
05039,34.29%, 32.73%, 67.01%, 0.26%,5300aa
05041,53.07%, 23.39%, 76.47%, 0.14%,3b00c2
05043,48.67%, 25.56%, 74.23%, 0.20%,4100bd
05045,45.50%, 27.07%, 72.57%, 0.35%,4500b9
05047,26.19%, 36.53%, 62.72%, 0.76%,5d019f
05049,15.29%, 42.29%, 57.58%, 0.12%,6b0092
05051,1.85%, 48.94%, 50.79%, 0.27%,7c0081
05053,40.78%, 29.54%, 70.32%, 0.13%,4b00b3
05055,16.94%, 41.27%, 58.20%, 0.53%,690194
05057,39.33%, 30.25%, 69.58%, 0.17%,4d00b1
05059,5.96%, 52.86%, 46.90%, 0.23%,860077
05061,15.98%, 41.76%, 57.74%, 0.49%,6a0193
05063,13.53%, 43.10%, 56.63%, 0.26%,6d0090
05065,12.86%, 43.45%, 56.30%, 0.25%,6e008f
05067,37.11%, 31.24%, 68.35%, 0.40%,4f01ae
