id,margin,hoover,roosevelt,other,hex_color
01001,80.38%, 9.37%, 89.75%, 0.88%,1702e4
01003,55.90%, 19.57%, 75.47%, 0.25%,3100c0
01005,94.07%, 2.81%, 96.88%, 0.31%,0700f7
01007,82.28%, 8.00%, 90.29%, 1.71%,1404e6
01009,57.65%, 20.34%, 77.99%, 1.68%,3304c6
01011,97.54%,-, 98.72%, 1.28%,0003fb
01013,93.32%, 3.13%, 96.45%, 0.42%,0701f5
01015,72.61%, 13.39%, 86.00%, 0.61%,2201db
01017,76.06%, 11.78%, 87.84%, 0.38%,1e00df
01019,67.37%, 15.72%, 83.09%, 1.18%,2803d3
01021,4.06%, 47.09%, 51.15%, 1.75%,780482
01023,93.87%, 3.03%, 96.90%, 0.06%,0700f7
01025,95.54%, 2.15%, 97.69%, 0.16%,0500f9
01027,38.28%, 30.40%, 68.68%, 0.91%,4d02af
01029,55.08%, 22.35%, 77.43%, 0.22%,3800c5
01031,93.52%, 3.20%, 96.73%, 0.07%,0800f6
01033,80.02%, 9.62%, 89.64%, 0.74%,1801e4
01035,89.82%, 5.09%, 94.91%,-,0c00f2
01037,66.34%, 16.34%, 82.68%, 0.98%,2902d2
01039,94.66%, 2.49%, 97.15%, 0.35%,0600f7
01041,86.81%, 5.32%, 92.13%, 0.29%,0d00ea
01043,49.54%, 24.24%, 73.78%, 1.98%,3d05bc
01045,87.34%, 6.31%, 93.65%, 0.04%,1000ee
01047,93.65%, 2.97%, 96.62%, 0.41%,0701f6
01049,9.26%, 44.88%, 54.13%, 0.99%,72028a
01051,80.28%, 4.39%, 87.83%, 0.22%,0b00df
01053,85.49%, 7.19%, 92.67%, 0.14%,1200ec
01055,64.44%, 17.29%, 81.73%, 0.98%,2c02d0
01057,46.23%, 26.47%, 72.70%, 0.83%,4302b9
01059,29.82%, 34.71%, 64.53%, 0.76%,5801a4
01061,80.80%, 9.53%, 90.33%, 0.14%,1800e6
01063,92.94%,-, 95.82%, 1.30%,0003f4
01065,89.39%, 5.19%, 94.58%, 0.22%,0d00f1
01067,95.08%, 2.35%, 97.43%, 0.22%,0500f8
01069,91.94%, 3.89%, 95.83%, 0.27%,0900f4
01071,53.55%, 23.13%, 76.68%, 0.20%,3a00c3
01073,72.76%, 12.51%, 85.27%, 0.09%,1f00d9
01075,78.81%, 10.43%, 89.24%, 0.32%,1a00e3
01077,76.64%, 11.40%, 88.04%, 0.55%,1d01e0
01079,73.05%, 13.47%, 86.53%,-,2200dc
01081,89.63%, 4.90%, 94.53%, 0.57%,0c01f1
01083,92.09%, 3.85%, 95.94%, 0.22%,0900f4
01085,96.70%,-, 98.35%, 1.65%,0004fa
01087,88.25%, 5.82%, 94.07%, 0.10%,0e00ef
01089,78.40%, 10.35%, 88.76%, 0.89%,1a02e2
01091,93.17%, 2.28%, 95.45%,-,0500f3
