id,margin,landon,roosevelt,other,hex_color
01001,89.12%, 5.19%, 94.31%, 0.49%,0d01f0
01003,64.17%, 14.63%, 78.80%, 1.42%,2503c8
01005,95.42%, 2.04%, 97.47%, 0.49%,0501f8
01007,81.22%, 9.20%, 90.42%, 0.39%,1700e6
01009,57.35%, 20.88%, 78.23%, 0.90%,3502c7
01011,99.08%,-, 99.50%, 0.50%,0001fd
01013,92.93%, 3.39%, 96.32%, 0.29%,0800f5
01015,75.41%, 11.71%, 87.12%, 1.17%,1d02de
01017,93.91%, 2.99%, 96.90%, 0.11%,0700f7
01019,69.41%, 14.92%, 84.32%, 0.76%,2601d7
01021,27.03%, 36.23%, 63.26%, 0.52%,5c01a1
01023,90.64%, 4.68%, 95.32%,-,0b00f3
01025,95.54%, 2.19%, 97.73%, 0.07%,0500f9
01027,48.29%, 23.51%, 71.79%, 0.44%,3b01b7
01029,37.88%, 30.75%, 68.63%, 0.62%,4e01af
01031,92.83%, 3.33%, 96.16%, 0.51%,0801f5
01033,85.83%, 6.92%, 92.75%, 0.33%,1100ec
01035,91.72%, 3.88%, 95.60%, 0.52%,0901f3
01037,68.46%, 14.78%, 83.24%, 1.98%,2505d4
01039,92.15%, 3.76%, 95.91%, 0.34%,0900f4
01041,92.07%, 3.89%, 95.95%, 0.16%,0900f4
01043,37.79%, 30.97%, 68.76%, 0.27%,4e00af
01045,85.07%, 7.43%, 92.50%, 0.08%,1200eb
01047,96.87%,-, 98.37%, 1.63%,0004fa
01049,13.94%, 42.92%, 56.87%, 0.21%,6d0091
01051,88.08%, 4.24%, 92.32%, 0.14%,0a00eb
01053,91.99%, 3.82%, 95.81%, 0.37%,0900f4
01055,64.95%, 17.30%, 82.24%, 0.46%,2c01d1
01057,50.42%, 24.41%, 74.82%, 0.77%,3e01be
01059,23.85%, 37.77%, 61.62%, 0.60%,60019d
01061,79.93%, 10.00%, 89.93%, 0.07%,1900e5
01063,95.14%, 2.26%, 97.40%, 0.34%,0500f8
01065,97.10%,-, 98.31%, 1.69%,0004fa
01067,96.28%,-, 98.06%, 1.94%,0004fa
01069,87.44%, 6.08%, 93.52%, 0.40%,0f01ee
01071,57.59%, 21.13%, 78.71%, 0.16%,3500c8
01073,80.03%, 9.49%, 89.51%, 1.00%,1802e4
01075,84.73%, 7.52%, 92.25%, 0.23%,1300eb
01077,83.80%, 7.61%, 91.41%, 0.98%,1302e9
01079,66.43%, 16.67%, 83.10%, 0.23%,2a00d3
01081,91.55%, 4.07%, 95.62%, 0.31%,0a00f3
01083,92.07%, 3.61%, 95.69%, 0.70%,0901f4
01085,98.19%,-, 99.01%, 0.99%,0002fc
01087,93.42%, 3.29%, 96.71%,-,0800f6
01089,82.75%, 8.26%, 91.01%, 0.72%,1501e8
01091,97.11%,-, 98.54%, 1.46%,0003fb
01093,48.32%, 25.24%, 73.57%, 1.19%,4003bb
01095,63.72%, 17.95%, 81.68%, 0.37%,2d00d0
01097,81.32%, 8.64%, 89.95%, 1.41%,1603e5
01099,97.42%,-, 98.54%, 1.46%,0003fb
01101,95.99%,-, 97.80%, 2.20%,0005f9
01103,85.26%, 7.13%, 92.39%, 0.48%,1201eb
01105,96.91%,-, 98.45%, 1.55%,0003fb
01107,87.48%, 6.01%, 93.49%, 0.51%,0f01ee
01109,96.45%,-, 98.19%, 1.81%,0004fa
01111,55.20%, 22.19%, 77.39%, 0.42%,3801c5
01113,93.75%, 2.93%, 96.68%, 0.40%,0701f6
01115,24.10%, 37.73%, 61.83%, 0.44%,60019d
01117,50.11%, 24.43%, 74.54%, 1.04%,3e02be
01119,96.55%,-, 98.28%, 1.72%,0004fa
