id,margin,willkie,roosevelt,other,hex_color
01001,87.94%, 5.69%, 93.62%, 0.69%,0e01ee
01003,58.95%, 17.62%, 76.58%, 0.91%,2c02c3
01005,92.17%, 3.71%, 95.88%, 0.41%,0901f4
01007,81.91%, 8.60%, 90.51%, 0.89%,1502e6
01009,52.46%, 23.25%, 75.71%, 1.03%,3b02c1
01011,97.27%,-, 98.64%, 1.36%,0003fb
01013,96.13%,-, 97.99%, 2.01%,0005f9
01015,74.21%, 12.72%, 86.93%, 0.35%,2000dd
01017,94.58%, 2.58%, 97.16%, 0.26%,0600f7
01019,74.29%, 12.66%, 86.94%, 0.40%,2001dd
01021,15.81%, 41.99%, 57.80%, 0.21%,6b0093
01023,93.03%, 3.48%, 96.52%,-,0800f6
01025,97.45%,-, 98.71%, 1.29%,0003fb
01027,42.97%, 28.25%, 71.22%, 0.53%,4801b5
01029,51.71%, 24.00%, 75.72%, 0.28%,3d00c1
01031,87.77%, 6.12%, 93.88%,-,0f00ef
01033,83.12%, 8.35%, 91.47%, 0.18%,1500e9
01035,95.63%, 2.08%, 97.71%, 0.21%,0500f9
01037,61.42%, 18.90%, 80.32%, 0.78%,3001cc
01039,92.23%, 3.86%, 96.08%, 0.06%,0900f5
01041,93.62%, 3.03%, 96.65%, 0.32%,0700f6
01043,29.31%, 35.19%, 64.51%, 0.30%,5900a4
01045,74.23%, 12.80%, 87.03%, 0.17%,2000dd
01047,90.29%, 4.81%, 95.10%, 0.09%,0c00f2
01049,31.75%, 34.02%, 65.77%, 0.21%,5600a7
01051,93.28%, 3.26%, 96.54%, 0.20%,0800f6
01053,90.33%, 4.70%, 95.03%, 0.27%,0b00f2
01055,69.06%, 15.27%, 84.33%, 0.40%,2601d7
01057,47.54%, 25.88%, 73.42%, 0.70%,4101bb
01059,27.72%, 35.95%, 63.67%, 0.38%,5b00a2
01061,74.81%, 12.37%, 87.19%, 0.44%,1f01de
01063,84.14%, 7.93%, 92.07%,-,1400ea
01065,96.29%,-, 98.14%, 1.86%,0004fa
01067,93.11%, 3.40%, 96.50%, 0.10%,0800f6
01069,77.90%, 10.88%, 88.78%, 0.34%,1b00e2
01071,60.21%, 19.80%, 80.01%, 0.19%,3200cc
01073,69.08%, 15.26%, 84.34%, 0.40%,2601d7
01075,80.96%, 9.32%, 90.28%, 0.41%,1701e6
01077,81.31%, 9.04%, 90.35%, 0.61%,1701e6
01079,64.90%, 17.33%, 82.23%, 0.43%,2c01d1
01081,92.11%, 3.85%, 95.96%, 0.19%,0900f4
01083,93.46%, 3.12%, 96.58%, 0.30%,0700f6
01085,97.82%,-, 98.86%, 1.14%,0002fc
01087,93.62%, 3.15%, 96.77%, 0.08%,0800f6
01089,81.16%, 9.28%, 90.44%, 0.28%,1700e6
01091,93.97%, 2.97%, 96.94%, 0.08%,0700f7
01093,41.28%, 28.37%, 69.64%, 1.99%,4805b1
01095,63.58%, 17.98%, 81.55%, 0.47%,2d01cf
01097,71.10%, 13.99%, 85.08%, 0.93%,2302d8
01099,96.84%,-, 98.17%, 1.83%,0004fa
01101,95.75%,-, 97.74%, 2.26%,0005f9
01103,82.43%, 8.51%, 90.93%, 0.56%,1501e7
01105,94.66%, 2.51%, 97.17%, 0.32%,0600f7
01107,84.49%, 7.51%, 92.00%, 0.48%,1301ea
01109,92.13%, 3.81%, 95.94%, 0.25%,0900f4
