id,margin,dewey,roosevelt,other,hex_color
01001,82.48%, 8.58%, 91.06%, 0.37%,1500e8
01003,47.93%, 25.49%, 73.41%, 1.10%,4002bb
01005,92.07%, 2.84%, 94.91%,-,0700f2
01007,67.46%, 15.78%, 83.25%, 0.97%,2802d4
01009,36.12%, 31.73%, 67.85%, 0.41%,5001ad
01011,95.56%, 2.22%, 97.78%,-,0500f9
01013,91.75%, 4.00%, 95.75%, 0.25%,0a00f4
01015,71.85%, 13.80%, 85.65%, 0.56%,2301da
01017,89.13%, 5.30%, 94.43%, 0.27%,0d00f0
01019,62.09%, 18.55%, 80.64%, 0.82%,2f02cd
01021,17.74%, 41.02%, 58.77%, 0.21%,680095
01023,86.86%, 6.46%, 93.32%, 0.23%,1000ed
01025,88.08%, 5.90%, 93.98%, 0.12%,0f00ef
01027,34.67%, 32.36%, 67.03%, 0.61%,5201aa
01029,30.45%, 34.57%, 65.02%, 0.41%,5801a5
01031,92.14%, 3.88%, 96.02%, 0.10%,0900f4
01033,74.31%, 12.75%, 87.07%, 0.18%,2000de
01035,83.60%, 7.74%, 91.34%, 0.91%,1302e8
01037,46.25%, 26.60%, 72.86%, 0.54%,4301b9
01039,84.06%, 7.92%, 91.98%, 0.09%,1400ea
01041,88.46%, 5.61%, 94.06%, 0.33%,0e00ef
01043,27.60%, 35.83%, 63.43%, 0.73%,5b01a1
01045,72.29%, 13.28%, 85.57%, 1.14%,2102da
01047,89.85%, 4.90%, 94.74%, 0.36%,0c00f1
01049,24.84%, 37.52%, 62.35%, 0.13%,5f009e
01051,88.74%, 5.58%, 94.32%, 0.09%,0e00f0
01053,76.90%, 11.30%, 88.20%, 0.51%,1c01e0
01055,58.10%, 20.28%, 78.38%, 1.34%,3303c7
01057,28.59%, 35.51%, 64.10%, 0.39%,5a00a3
01059,18.74%, 40.56%, 59.30%, 0.13%,670097
01061,67.35%, 16.01%, 83.36%, 0.62%,2801d4
01063,87.40%, 6.23%, 93.63%, 0.14%,0f00ee
01065,94.92%, 2.54%, 97.46%,-,0600f8
01067,94.41%, 2.73%, 97.15%, 0.12%,0600f7
01069,84.07%, 7.73%, 91.80%, 0.47%,1301ea
01071,48.53%, 25.65%, 74.18%, 0.18%,4100bd
01073,61.24%, 19.15%, 80.40%, 0.45%,3001cd
01075,72.92%, 13.18%, 86.10%, 0.72%,2101db
01077,73.98%, 12.80%, 86.77%, 0.43%,2001dd
01079,53.92%, 22.94%, 76.86%, 0.20%,3a00c3
01081,87.26%, 6.23%, 93.49%, 0.28%,0f00ee
01083,90.23%, 4.70%, 94.93%, 0.36%,0b00f2
01085,95.97%,-, 97.92%, 2.08%,0005f9
01087,85.20%, 7.35%, 92.56%, 0.09%,1200ec
01089,82.94%, 8.39%, 91.33%, 0.28%,1500e8
01091,89.86%, 4.83%, 94.69%, 0.49%,0c01f1
01093,19.32%, 40.17%, 59.48%, 0.35%,660097
01095,47.27%, 26.31%, 73.58%, 0.11%,4300bb
01097,52.90%, 23.08%, 75.98%, 0.94%,3a02c1
01099,95.30%, 2.25%, 97.55%, 0.20%,0500f8
01101,91.63%, 3.98%, 95.62%, 0.40%,0a01f3
01103,71.52%, 13.72%, 85.24%, 1.03%,2202d9
01105,90.88%, 4.46%, 95.35%, 0.19%,0b00f3
01107,74.93%, 12.30%, 87.23%, 0.47%,1f01de
01109,90.28%, 3.63%, 93.91%, 2.46%,0906ef
01111,43.11%, 27.95%, 71.06%, 1.00%,4702b5
01113,89.50%, 5.16%, 94.66%, 0.18%,0d00f1
01115,23.80%, 37.86%, 61.66%, 0.47%,60019d
01117,34.67%, 32.44%, 67.11%, 0.45%,5201ab
01119,90.36%, 4.69%, 95.05%, 0.27%,0b00f2
01121,63.77%, 17.74%, 81.50%, 0.76%,2d01cf
01123,91.96%, 3.92%, 95.88%, 0.20%,0900f4
01125,78.14%, 10.48%, 88.62%, 0.90%,1a02e1
01127,34.43%, 32.45%, 66.87%, 0.68%,5201aa
01129,84.95%, 7.33%, 92.28%, 0.38%,1200eb
01131,95.00%, 2.42%, 97.42%, 0.16%,0600f8
01133,25.45%, 62.52%, 37.07%, 0.41%,9f015e
02013,0%,-,-,-,000000
02016,0%,-,-,-,000000
02020,0%,-,-,-,000000
02050,0%,-,-,-,000000
02060,0%,-,-,-,000000
02068,0%,-,-,-,000000
02070,0%,-,-,-,000000
02090,0%,-,-,-,000000
02100,0%,-,-,-,000000
02105,0%,-,-,-,000000
02110,0%,-,-,-,000000
02122,0%,-,-,-,000000
02130,0%,-,-,-,000000
02150,0%,-,-,-,000000
02164,0%,-,-,-,000000
02170,0%,-,-,-,000000
02180,0%,-,-,-,000000
02185,0%,-,-,-,000000
02188,0%,-,-,-,000000
02195,0%,-,-,-,000000
02198,0%,-,-,-,000000
02220,0%,-,-,-,000000
02230,0%,-,-,-,000000
02240,0%,-,-,-,000000
02261,0%,-,-,-,000000
02270,0%,-,-,-,000000
02275,0%,-,-,-,000000
02282,0%,-,-,-,000000
02290,0%,-,-,-,000000
04001,25.91%, 36.99%, 62.91%, 0.10%,5e00a0
04003,34.54%, 32.67%, 67.21%, 0.13%,5300ab
04005,11.17%, 44.34%, 55.51%, 0.15%,71008d
04007,35.99%, 31.80%, 67.79%, 0.41%,5101ac
04009,35.00%, 32.43%, 67.43%, 0.14%,5200ab
04011,45.01%, 27.33%, 72.34%, 0.33%,4500b8
04012,0%,-,-,-,000000
04013,12.83%, 43.41%, 56.23%, 0.36%,6e008f
04015,14.40%, 42.64%, 57.05%, 0.31%,6c0091
04017,25.42%, 37.14%, 62.56%, 0.31%,5e009f
04019,9.02%, 45.37%, 54.39%, 0.24%,73008a
04021,22.53%, 38.51%, 61.04%, 0.44%,62019b
04023,27.89%, 35.95%, 63.85%, 0.20%,5b00a2
04025,10.88%, 44.33%, 55.21%, 0.45%,71018c
04027,30.89%, 34.46%, 65.35%, 0.19%,5700a6
05001,24.72%, 37.48%, 62.20%, 0.33%,5f009e
05003,76.59%, 11.59%, 88.17%, 0.24%,1d00e0
05005,16.33%, 41.69%, 58.02%, 0.29%,6a0093
05007,7.19%, 53.52%, 46.33%, 0.15%,880076
05009,22.49%, 38.75%, 61.25%,-,62009c
05011,82.47%, 8.63%, 91.10%, 0.27%,1600e8
05013,76.26%, 11.87%, 88.13%,-,1e00e0
05015,10.91%, 44.55%, 55.45%,-,71008d
05017,70.21%, 14.79%, 84.99%, 0.22%,2500d8
05019,51.28%, 24.30%, 75.58%, 0.11%,3d00c0
05021,15.23%, 42.31%, 57.54%, 0.15%,6b0092
05023,17.88%, 40.50%, 58.39%, 1.11%,670294
