id,margin,eisenhower,stevenson,other,hex_color
01001,31.11%, 34.10%, 65.21%, 0.69%,5601a6
01003,3.13%, 48.04%, 51.17%, 0.79%,7a0282
01005,47.61%, 26.16%, 73.77%, 0.07%,4200bc
01007,42.87%, 28.31%, 71.18%, 0.51%,4801b5
01009,29.48%, 35.19%, 64.67%, 0.14%,5900a4
01011,35.00%, 32.50%, 67.50%,-,5200ac
01013,38.35%, 30.81%, 69.16%, 0.03%,4e00b0
01015,44.30%, 27.37%, 71.68%, 0.95%,4502b6
01017,71.84%, 13.77%, 85.61%, 0.63%,2301da
01019,66.18%, 16.79%, 82.96%, 0.25%,2a00d3
01021,6.07%, 52.91%, 46.84%, 0.25%,860077
01023,45.31%, 27.14%, 72.45%, 0.41%,4501b8
01025,41.08%, 29.45%, 70.53%, 0.02%,4b00b3
01027,24.94%, 37.39%, 62.33%, 0.28%,5f009e
01029,32.50%, 33.64%, 66.14%, 0.21%,5500a8
01031,69.70%, 15.13%, 84.83%, 0.04%,2600d8
01033,62.11%, 18.90%, 81.01%, 0.10%,3000ce
01035,37.79%, 30.47%, 68.27%, 1.26%,4d03ae
01037,31.12%, 34.40%, 65.52%, 0.09%,5700a7
01039,51.46%, 24.11%, 75.57%, 0.32%,3d00c0
01041,64.02%, 17.94%, 81.96%, 0.10%,2d00d0
01043,21.50%, 39.13%, 60.62%, 0.25%,63009a
01045,42.41%, 28.51%, 70.93%, 0.56%,4801b4
01047,10.10%, 55.05%, 44.95%,-,8c0072
01049,13.15%, 43.37%, 56.52%, 0.12%,6e0090
01051,52.27%, 23.83%, 76.10%, 0.07%,3c00c2
01053,47.96%, 25.90%, 73.86%, 0.24%,4200bc
01055,40.54%, 29.52%, 70.06%, 0.42%,4b01b2
01057,21.33%, 39.19%, 60.52%, 0.29%,63009a
01059,17.60%, 41.13%, 58.73%, 0.14%,680095
01061,47.95%, 25.98%, 73.93%, 0.08%,4200bc
01063,22.08%, 38.91%, 61.00%, 0.09%,63009b
01065,22.92%, 38.44%, 61.36%, 0.20%,62009c
01067,64.59%, 17.60%, 82.19%, 0.21%,2c00d1
01069,19.83%, 39.55%, 59.38%, 1.07%,640297
01071,48.50%, 25.65%, 74.15%, 0.20%,4100bd
01073,8.28%, 45.58%, 53.85%, 0.57%,740189
01075,61.16%, 19.40%, 80.56%, 0.03%,3100cd
01077,57.46%, 21.16%, 78.62%, 0.22%,3500c8
01079,53.14%, 23.34%, 76.49%, 0.17%,3b00c3
01081,26.54%, 36.67%, 63.22%, 0.11%,5d00a1
01083,74.78%, 12.46%, 87.24%, 0.30%,1f00de
01085,12.34%, 43.73%, 56.06%, 0.21%,6f008e
01087,40.21%, 29.87%, 70.08%, 0.05%,4c00b2
01089,66.46%, 16.36%, 82.82%, 0.82%,2902d3
01091,13.58%, 43.21%, 56.79%,-,6e0090
01093,31.30%, 34.25%, 65.55%, 0.21%,5700a7
01095,48.67%, 25.55%, 74.22%, 0.23%,4100bd
01097,1.11%, 49.29%, 50.40%, 0.31%,7d0080
01099,60.35%, 19.72%, 80.07%, 0.22%,3200cc
01101,6.46%, 46.22%, 52.68%, 1.10%,750286
01103,50.04%, 24.89%, 74.94%, 0.17%,3f00bf
01105,28.22%, 35.80%, 64.02%, 0.19%,5b00a3
01107,25.14%, 37.06%, 62.20%, 0.74%,5e019e
01109,44.99%, 27.46%, 72.45%, 0.09%,4600b8
01111,47.71%, 26.06%, 73.77%, 0.17%,4200bc
01113,60.83%, 19.55%, 80.38%, 0.07%,3100cc
01115,18.77%, 40.54%, 59.31%, 0.15%,670097
01117,6.84%, 46.51%, 53.34%, 0.15%,760088
01119,12.01%, 43.90%, 55.91%, 0.19%,6f008e
01121,16.66%, 41.52%, 58.18%, 0.30%,690094
01123,61.90%, 19.00%, 80.89%, 0.11%,3000ce
01125,32.47%, 33.04%, 65.50%, 1.46%,5403a7
01127,32.32%, 33.45%, 65.78%, 0.77%,5501a7
01129,51.94%, 23.90%, 75.83%, 0.27%,3c00c1
