statecounty,margin,nixon,humphrey,wallace,hex_color
01001,51.05, 7.79, 19.97, 71.03,13b532
01003,65.27, 11.70, 9.89, 76.98,1dc419
01005,45.22, 4.86, 23.89, 69.10,0cb03c
01007,66.21, 5.63, 13.95, 80.16,0ecc23
01009,49.78, 22.15, 3.64, 71.93,38b709
01011,4.53, 4.37, 45.18, 49.71,0b7e73
01013,59.24, 6.79, 16.85, 76.09,11c22a
01015,56.27, 11.43, 15.48, 71.75,1db627
01017,61.37, 10.17, 12.77, 74.14,19bd20
01019,75.83, 6.03, 8.13, 83.96,0fd614
01021,56.27, 18.00, 6.36, 74.26,2dbd10
01023,42.82, 2.89, 26.93, 69.75,07b144
01025,51.60, 5.66, 19.90, 71.50,0eb632
01027,66.26, 14.00, 5.08, 80.25,23cc0c
01029,70.81, 12.14, 4.01, 82.95,1ed30a
01031,72.58, 6.33, 9.95, 82.53,10d219
01033,57.93, 11.06, 14.67, 72.60,1cb925
01035,50.07, 3.48, 21.53, 71.60,08b636
01037,57.91, 8.66, 16.35, 74.26,16bd29
01039,80.65, 6.33, 6.03, 86.98,10dd0f
01041,69.11, 3.81, 13.25, 82.35,09d121
01043,35.33, 28.75, 6.46, 64.08,49a310
01045,74.67, 6.25, 8.88, 83.55,0fd516
01047,13.72, 7.49, 39.17, 52.89,138663
01049,19.05, 35.76, 8.57, 54.81,5b8b15
01051,61.74, 6.78, 14.77, 76.52,11c325
01053,64.86, 6.32, 13.86, 78.72,10c823
01055,53.88, 13.95, 14.79, 68.67,23af25
01057,61.81, 13.26, 10.84, 75.07,21bf1b
01059,37.21, 27.75, 6.46, 64.96,46a510
01061,87.30, 3.31, 4.43, 91.73,08e90b
01063,16.98, 4.54, 56.16, 39.18,0b638f
01065,17.70, 5.06, 38.08, 55.78,0c8e61
01067,61.94,-, 18.05, 79.99,00cb2e
01069,74.89, 5.89, 9.00, 83.89,0fd516
01071,67.04, 10.92, 9.37, 77.96,1bc617
01073,24.58, 19.39, 27.24, 51.81,318445
01075,82.11, 6.14, 5.10, 88.25,0fe10d
01077,55.69, 15.63, 11.47, 71.32,27b51d
01079,74.42, 7.70, 8.63, 83.05,13d316
01081,37.44, 18.01, 21.34, 58.78,2d9536
01083,72.68, 8.39, 8.57, 81.25,15cf15
01085,21.30, 7.17, 34.54, 55.84,128e58
01087,44.37, 4.03, 69.74, 25.37,0a40b1
01089,31.97, 25.43, 15.41, 57.40,409227
01091,18.64, 4.99, 38.01, 56.64,0c9060
01093,58.59, 17.76, 4.34, 76.34,2dc20b
01095,60.05, 16.34, 5.73, 76.39,29c20e
01097,46.83, 11.43, 20.25, 67.08,1dab33
01099,48.39, 5.12, 22.84, 71.23,0db53a
01101,32.49, 14.50, 25.98, 58.47,249542
01103,61.94, 13.66, 8.43, 75.60,22c015
01105,5.60, 5.55, 44.25, 49.85,0e7f70
01107,49.23, 5.07, 22.66, 71.89,0cb739
01109,53.63, 7.89, 18.76, 72.39,14b82f
01111,62.67, 12.33, 9.79, 75.00,1fbf18
01113,43.37, 6.26, 24.07, 67.44,0fab3d
01115,55.84, 16.86, 8.96, 72.70,2ab916
01117,55.99, 15.84, 10.26, 71.83,28b71a
01119,3.70, 6.30, 48.60, 44.89,10727b
01121,55.48, 10.32, 16.52, 72.00,1ab72a
01123,65.24, 10.19, 11.26, 76.50,19c31c
01125,46.02, 13.47, 19.58, 65.60,22a731
01127,60.81, 13.56, 10.17, 74.37,22bd19
01129,64.10, 3.52, 15.87, 79.98,08cb28
01131,19.23, 5.34, 37.38, 56.62,0d905f
01133,15.52, 39.33, 4.67, 54.86,648b0b
02013,0,-,-,-,000000
02016,0,-,-,-,000000
02020,0,-,-,-,000000
02050,0,-,-,-,000000
02060,0,-,-,-,000000
02068,0,-,-,-,000000
02070,0,-,-,-,000000
02090,0,-,-,-,000000
02100,0,-,-,-,000000
02105,0,-,-,-,000000
02110,0,-,-,-,000000
02122,0,-,-,-,000000
02130,0,-,-,-,000000
02150,0,-,-,-,000000
02164,0,-,-,-,000000
