id,margin,nixon,mcgovern,other,other2,hex_color
01001,52.86%, 75.17%,22.310000000000002,2.52%,0,bf0638
01003,66.29%, 82.20%,15.909999999999997,1.89%,0,d10428
01005,44.66%, 70.92%,26.260000000000005,2.82%,0,b40742
01007,58.73%, 78.44%,19.700000000000003,1.86%,0,c80432
01009,60.00%, 79.36%,19.36,1.28%,0,ca0331
01011,3.11%, 47.44%,50.56,2.0%,0,780580
01013,53.59%, 76.45%,22.86,0.69%,0,c2013a
01015,54.90%, 76.93%,22.029999999999987,1.04%,0,c40238
01017,60.35%, 79.21%,18.870000000000005,1.92%,0,c90430
01019,45.16%, 71.89%,26.730000000000004,1.38%,0,b70344
01021,67.59%, 82.88%,15.290000000000006,1.83%,0,d30426
01023,22.29%, 60.74%,38.44,0.82%,0,9a0262
01025,43.50%, 70.89%,27.400000000000006,1.71%,0,b40445
01027,76.91%, 88.24%,11.340000000000003,0.42%,0,e1011c
01029,70.73%, 85.20%,14.480000000000004,0.32%,0,d90024
01031,61.01%, 80.06%,19.060000000000002,0.88%,0,cc0230
01033,38.66%, 67.71%,29.040000000000006,3.25%, 2.10%,ac084a
01035,50.56%, 74.81%,24.25999999999999,0.93%,0,be023d
01037,54.87%, 77.20%,22.340000000000003,0.46%,0,c40138
01039,71.05%, 85.27%,14.219999999999999,0.51%,0,d90124
01041,47.60%, 72.87%,25.269999999999996,1.86%,0,b90440
01043,59.80%, 79.54%,19.739999999999995,0.72%,0,ca0132
01045,67.26%, 83.14%,15.879999999999995,0.98%,0,d40228
01047,22.53%, 60.53%,38.01,1.46%,0,9a0360
01049,42.87%, 71.27%,28.400000000000006,0.33%,0,b50048
01051,62.04%, 79.90%,17.849999999999994,2.25%,0,cb052d
01053,65.53%, 82.19%,16.659999999999997,1.15%,0,d1022a
01055,47.16%, 72.95%,25.799999999999997,1.25%,0,ba0341
01057,67.06%, 83.53%,16.47,0.0%,0,d50029
01059,51.68%, 75.23%,23.549999999999997,1.22%,0,bf033c
01061,69.21%, 84.33%,15.120000000000005,0.55%,0,d70126
01063,38.67%, 29.65%,68.32,2.03%,0,4b05ae
01065,22.37%, 59.22%,36.84,3.94%, 2.61%,970a5d
01067,59.68%, 79.56%,19.879999999999995,0.56%,0,ca0132
01069,67.87%, 83.46%,15.590000000000003,0.95%,0,d40227
01071,34.19%, 65.91%,31.72,2.37%,0,a80650
01073,39.19%, 68.05%,28.85000000000001,3.1%,0,ad0749
01075,61.77%, 80.56%,18.799999999999997,0.64%,0,cd012f
01077,46.24%, 71.66%,25.430000000000007,2.91%,0,b60740
01079,51.46%, 75.61%,24.150000000000006,0.24%,0,c0003d
01081,51.48%, 74.94%,23.450000000000003,1.61%,0,bf043b
01083,48.62%, 73.21%,24.60000000000001,2.19%,0,ba053e
01085,12.21%, 42.69%,54.910000000000004,2.4%,0,6c068c
01087,29.17%, 33.04%,64.96000000000001,2.0%, 2.00%,5405a5
01089,48.68%, 73.42%,24.739999999999995,1.84%,0,bb043f
01091,31.68%, 65.05%,33.370000000000005,1.58%,0,a50455
01093,71.18%, 85.38%,14.200000000000003,0.42%,0,d90124
01095,50.47%, 74.45%,23.989999999999995,1.56%,0,bd033d
01097,48.98%, 73.15%,24.159999999999997,2.69%,0,ba063d
01099,51.07%, 74.82%,23.74000000000001,1.44%,0,be033c
01101,46.00%, 71.86%,25.86,2.28%,0,b70541
01103,55.60%, 76.85%,21.24000000000001,1.91%,0,c30436
01105,1.44%, 49.13%,50.08,0.79%,0,7d027f
01107,35.36%, 67.33%,31.980000000000004,0.69%,0,ab0151
01109,54.78%, 76.66%,21.88000000000001,1.46%,0,c30337
01111,52.56%, 75.14%,22.569999999999993,2.29%,0,bf0539
01113,37.49%, 66.73%,31.72,1.55%,0,aa0350
01115,62.16%, 79.82%,17.650000000000006,2.53%,0,cb062d
01117,65.16%, 81.24%,16.090000000000003,2.67%,0,cf0629
01119,0.93%, 49.19%,50.11,0.7%,0,7d017f
01121,46.96%, 73.12%,26.159999999999997,0.72%,0,ba0142
01123,59.23%, 78.71%,19.49000000000001,1.8%,0,c80431
01125,42.74%, 70.15%,27.409999999999997,2.44%,0,b20645
01127,58.66%, 78.79%,20.11999999999999,1.09%,0,c80233
01129,49.77%, 74.73%,24.950000000000003,0.32%,0,be003f
01131,10.31%, 44.42%,54.739999999999995,0.84%,0,71028b
01133,72.64%, 86.14%,13.5,0.36%,0,db0022
02013,0%,-,0,0.0%,0,000000
02016,0%,-,0,0.0%,0,000000
02020,0%,-,0,0.0%,0,000000
02050,0%,-,0,0.0%,0,000000
02060,0%,-,0,0.0%,0,000000
02068,0%,-,0,0.0%,0,000000
02070,0%,-,0,0.0%,0,000000
02090,0%,-,0,0.0%,0,000000
02100,0%,-,0,0.0%,0,000000
02105,0%,-,0,0.0%,0,000000
02110,0%,-,0,0.0%,0,000000
02122,0%,-,0,0.0%,0,000000
02130,0%,-,0,0.0%,0,000000
02150,0%,-,0,0.0%,0,000000
02164,0%,-,0,0.0%,0,000000
02170,0%,-,0,0.0%,0,000000
02180,0%,-,0,0.0%,0,000000
02185,0%,-,0,0.0%,0,000000
02188,0%,-,0,0.0%,0,000000
02195,0%,-,0,0.0%,0,000000
02198,0%,-,0,0.0%,0,000000
02220,0%,-,0,0.0%,0,000000
02230,0%,-,0,0.0%,0,000000
02240,0%,-,0,0.0%,0,000000
02261,0%,-,0,0.0%,0,000000
02270,0%,-,0,0.0%,0,000000
02275,0%,-,0,0.0%,0,000000
