id,margin,ford,carter,other,hex_color
01001,1.37%, 48.32%, 49.69%, 1.99%,7b057e
01003,17.70%, 57.72%, 40.02%, 2.26%,930566
01005,11.19%, 43.25%, 54.43%, 2.32%,6e058a
01007,28.14%, 35.56%, 63.70%, 0.74%,5a01a2
01009,21.97%, 38.56%, 60.53%, 0.91%,62029a
01011,40.34%, 29.10%, 69.44%, 1.45%,4a03b1
01013,18.90%, 40.36%, 59.25%, 0.39%,660097
01015,26.61%, 35.97%, 62.59%, 1.44%,5b039f
01017,5.71%, 46.32%, 52.03%, 1.65%,760484
01019,50.77%, 23.85%, 74.62%, 1.53%,3c03be
01021,7.94%, 45.50%, 53.44%, 1.06%,740288
01023,12.59%, 43.50%, 56.10%, 0.40%,6e018f
01025,6.78%, 45.81%, 52.60%, 1.59%,740486
01027,21.88%, 38.76%, 60.64%, 0.60%,62019a
01029,26.48%, 36.07%, 62.55%, 1.38%,5b039f
01031,24.99%, 37.02%, 62.00%, 0.98%,5e029e
01033,44.68%, 26.55%, 71.23%, 2.23%,4305b5
01035,25.58%, 36.39%, 61.97%, 1.65%,5c049e
01037,35.50%, 31.76%, 67.26%, 0.98%,5002ab
01039,17.21%, 40.71%, 57.93%, 1.36%,670393
01041,29.83%, 34.20%, 64.03%, 1.77%,5704a3
01043,30.23%, 34.40%, 64.63%, 0.97%,5702a4
01045,11.71%, 43.33%, 55.03%, 1.64%,6e048c
01047,10.53%, 43.66%, 54.19%, 2.15%,6f058a
01049,19.24%, 40.14%, 59.37%, 0.49%,660197
01051,0.70%, 48.50%, 49.20%, 2.30%,7b057d
01053,9.17%, 44.22%, 53.39%, 2.38%,700688
01055,41.08%, 28.90%, 69.99%, 1.11%,4902b2
01057,30.40%, 34.44%, 64.83%, 0.73%,5701a5
01059,30.18%, 34.41%, 64.59%, 1.00%,5702a4
01061,37.99%, 30.47%, 68.46%, 1.06%,4d02ae
01063,52.30%, 23.65%, 75.96%, 0.39%,3c00c1
01065,22.28%, 37.71%, 59.99%, 2.30%,600598
01067,20.86%, 39.21%, 60.07%, 0.73%,630199
01069,9.55%, 54.07%, 44.52%, 1.41%,890371
01071,46.17%, 25.53%, 71.71%, 2.76%,4107b6
01073,6.48%, 52.32%, 45.85%, 1.83%,850474
01075,37.05%, 30.38%, 67.44%, 2.18%,4d05ab
01077,35.90%, 31.17%, 67.06%, 1.77%,4f04ab
01079,65.13%, 17.08%, 82.21%, 0.71%,2b01d1
01081,7.78%, 52.75%, 44.98%, 2.27%,860572
01083,48.38%, 24.98%, 73.36%, 1.67%,3f04bb
01085,38.65%, 29.68%, 68.33%, 2.00%,4b05ae
01087,60.79%, 18.62%, 79.41%, 1.97%,2f05ca
