id,margin,reagan,carter,other,anderson,hex_color
01001,18.05%, 56.87%, 38.82%,-,4.3%,910a62
01003,35.99%, 65.78%, 29.80%,-,4.42%,a70b4b
01005,3.19%, 46.34%, 49.53%,-,1.89%,76047e
01007,10.78%, 44.30%, 55.08%,-,0.62%,70018c
01009,9.14%, 53.59%, 44.45%,-,1.96%,880471
01011,44.60%, 25.65%, 70.25%,-,1.3%,4103b3
01013,4.13%, 45.53%, 49.67%,-,2.35%,74057e
01015,1.29%, 49.17%, 47.88%,-,2.95%,7d077a
01017,15.00%, 40.88%, 55.88%,-,3.24%,68088e
01019,19.91%, 38.55%, 58.47%,-,2.98%,620795
01021,16.63%, 57.64%, 41.00%,-,1.36%,920368
01023,12.48%, 43.45%, 55.93%,-,0.62%,6e018e
01025,1.78%, 47.44%, 49.23%,-,3.33%,78087d
01027,1.64%, 48.09%, 49.73%,-,2.18%,7a057e
01029,7.49%, 52.78%, 45.29%,-,1.92%,860473
01031,4.63%, 50.45%, 45.82%,-,3.72%,800974
01033,29.64%, 33.07%, 62.71%,-,4.22%,540a9f
01035,2.49%, 47.69%, 50.19%,-,2.12%,79057f
01037,15.89%, 40.72%, 56.62%,-,2.66%,670690
01039,5.21%, 51.54%, 46.33%,-,2.12%,830576
01041,4.30%, 47.15%, 51.45%,-,1.41%,780383
01043,5.90%, 45.92%, 51.82%,-,2.26%,750584
01045,18.38%, 57.64%, 39.26%,-,3.1%,920764
01047,11.70%, 42.14%, 53.84%,-,1.75%,6b0489
01049,4.56%, 51.75%, 47.19%,-,1.05%,830278
01051,18.04%, 57.20%, 39.15%,-,3.65%,910963
01053,11.32%, 54.04%, 42.71%,-,3.25%,89086c
01055,12.20%, 42.79%, 54.99%,-,2.22%,6d058c
01057,1.09%, 48.83%, 49.92%,-,1.25%,7c037f
01059,15.68%, 41.33%, 57.01%,-,1.66%,690491
01061,0.46%, 49.30%, 48.85%,-,1.85%,7d047c
01063,53.77%, 22.79%, 76.55%,-,0.66%,3a01c3
01065,25.24%, 34.69%, 59.93%,-,1.64%,580498
01067,2.72%, 47.85%, 50.57%,-,1.58%,7a0480
01069,30.28%, 64.05%, 33.77%,-,2.18%,a30556
01071,27.31%, 34.48%, 61.79%,-,3.73%,57099d
01073,7.53%, 51.10%, 43.57%,-,5.33%,820d6f
01075,9.51%, 44.91%, 54.41%,-,0.68%,72018a
01077,18.03%, 38.42%, 56.45%,-,5.13%,610d8f
01079,41.82%, 28.09%, 69.92%,-,1.99%,4705b2
01081,6.26%, 49.98%, 43.72%, 2.93%,6.300000000000001%,7f106f
01083,26.94%, 34.18%, 61.12%,-,4.71%,570c9b
01085,38.53%, 28.60%, 67.12%,-,1.05%,4802ab
01087,65.75%, 14.35%, 80.10%,-,1.38%,2403cc
01089,0.21%, 47.03%, 46.82%, 3.45%,6.140000000000001%,770f77
01091,11.70%, 41.90%, 53.60%,-,1.85%,6a0488
01093,2.50%, 48.26%, 50.75%,-,0.99%,7b0281
01095,13.52%, 40.93%, 54.45%,-,4.62%,680b8a
01097,18.24%, 57.71%, 39.47%,-,2.82%,930764
01099,3.89%, 50.87%, 46.98%,-,2.15%,810577
01101,11.62%, 53.75%, 42.13%,-,4.12%,890a6b
01103,5.09%, 45.14%, 50.23%,-,4.63%,730b80
01105,29.84%, 34.68%, 64.52%,-,0.8%,5802a4
01107,11.27%, 43.78%, 55.05%,-,1.17%,6f028c
01109,8.04%, 52.25%, 44.21%,-,3.54%,850970
01111,1.40%, 46.22%, 47.62%,-,1.41%,750379
01113,26.95%, 33.22%, 60.17%,-,2.74%,540699
01115,18.54%, 56.89%, 38.35%,-,2.4%,910661
01117,32.50%, 64.28%, 31.79%,-,3.93%,a30a51
01119,40.44%, 29.23%, 69.66%,-,1.11%,4a02b1
01121,1.25%, 47.97%, 49.22%,-,2.81%,7a077d
01123,9.57%, 43.80%, 53.37%,-,2.83%,6f0788
01125,1.59%, 48.50%, 46.91%,-,4.58%,7b0b77
01127,21.12%, 38.53%, 59.65%,-,1.83%,620498
01129,7.17%, 45.96%, 53.13%,-,0.91%,750287
01131,36.79%, 31.40%, 68.19%,-,0.41%,5001ad
01133,19.12%, 59.04%, 39.92%,-,1.03%,960265
02013,0%,-,-,-,0.0%,000000
02016,0%,-,-,-,0.0%,000000
02020,0%,-,-,-,0.0%,000000
02050,0%,-,-,-,0.0%,000000
02060,0%,-,-,-,0.0%,000000
02068,0%,-,-,-,0.0%,000000
02070,0%,-,-,-,0.0%,000000
02090,0%,-,-,-,0.0%,000000
02100,0%,-,-,-,0.0%,000000
02105,0%,-,-,-,0.0%,000000
02110,0%,-,-,-,0.0%,000000
02122,0%,-,-,-,0.0%,000000
02130,0%,-,-,-,0.0%,000000
02150,0%,-,-,-,0.0%,000000
02164,0%,-,-,-,0.0%,000000
02170,0%,-,-,-,0.0%,000000
02180,0%,-,-,-,0.0%,000000
02185,0%,-,-,-,0.0%,000000
02188,0%,-,-,-,0.0%,000000
02195,0%,-,-,-,0.0%,000000
02198,0%,-,-,-,0.0%,000000
02220,0%,-,-,-,0.0%,000000
02230,0%,-,-,-,0.0%,000000
02240,0%,-,-,-,0.0%,000000
02261,0%,-,-,-,0.0%,000000
02270,0%,-,-,-,0.0%,000000
02275,0%,-,-,-,0.0%,000000
02282,0%,-,-,-,0.0%,000000
02290,0%,-,-,-,0.0%,000000
04001,19.58%, 56.55%, 36.97%, 4.67%,6.48%,90105e
04003,28.17%, 59.48%, 31.31%, 7.38%,9.21%,97174f
04005,25.88%, 55.78%, 29.89%, 10.74%,11.040000000000001%,8e1c4c
04007,17.44%, 55.27%, 37.82%, 4.90%,6.92%,8c1160
04009,24.67%, 59.85%, 35.18%, 3.37%,4.970000000000001%,980c59
04011,13.38%, 40.64%, 54.02%, 3.97%,5.34%,670d89
04012,0%,-,-,-,0.0%,000000
04013,40.37%, 64.97%, 24.60%, 8.01%,8.209999999999999%,a5143e
04015,44.43%, 68.86%, 24.43%, 4.88%,6.71%,af113e
04017,33.65%, 63.91%, 30.27%, 4.21%,5.82%,a20e4d
04019,15.31%, 49.75%, 34.44%, 13.52%,13.7%,7e2257
04021,12.85%, 52.43%, 39.59%, 5.79%,5.95%,850f64
04023,10.96%, 50.07%, 39.12%, 9.03%,10.809999999999999%,7f1b63
04025,45.39%, 68.37%, 22.98%, 6.05%,6.1899999999999995%,ae0f3a
04027,34.90%, 63.34%, 28.44%, 6.49%,8.22%,a11448
05001,11.20%, 42.69%, 53.89%, 2.42%,3.42%,6c0889
05003,6.77%, 45.27%, 52.03%,-,2.7%,730684
05005,32.32%, 63.93%, 31.62%, 3.26%,4.449999999999999%,a30b50
05007,32.61%, 63.96%, 31.36%, 3.46%,4.6899999999999995%,a30b4f
05009,18.22%, 56.07%, 37.86%, 3.55%,6.07%,8e0f60
05011,30.45%, 33.74%, 64.19%,-,2.07%,5605a3
05013,22.62%, 37.40%, 60.02%, 2.17%,2.59%,5f0699
05015,16.77%, 55.29%, 38.52%, 3.86%,6.1899999999999995%,8c0f62
05017,20.88%, 38.76%, 59.64%,-,1.59%,620498
05019,36.92%, 29.97%, 66.89%, 2.35%,3.1500000000000004%,4c08aa
05021,12.20%, 42.17%, 54.37%,-,3.47%,6b088a
05023,0.25%, 48.38%, 48.13%, 2.44%,3.49%,7b087a
05025,23.94%, 36.76%, 60.69%,-,2.55%,5d069a
05027,8.17%, 52.76%, 44.60%,-,2.64%,860671
05029,6.02%, 45.11%, 51.13%, 2.52%,3.76%,730982
05031,8.29%, 51.31%, 43.02%, 3.30%,5.66%,820e6d
05033,35.62%, 66.22%, 30.61%,-,3.17%,a8084e
05035,5.60%, 45.20%, 50.80%,-,4.0%,730a81
05037,8.87%, 44.59%, 53.47%,-,1.94%,710488
05039,27.36%, 35.16%, 62.52%,-,2.31%,59059f
05041,28.01%, 34.07%, 62.08%,-,3.84%,56099e
05043,24.01%, 36.74%, 60.75%,-,2.51%,5d069a
05045,5.76%, 44.19%, 49.95%, 4.50%,5.86%,700e7f
05047,11.39%, 53.66%, 42.27%, 3.07%,4.08%,880a6b
05049,1.50%, 49.35%, 47.85%,-,2.8%,7d077a
05051,10.85%, 52.96%, 42.11%, 3.51%,4.93%,870c6b
05053,20.30%, 38.04%, 58.34%,-,3.62%,610994
05055,13.67%, 41.64%, 55.31%, 2.02%,3.05%,6a078d
05057,9.49%, 44.65%, 54.14%,-,1.22%,71038a
05059,30.84%, 32.92%, 63.76%, 2.26%,3.32%,5308a2
05061,3.52%, 47.12%, 50.63%,-,2.25%,780581
05063,5.46%, 45.63%, 51.08%, 2.48%,3.29%,740882
05065,9.21%, 43.13%, 52.34%, 3.05%,4.529999999999999%,6d0b85
05067,18.07%, 39.49%, 57.55%, 2.15%,2.95%,640792
05069,21.95%, 35.60%, 57.55%, 2.67%,4.77%,5a0c92
05071,1.18%, 47.39%, 48.57%, 2.45%,4.03%,780a7b
05073,5.06%, 46.50%, 51.56%,-,1.93%,760483
05075,4.34%, 46.60%, 50.94%,-,2.46%,760681
05077,28.55%, 35.09%, 63.64%,-,1.27%,5903a2
05079,33.10%, 32.29%, 65.39%,-,2.31%,5205a6
05081,7.15%, 45.22%, 52.37%,-,2.41%,730685
05083,4.63%, 50.61%, 45.98%,-,3.41%,810875
05085,0.12%, 48.50%, 48.38%, 2.12%,3.1100000000000003%,7b077b
05087,12.78%, 54.50%, 41.71%, 2.16%,3.79%,8a096a
05089,18.91%, 57.11%, 38.20%, 2.99%,4.69%,910b61
05091,5.99%, 52.40%, 46.41%,-,1.2%,850376
05093,10.59%, 43.67%, 54.26%,-,2.06%,6f058a
05095,13.65%, 41.98%, 55.62%,-,2.4%,6b068d
05097,8.11%, 43.88%, 51.99%, 2.38%,4.12%,6f0a84
05099,21.04%, 38.22%, 59.26%,-,2.52%,610697
05101,24.47%, 60.08%, 35.61%, 2.48%,4.3100000000000005%,990a5a
05103,23.12%, 35.46%, 58.58%, 2.03%,5.949999999999999%,5a0f95
05105,4.61%, 45.79%, 50.41%, 2.29%,3.8%,740980
05107,21.28%, 38.31%, 59.59%,-,2.1%,610597
05109,4.34%, 46.77%, 51.11%,-,2.12%,770582
05111,9.30%, 44.01%, 53.31%,-,2.68%,700687
05113,20.16%, 58.51%, 38.35%, 2.04%,3.14%,950861
05115,5.99%, 50.72%, 44.72%, 3.31%,4.5600000000000005%,810b72
05117,1.87%, 47.63%, 49.50%,-,2.88%,79077e
05119,2.40%, 46.15%, 48.56%, 4.12%,5.29%,750d7b
05121,8.28%, 43.50%, 51.78%, 2.11%,2.3%,6e0584
05123,12.69%, 42.77%, 55.46%,-,1.77%,6d048d
05125,10.42%, 42.60%, 53.02%, 3.29%,4.38%,6c0b87
05127,0.17%, 48.16%, 48.34%,-,3.5%,7a087b
05129,22.07%, 58.79%, 36.72%, 2.41%,4.49%,950b5d
05131,35.96%, 63.46%, 27.50%, 2.77%,3.63%,a10946
05133,6.40%, 45.52%, 51.92%,-,2.57%,740684
05135,10.07%, 53.30%, 43.24%, 2.49%,3.46%,87086e
05137,4.40%, 45.11%, 49.51%, 3.35%,5.390000000000001%,730d7e
05139,14.94%, 55.10%, 40.16%,-,4.75%,8c0c66
05141,1.94%, 49.11%, 47.17%, 2.43%,3.72%,7d0978
05143,24.03%, 58.69%, 34.66%, 4.90%,6.65%,951058
05145,3.88%, 46.66%, 50.54%,-,2.8%,760780
05147,33.23%, 32.06%, 65.28%,-,2.66%,5106a6
05149,7.22%, 44.65%, 51.87%, 2.54%,3.48%,710884
06001,10.34%, 37.96%, 48.30%, 9.78%,13.739999999999998%,60237b
06003,26.25%, 55.10%, 28.85%, 10.85%,13.45%,8c2249
06005,22.85%, 55.85%, 33.00%, 8.15%,9.0%,8e1654
06007,28.28%, 57.85%, 29.57%, 9.25%,12.58%,93204b
06009,28.98%, 58.92%, 29.94%, 7.55%,8.54%,96154c
06011,25.87%, 58.00%, 32.13%, 6.51%,7.43%,931251
06013,12.77%, 50.12%, 37.35%, 9.81%,12.530000000000001%,7f1f5f
06015,24.02%, 57.48%, 33.46%, 6.96%,9.06%,921755
06017,28.73%, 58.27%, 29.53%, 9.02%,9.84%,94194b
06019,10.70%, 51.13%, 40.43%, 6.65%,8.440000000000001%,821567
06021,38.01%, 64.80%, 26.79%, 6.46%,8.41%,a51544
06023,14.24%, 49.39%, 35.15%, 11.17%,13.2%,7d2159
06025,19.03%, 55.92%, 36.89%, 5.57%,7.180000000000001%,8e125e
06027,38.88%, 64.79%, 25.91%, 6.42%,9.3%,a51742
06029,25.99%, 59.65%, 33.65%, 4.75%,6.7%,981155
06031,16.99%, 55.37%, 38.37%, 4.74%,6.26%,8d0f61
06033,17.75%, 53.64%, 35.90%, 6.95%,7.93%,88145b
06035,18.58%, 54.45%, 35.87%, 6.62%,9.67%,8a185b
06037,10.03%, 50.18%, 40.15%, 7.21%,9.67%,7f1866
06039,14.24%, 53.58%, 39.35%, 5.12%,7.07%,881264
06041,9.63%, 45.78%, 36.16%, 12.72%,13.01%,74215c
06043,21.27%, 54.96%, 33.68%, 8.17%,11.36%,8c1c55
06045,5.84%, 44.05%, 38.21%, 9.73%,10.39%,701a61
06047,5.83%, 48.77%, 42.94%, 6.26%,8.29%,7c156d
06049,38.33%, 64.48%, 26.15%, 7.33%,9.379999999999999%,a41742
06051,37.04%, 62.32%, 25.29%, 8.83%,9.68%,9e1840
06053,21.16%, 54.67%, 33.51%, 9.23%,11.82%,8b1e55
06055,19.83%, 53.67%, 33.83%, 9.58%,10.45%,881a56
06057,28.95%, 57.91%, 28.96%, 8.51%,9.74%,931849
06059,45.26%, 67.90%, 22.65%, 7.09%,9.45%,ad1839
06061,21.13%, 54.78%, 33.65%, 8.47%,9.200000000000001%,8b1755
06063,15.57%, 51.24%, 35.67%, 9.59%,13.08%,82215a
06065,28.36%, 59.87%, 31.51%, 6.73%,8.63%,981650
06067,7.35%, 47.72%, 40.37%, 9.21%,11.91%,791e66
06069,17.17%, 53.33%, 36.16%, 7.26%,8.01%,87145c
06071,28.01%, 59.68%, 31.67%, 6.59%,8.65%,981650
06073,33.55%, 60.81%, 27.26%, 9.41%,11.93%,9b1e45
06075,20.56%, 31.87%, 52.43%, 11.56%,13.67%,512285
06077,19.82%, 55.38%, 35.56%, 7.20%,9.06%,8d175a
06079,26.07%, 55.56%, 29.50%, 12.09%,14.94%,8d264b
06081,12.22%, 48.82%, 36.60%, 11.73%,14.59%,7c255d
06083,22.47%, 53.98%, 31.51%, 11.46%,14.510000000000002%,892550
06085,13.01%, 48.02%, 35.01%, 13.73%,14.66%,7a2559
06087,5.83%, 43.53%, 37.70%, 12.34%,12.93%,6f2060
06089,25.69%, 58.09%, 32.40%, 6.79%,7.48%,941352
06091,11.87%, 49.77%, 37.89%, 9.08%,12.34%,7e1f60
06093,21.91%, 55.75%, 33.84%, 7.58%,10.41%,8e1a56
06095,12.35%, 50.72%, 38.37%, 8.32%,10.91%,811b61
06097,12.01%, 48.20%, 36.19%, 11.17%,13.31%,7a215c
06099,9.40%, 49.41%, 40.01%, 8.47%,10.58%,7d1a66
06101,35.97%, 63.47%, 27.50%, 5.87%,6.47%,a11046
