id,margin,reagan,mondale,hall,other,hex_color
01001,41.82%, 70.07%, 28.25%,-,1.69%,b20448
01003,53.54%, 75.55%, 22.01%,-,2.45%,c00638
01005,8.54%, 53.73%, 45.18%,-,1.09%,890273
01007,23.21%, 61.32%, 38.10%,-,0.58%,9c0161
01009,38.22%, 68.16%, 29.95%,-,1.89%,ad044c
01011,34.72%, 32.02%, 66.75%,-,1.23%,5103aa
01013,14.93%, 56.73%, 41.81%,-,1.46%,90036a
01015,27.67%, 61.16%, 33.49%, 3.00%,5.35%,9b0d55
01017,20.22%, 59.60%, 39.38%,-,1.02%,970264
01019,3.10%, 51.04%, 47.93%,-,1.03%,82027a
01021,45.42%, 70.53%, 25.10%, 3.32%,4.37%,b30b40
01023,7.99%, 53.88%, 45.90%,-,0.22%,890075
01025,16.93%, 58.11%, 41.18%,-,0.71%,940169
01027,39.26%, 68.19%, 28.93%,-,2.88%,ad0749
01029,43.72%, 70.50%, 26.78%,-,2.73%,b30644
01031,40.93%, 69.84%, 28.91%,-,1.26%,b20349
01033,7.03%, 45.31%, 52.34%,-,2.35%,730585
01035,12.68%, 55.86%, 43.18%,-,0.96%,8e026e
01037,18.34%, 58.95%, 40.62%,-,0.43%,960167
01039,44.17%, 71.63%, 27.46%,-,0.91%,b60246
01041,25.74%, 61.86%, 36.12%,-,2.03%,9d055c
01043,29.37%, 63.92%, 34.55%,-,1.54%,a20358
01045,51.88%, 75.37%, 23.48%,-,1.15%,c0023b
01047,6.61%, 46.26%, 52.88%,-,0.86%,750286
01049,25.25%, 62.53%, 37.27%,-,0.2%,9f005f
01051,46.63%, 72.74%, 26.11%,-,1.15%,b90242
01053,38.05%, 68.33%, 30.28%,-,1.39%,ae034d
01055,0.44%, 49.62%, 49.18%,-,1.2%,7e037d
01057,29.45%, 64.63%, 35.18%,-,0.19%,a40059
01059,7.01%, 52.90%, 45.89%,-,1.22%,860375
01061,44.15%, 70.00%, 25.86%, 3.13%,4.14%,b20a41
01063,44.42%, 26.13%, 70.55%, 2.34%,3.32%,4208b3
01065,9.87%, 44.44%, 54.31%,-,1.25%,71038a
01067,27.58%, 63.34%, 35.76%,-,0.9%,a1025b
01069,52.23%, 75.82%, 23.59%,-,0.59%,c1013c
01071,6.21%, 46.15%, 52.36%,-,1.49%,750385
01073,19.08%, 59.41%, 40.33%,-,0.25%,970066
01075,34.65%, 67.21%, 32.55%,-,0.24%,ab0053
01077,8.54%, 53.57%, 45.04%,-,1.39%,880372
01079,4.21%, 47.04%, 51.25%,-,1.71%,770482
01081,29.36%, 64.05%, 34.70%,-,1.25%,a30358
01083,21.51%, 60.12%, 38.62%,-,1.26%,990362
01085,36.90%, 31.02%, 67.92%,-,1.07%,4f02ad
01087,66.47%, 16.24%, 82.71%,-,1.04%,2902d2
01089,30.14%, 64.54%, 34.40%,-,1.06%,a40257
01091,4.41%, 51.51%, 47.11%,-,1.38%,830378
01093,26.63%, 63.20%, 36.57%,-,0.22%,a1005d
01095,22.69%, 60.47%, 37.78%,-,1.75%,9a0460
01097,26.47%, 62.56%, 36.08%,-,1.36%,9f035c
01099,22.47%, 60.65%, 38.18%,-,1.17%,9a0261
01101,16.16%, 57.77%, 41.61%,-,0.63%,93016a
01103,36.31%, 67.99%, 31.68%,-,0.32%,ad0050
01105,2.42%, 48.08%, 50.50%,-,1.42%,7a0380
01107,13.25%, 56.47%, 43.23%,-,0.3%,8f006e
01109,27.03%, 62.60%, 35.58%,-,1.82%,9f045a
01111,33.28%, 65.74%, 32.46%,-,1.81%,a70452
01113,6.62%, 46.04%, 52.66%,-,1.3%,750386
01115,43.73%, 71.02%, 27.30%,-,1.68%,b50445
01117,56.91%, 77.88%, 20.96%,-,1.16%,c60235
01119,28.39%, 35.65%, 64.04%,-,0.31%,5a00a3
01121,24.23%, 61.11%, 36.88%,-,2.01%,9b055e
01123,33.57%, 66.19%, 32.62%,-,1.19%,a80353
01125,26.84%, 62.75%, 35.91%,-,1.34%,a0035b
01127,9.52%, 54.11%, 44.59%,-,1.31%,890371
01129,17.94%, 58.78%, 40.85%,-,0.37%,950068
01131,22.02%, 38.81%, 60.83%,-,0.37%,62009b
01133,44.53%, 72.22%, 27.69%,-,0.09%,b80046
02013,0%,-,-,-,0.0%,000000
02016,0%,-,-,-,0.0%,000000
02020,0%,-,-,-,0.0%,000000
02050,0%,-,-,-,0.0%,000000
02060,0%,-,-,-,0.0%,000000
02068,0%,-,-,-,0.0%,000000
02070,0%,-,-,-,0.0%,000000
02090,0%,-,-,-,0.0%,000000
02100,0%,-,-,-,0.0%,000000
02105,0%,-,-,-,0.0%,000000
02110,0%,-,-,-,0.0%,000000
02122,0%,-,-,-,0.0%,000000
02130,0%,-,-,-,0.0%,000000
02150,0%,-,-,-,0.0%,000000
02164,0%,-,-,-,0.0%,000000
02170,0%,-,-,-,0.0%,000000
02180,0%,-,-,-,0.0%,000000
02185,0%,-,-,-,0.0%,000000
02188,0%,-,-,-,0.0%,000000
02195,0%,-,-,-,0.0%,000000
02198,0%,-,-,-,0.0%,000000
02220,0%,-,-,-,0.0%,000000
02230,0%,-,-,-,0.0%,000000
02240,0%,-,-,-,0.0%,000000
02261,0%,-,-,-,0.0%,000000
02270,0%,-,-,-,0.0%,000000
02275,0%,-,-,-,0.0%,000000
02282,0%,-,-,-,0.0%,000000
02290,0%,-,-,-,0.0%,000000
04001,12.58%, 43.26%, 55.84%,-,0.9%,6e028e
04003,25.55%, 62.25%, 36.70%,-,1.06%,9e025d
04005,20.36%, 59.13%, 38.77%,-,0.01%,960062
04007,13.34%, 56.02%, 42.68%,-,1.29%,8e036c
04009,25.75%, 62.35%, 36.60%,-,1.06%,9e025d
04011,4.28%, 47.58%, 51.86%,-,0.55%,790184
04012,29.10%, 63.92%, 34.82%,-,1.25%,a20358
04013,44.92%, 71.98%, 27.06%,-,0.97%,b70245
04015,39.60%, 69.26%, 29.66%,-,1.08%,b0024b
04017,17.17%, 58.12%, 40.95%,-,0.93%,940268
04019,14.82%, 56.90%, 42.09%,-,1.01%,91026b
04021,15.87%, 57.53%, 41.66%,-,0.81%,92026a
04023,21.79%, 60.34%, 38.55%,-,1.11%,990262
04025,43.42%, 70.89%, 27.46%,-,1.65%,b40446
04027,36.08%, 67.61%, 31.53%,-,0.85%,ac0250
05001,20.62%, 59.99%, 39.37%,-,0.64%,980164
05003,25.33%, 62.44%, 37.11%,-,0.45%,9f015e
05005,40.75%, 69.84%, 29.09%,-,1.07%,b2024a
05007,53.08%, 75.90%, 22.82%,-,1.27%,c1033a
05009,39.81%, 68.83%, 29.01%,-,2.16%,af0549
05011,7.51%, 53.62%, 46.10%,-,0.28%,880075
05013,16.41%, 58.15%, 41.74%,-,0.12%,94006a
05015,37.59%, 68.21%, 30.62%,-,1.16%,ad024e
05017,15.27%, 42.21%, 57.48%,-,0.3%,6b0092
05019,5.12%, 47.27%, 52.39%,-,0.34%,780085
05021,6.87%, 53.02%, 46.15%,-,0.83%,870275
05023,28.83%, 64.04%, 35.21%,-,0.74%,a30159
05025,12.48%, 56.02%, 43.54%,-,0.44%,8e016f
05027,27.67%, 63.45%, 35.78%,-,0.77%,a1015b
05029,14.79%, 57.14%, 42.35%,-,0.51%,91016b
05031,26.91%, 62.87%, 35.96%,-,1.17%,a0025b
05033,51.02%, 75.20%, 24.18%,-,0.62%,bf013d
05035,1.03%, 47.82%, 46.79%,-,5.39%,790d77
05037,18.33%, 59.04%, 40.71%,-,0.26%,960067
05039,7.29%, 52.80%, 45.51%,-,1.7%,860474
05041,3.78%, 45.87%, 49.64%,-,4.49%,740b7e
05043,12.66%, 56.10%, 43.44%,-,0.46%,8f016e
05045,23.24%, 60.89%, 37.65%,-,1.47%,9b0360
05047,28.98%, 64.04%, 35.06%,-,0.91%,a30259
05049,11.01%, 55.15%, 44.14%,-,0.71%,8c0170
05051,28.65%, 62.47%, 33.82%, 2.28%,3.71%,9f0956
05053,19.04%, 59.16%, 40.13%,-,0.71%,960166
05055,13.17%, 56.17%, 43.00%,-,0.83%,8f026d
05057,19.07%, 59.31%, 40.24%,-,0.45%,970166
05059,1.79%, 48.75%, 50.55%,-,0.7%,7c0180
05061,27.59%, 63.72%, 36.13%,-,0.14%,a2005c
05063,25.30%, 62.36%, 37.07%,-,0.57%,9f015e
05065,7.40%, 53.08%, 45.68%,-,1.25%,870374
05067,1.72%, 48.88%, 50.60%,-,0.53%,7c0181
05069,10.84%, 44.10%, 54.95%,-,0.95%,70028c
05071,21.26%, 60.30%, 39.04%,-,0.65%,990163
05073,14.85%, 57.15%, 42.30%,-,0.55%,91016b
05075,21.64%, 60.50%, 38.86%,-,0.64%,9a0163
05077,9.33%, 44.54%, 53.87%,-,1.59%,710489
05079,12.78%, 43.54%, 56.32%,-,0.14%,6f008f
05081,20.11%, 59.58%, 39.47%,-,0.94%,970264
05083,27.39%, 63.14%, 35.75%,-,1.11%,a1025b
05085,28.83%, 64.11%, 35.28%,-,0.62%,a30159
05087,24.25%, 61.65%, 37.40%,-,0.95%,9d025f
05089,28.96%, 64.17%, 35.21%,-,0.62%,a30159
05091,27.63%, 63.43%, 35.80%,-,0.76%,a1015b
05093,14.81%, 57.30%, 42.49%,-,0.21%,92006c
05095,1.91%, 50.45%, 48.54%,-,1.01%,80027b
05097,19.27%, 59.12%, 39.85%,-,1.04%,960265
05099,13.70%, 56.65%, 42.94%,-,0.41%,90016d
05101,31.99%, 65.88%, 33.88%,-,0.24%,a70056
05103,6.43%, 51.19%, 44.76%,-,4.06%,820a72
05105,18.48%, 58.82%, 40.34%,-,0.83%,950266
