id,margin,eisenhower,stevenson,other,hex_color
1001,13.29%,37.47%,50.77%,11.76%,5f1d81
1003,4.93%,51.02%,46.08%,2.90%,820775
1005,50.83%,22.53%,73.35%,4.12%,390abb
1007,18.09%,38.88%,56.97%,4.15%,630a91
1009,9.79%,44.38%,54.17%,1.45%,71038a
1011,40.58%,24.28%,64.86%,10.86%,3d1ba5
1013,17.95%,37.48%,55.42%,7.10%,5f128d
1015,33.06%,32.18%,65.24%,2.58%,5206a6
1017,55.17%,21.49%,76.67%,1.84%,3604c3
1019,51.69%,24.05%,75.75%,0.20%,3d00c1
1021,24.24%,60.98%,36.73%,2.29%,9b055d
1023,44.58%,25.69%,70.26%,4.05%,410ab3
1025,22.27%,38.76%,61.03%,0.21%,62009b
1027,2.41%,48.06%,50.47%,1.47%,7a0380
1029,14.21%,42.75%,56.96%,0.29%,6d0091
1031,60.55%,18.47%,79.02%,2.51%,2f06c9
1033,58.05%,20.35%,78.40%,1.25%,3303c7
1035,29.12%,32.14%,61.26%,6.60%,51109c
1037,13.54%,42.48%,56.01%,1.51%,6c038e
1039,35.11%,30.13%,65.25%,4.62%,4c0ba6
1041,56.64%,19.06%,75.70%,5.24%,300dc1
1043,11.37%,44.12%,55.49%,0.39%,70008d
1045,27.86%,34.59%,62.45%,2.96%,58079f
1047,3.79%,43.37%,39.59%,17.04%,6e2b64
1049,0.73%,49.56%,50.30%,0.14%,7e0080
1051,32.15%,30.01%,62.16%,7.83%,4c139e
1053,36.01%,28.85%,64.86%,6.29%,4910a5
1055,26.03%,36.20%,62.22%,1.58%,5c049e
1057,0.20%,49.59%,49.80%,0.61%,7e017e
1059,0.66%,50.21%,49.55%,0.24%,80007e
1061,40.36%,28.63%,68.99%,2.38%,4906af
1063,36.59%,29.60%,66.19%,4.21%,4b0aa8
1065,42.25%,26.29%,68.54%,5.17%,430dae
1067,62.59%,15.81%,78.40%,5.79%,280ec7
1069,14.59%,38.47%,53.06%,8.47%,621587
1071,43.48%,28.10%,71.58%,0.32%,4700b6
1073,5.82%,49.93%,44.11%,5.96%,7f0f70
1075,48.07%,25.51%,73.58%,0.91%,4102bb
1077,57.24%,21.02%,78.26%,0.72%,3501c7
1079,42.15%,28.60%,70.75%,0.65%,4801b4
1081,33.97%,31.40%,65.37%,3.23%,5008a6
1083,74.86%,12.40%,87.26%,0.34%,1f00de
1085,24.92%,27.35%,52.27%,20.38%,453385
1087,1.96%,48.65%,46.69%,4.66%,7c0b77
1089,49.88%,24.63%,74.52%,0.85%,3e02be
1091,27.82%,33.06%,60.88%,6.06%,540f9b
1093,5.79%,46.88%,52.67%,0.45%,770186
1095,34.31%,32.34%,66.66%,1.00%,5202a9
1097,8.79%,52.21%,43.41%,4.38%,850b6e
1099,44.29%,25.66%,69.95%,4.39%,410bb2
1101,9.75%,46.32%,36.57%,17.11%,762b5d
1103,43.20%,27.35%,70.56%,2.09%,4505b3
1105,19.92%,33.83%,53.75%,12.42%,561f89
1107,23.62%,35.16%,58.78%,6.06%,590f95
1109,42.56%,25.97%,68.53%,5.50%,420eae
1111,32.91%,33.27%,66.18%,0.55%,5401a8
1113,40.08%,28.24%,68.32%,3.44%,4808ae
1115,0.42%,49.07%,48.64%,2.29%,7d057c
1117,7.15%,51.98%,44.83%,3.19%,840872
1119,24.12%,34.59%,58.71%,6.70%,581195
1121,10.90%,43.73%,54.63%,1.64%,6f048b
1123,45.31%,26.68%,72.00%,1.32%,4403b7
1125,23.13%,36.19%,59.33%,4.48%,5c0b97
1127,19.21%,40.09%,59.30%,0.61%,660197
1129,36.12%,30.25%,66.37%,3.38%,4d08a9
1131,18.93%,33.85%,52.78%,13.37%,562286
1133,31.25%,65.60%,34.35%,0.05%,a70057
2013,0%,0,0,0.00%,000000
2016,0%,0,0,0.00%,000000
2020,0%,0,0,0.00%,000000
2050,0%,0,0,0.00%,000000
2060,0%,0,0,0.00%,000000
2068,0%,0,0,0.00%,000000
2070,0%,0,0,0.00%,000000
2090,0%,0,0,0.00%,000000
2100,0%,0,0,0.00%,000000
2105,0%,0,0,0.00%,000000
2110,0%,0,0,0.00%,000000
2122,0%,0,0,0.00%,000000
2130,0%,0,0,0.00%,000000
2150,0%,0,0,0.00%,000000
2164,0%,0,0,0.00%,000000
2170,0%,0,0,0.00%,000000
2180,0%,0,0,0.00%,000000
2185,0%,0,0,0.00%,000000
2188,0%,0,0,0.00%,000000
2195,0%,0,0,0.00%,000000
2198,0%,0,0,0.00%,000000
2220,0%,0,0,0.00%,000000
2230,0%,0,0,0.00%,000000
2240,0%,0,0,0.00%,000000
2261,0%,0,0,0.00%,000000
2270,0%,0,0,0.00%,000000
2275,0%,0,0,0.00%,000000
2282,0%,0,0,0.00%,000000
2290,0%,0,0,0.00%,000000
4001,26.40%,63.18%,36.78%,0.04%,a1005d
4003,12.80%,56.36%,43.57%,0.07%,8f006f
4005,27.16%,63.50%,36.33%,0.17%,a1005c
4007,2.52%,51.26%,48.74%,0.00%,82007c
4009,17.09%,58.55%,41.45%,0.00%,950069
4011,20.62%,39.69%,60.31%,0.00%,650099
4012,0%,0,0,0.00%,000000
4013,26.06%,62.96%,36.91%,0.13%,a0005e
4015,22.23%,60.99%,38.77%,0.24%,9b0062
4017,31.74%,65.80%,34.05%,0.15%,a70056
4019,25.06%,62.49%,37.43%,0.08%,9f005f
4021,6.45%,53.15%,46.70%,0.15%,870077
4023,18.54%,59.25%,40.71%,0.04%,970067
4025,31.32%,65.66%,34.34%,0.00%,a70057
4027,4.01%,47.96%,51.98%,0.06%,7a0084
5001,1.60%,50.15%,48.55%,1.30%,7f037b
5003,38.34%,27.70%,66.04%,6.26%,460fa8
5005,8.46%,53.92%,45.46%,0.62%,890173
5007,26.74%,63.08%,36.33%,0.59%,a0015c
5009,5.39%,52.50%,47.10%,0.40%,850178
5011,37.26%,30.75%,68.01%,1.24%,4e03ad
5013,48.69%,25.26%,73.95%,0.79%,4002bc
5015,16.56%,58.04%,41.48%,0.48%,940169
5017,35.60%,30.19%,65.79%,4.02%,4c0aa7
5019,17.27%,40.76%,58.04%,1.20%,670394
5021,15.97%,41.60%,57.57%,0.83%,6a0292
5023,7.18%,46.24%,53.42%,0.34%,750088
5025,45.60%,26.57%,72.17%,1.26%,4303b8
5027,9.33%,43.42%,52.74%,3.84%,6e0986
5029,22.94%,38.22%,61.15%,0.63%,61019b
5031,18.30%,40.11%,58.41%,1.48%,660394
5033,6.28%,52.88%,46.60%,0.52%,860176
5035,7.31%,50.81%,43.51%,5.68%,810e6e
5037,28.94%,34.42%,63.36%,2.22%,5705a1
5039,26.86%,35.63%,62.49%,1.88%,5a049f
5041,41.30%,28.73%,70.03%,1.24%,4903b2
5043,27.02%,35.28%,62.30%,2.42%,59069e
5045,17.56%,40.94%,58.50%,0.56%,680195
5047,17.21%,41.03%,58.25%,0.72%,680194
5049,8.98%,45.12%,54.09%,0.79%,730289
5051,26.47%,62.53%,36.06%,1.41%,9f035b
5053,21.22%,38.24%,59.47%,2.29%,610597
5055,28.87%,35.22%,64.09%,0.69%,5901a3
5057,9.35%,44.57%,53.91%,1.52%,710389
5059,9.26%,44.96%,54.21%,0.83%,72028a
