id,margin,nixon,kennedy,other,hex_color
01001,6.90%, 45.27%, 52.17%,2.5600000000000023%,730685
01003,7.85%, 45.24%, 53.09%,1.6699999999999875%,730487
01005,29.47%, 34.99%, 64.47%,0.539999999999992%,5901a4
01007,23.44%, 38.23%, 61.66%,0.11000000000001364%,61009d
01009,14.18%, 42.80%, 56.98%,0.21999999999999886%,6d0091
01011,29.39%, 35.09%, 64.48%,0.4299999999999926%,5901a4
01013,39.82%, 29.87%, 69.69%,0.4399999999999977%,4c01b1
01015,32.81%, 33.17%, 65.97%,0.8599999999999994%,5402a8
01017,46.47%, 26.26%, 72.74%,1.0%,4202b9
01019,56.00%, 21.95%, 77.95%,0.09999999999999432%,3700c6
01021,28.02%, 63.93%, 35.91%,0.1599999999999966%,a3005b
01023,26.81%, 34.04%, 60.85%,5.109999999999999%,560d9b
01025,3.48%, 50.82%, 47.34%,1.8400000000000034%,810478
01027,5.90%, 46.81%, 52.71%,0.47999999999998977%,770186
01029,19.90%, 39.97%, 59.87%,0.1599999999999966%,650098
01031,52.65%, 23.54%, 76.19%,0.27000000000001023%,3c00c2
01033,45.06%, 26.79%, 71.85%,1.3600000000000136%,4403b7
01035,46.32%, 25.84%, 72.17%,1.9899999999999949%,4105b8
01037,16.31%, 41.67%, 57.98%,0.3499999999999943%,6a0093
01039,47.25%, 26.16%, 73.42%,0.4200000000000017%,4201bb
01041,67.12%, 16.37%, 83.49%,0.14000000000000057%,2900d4
01043,19.79%, 40.08%, 59.87%,0.05000000000001137%,660098
01045,22.02%, 38.74%, 60.76%,0.5%,62019a
01047,15.25%, 56.94%, 41.69%,1.3700000000000045%,91036a
01049,2.26%, 48.82%, 51.08%,0.09999999999999432%,7c0082
01051,28.12%, 35.48%, 63.60%,0.9200000000000017%,5a02a2
01053,36.92%, 30.65%, 67.57%,1.7800000000000011%,4e04ac
01055,33.41%, 32.87%, 66.28%,0.8499999999999943%,5302a9
01057,8.35%, 45.73%, 54.08%,0.18999999999999773%,740089
01059,8.62%, 54.20%, 45.58%,0.21999999999999886%,8a0074
01061,33.95%, 32.95%, 66.90%,0.14999999999999147%,5400aa
01063,30.45%, 33.93%, 64.38%,1.6899999999999977%,5604a4
01065,27.57%, 35.97%, 63.54%,0.4900000000000091%,5b01a2
01067,56.26%, 21.67%, 77.93%,0.3999999999999915%,3701c6
01069,1.97%, 50.58%, 48.61%,0.8100000000000023%,80027b
01071,40.20%, 29.73%, 69.93%,0.3399999999999892%,4b00b2
01073,14.76%, 56.66%, 41.90%,1.4399999999999977%,90036a
01075,41.93%, 28.43%, 70.36%,1.210000000000008%,4803b3
01077,40.88%, 29.22%, 70.10%,0.6800000000000068%,4a01b2
01079,36.36%, 31.74%, 68.10%,0.1600000000000108%,5000ad
01081,23.91%, 37.73%, 61.63%,0.6400000000000006%,60019d
01083,61.33%, 19.26%, 80.59%,0.14999999999999147%,3100cd
01085,29.35%, 34.84%, 64.19%,0.9699999999999989%,5802a3
01087,20.19%, 39.34%, 59.53%,1.1299999999999955%,640297
01089,34.54%, 32.34%, 66.88%,0.7800000000000011%,5201aa
01091,7.20%, 44.25%, 51.45%,4.299999999999997%,700a83
01093,2.66%, 48.53%, 51.19%,0.28000000000000114%,7b0082
01095,31.97%, 33.98%, 65.94%,0.0800000000000125%,5600a8
01097,7.37%, 45.12%, 52.48%,2.4000000000000057%,730685
01099,36.19%, 31.37%, 67.55%,1.0799999999999983%,4f02ac
01101,10.99%, 54.91%, 43.92%,1.1700000000000017%,8c026f
01103,28.40%, 35.71%, 64.11%,0.18000000000000682%,5b00a3
