id,margin,goldwater,johnson,other,hex_color
01001,71.67%, 85.83%,-, 14.17%,da2400
01003,62.24%, 81.12%,-, 18.88%,ce3000
01005,59.51%, 79.76%,-, 20.24%,cb3300
01007,67.87%, 83.94%,-, 16.06%,d62800
01009,29.33%, 64.67%,-, 35.33%,a45a00
01011,15.29%, 57.64%,-, 42.36%,926c00
01013,60.88%, 80.44%,-, 19.56%,cd3100
01015,26.27%, 63.13%,-, 36.87%,a05e00
01017,28.84%, 64.42%,-, 35.58%,a45a00
01019,0.60%, 49.70%,-, 50.30%,7e8000
01021,51.95%, 75.97%,-, 24.03%,c13d00
01023,71.62%, 85.81%,-, 14.19%,da2400
01025,65.68%, 82.84%,-, 17.16%,d32b00
01027,40.26%, 70.13%,-, 29.87%,b24c00
01029,52.48%, 76.24%,-, 23.76%,c23c00
01031,60.38%, 80.19%,-, 19.81%,cc3200
01033,2.82%, 48.59%,-, 51.41%,7b8300
01035,62.64%, 81.32%,-, 18.68%,cf2f00
01037,45.55%, 72.77%,-, 27.23%,b94500
01039,64.66%, 82.33%,-, 17.67%,d12d00
01041,57.32%, 78.66%,-, 21.34%,c83600
01043,16.65%, 58.33%,-, 41.67%,946a00
01045,67.54%, 83.77%,-, 16.23%,d52900
01047,78.24%, 89.12%,-, 10.88%,e31b00
01049,15.38%, 57.69%,-, 42.31%,936b00
01051,67.54%, 83.77%,-, 16.23%,d52900
01053,48.93%, 74.47%,-, 25.53%,bd4100
01055,18.11%, 59.06%,-, 40.94%,966800
01057,42.67%, 71.34%,-, 28.66%,b54900
01059,12.82%, 56.41%,-, 43.59%,8f6f00
01061,61.48%, 80.74%,-, 19.26%,cd3100
01063,31.39%, 65.69%,-, 34.31%,a75700
01065,55.19%, 77.60%,-, 22.40%,c53900
01067,66.20%, 83.10%,-, 16.90%,d32b00
01069,75.86%, 87.93%,-, 12.07%,e01e00
01071,7.06%, 46.47%,-, 53.53%,768800
01073,45.14%, 72.57%,-, 27.43%,b94500
01075,44.85%, 72.42%,-, 27.58%,b84600
01077,4.89%, 47.55%,-, 52.45%,798500
01079,0.03%, 50.01%,-, 49.99%,7f7f00
01081,57.37%, 78.69%,-, 21.31%,c83600
01083,12.03%, 43.99%,-, 56.01%,708e00
01085,66.63%, 83.32%,-, 16.68%,d42a00
01087,23.08%, 38.46%,-, 61.54%,629c00
01089,3.86%, 51.93%,-, 48.07%,847a00
01091,64.67%, 82.33%,-, 17.67%,d12d00
01093,38.84%, 69.42%,-, 30.58%,b14d00
01095,12.66%, 56.33%,-, 43.67%,8f6f00
01097,41.45%, 70.72%,-, 29.28%,b44a00
01099,62.74%, 81.37%,-, 18.63%,cf2f00
01101,50.93%, 75.47%,-, 24.53%,c03e00
01103,13.29%, 56.64%,-, 43.36%,906e00
01105,59.47%, 79.73%,-, 20.27%,cb3300
01107,64.15%, 82.08%,-, 17.92%,d12d00
01109,68.97%, 84.49%,-, 15.51%,d72700
01111,25.31%, 62.65%,-, 37.35%,9f5f00
01113,52.07%, 76.04%,-, 23.96%,c13d00
01115,41.52%, 70.76%,-, 29.24%,b44a00
01117,51.30%, 75.65%,-, 24.35%,c03e00
01119,60.64%, 80.32%,-, 19.68%,cc3200
01121,41.35%, 70.67%,-, 29.33%,b44a00
01123,52.28%, 76.14%,-, 23.86%,c23c00
01125,37.33%, 68.67%,-, 31.33%,af4f00
01127,16.83%, 58.41%,-, 41.59%,946a00
01129,40.36%, 70.18%,-, 29.82%,b24c00
01131,83.86%, 91.93%,-, 8.07%,ea1400
01133,42.39%, 71.19%,-, 28.81%,b54900
02013,0%,-,-,-,000000
02016,0%,-,-,-,000000
02020,0%,-,-,-,000000
02050,0%,-,-,-,000000
02060,0%,-,-,-,000000
02068,0%,-,-,-,000000
02070,0%,-,-,-,000000
02090,0%,-,-,-,000000
02100,0%,-,-,-,000000
02105,0%,-,-,-,000000
02110,0%,-,-,-,000000
02122,0%,-,-,-,000000
02130,0%,-,-,-,000000
02150,0%,-,-,-,000000
02164,0%,-,-,-,000000
02170,0%,-,-,-,000000
02180,0%,-,-,-,000000
02185,0%,-,-,-,000000
02188,0%,-,-,-,000000
02195,0%,-,-,-,000000
02198,0%,-,-,-,000000
02220,0%,-,-,-,000000
02230,0%,-,-,-,000000
02240,0%,-,-,-,000000
02261,0%,-,-,-,000000
02270,0%,-,-,-,000000
02275,0%,-,-,-,000000
02282,0%,-,-,-,000000
02290,0%,-,-,-,000000
04001,4.96%, 47.51%, 52.47%,-,790085
04003,8.39%, 45.78%, 54.17%,-,74008a
04005,4.40%, 52.15%, 47.75%,-,840079
04007,29.50%, 35.24%, 64.73%,-,5900a5
04009,2.35%, 48.82%, 51.18%,-,7c0082
04011,47.09%, 26.45%, 73.55%,-,4300bb
04012,0%,-,-,-,000000
04013,7.94%, 53.94%, 46.00%,-,890075
04015,3.50%, 48.19%, 51.69%,-,7a0083
04017,1.04%, 50.47%, 49.44%,-,80007e
04019,7.07%, 46.36%, 53.44%,-,760088
04021,17.51%, 41.23%, 58.74%,-,690095
04023,13.06%, 43.44%, 56.50%,-,6e0090
04025,14.77%, 57.16%, 42.39%,-,91006c
04027,9.08%, 45.44%, 54.52%,-,73008b
05001,8.14%, 53.92%, 45.78%,-,890074
05003,12.53%, 55.77%, 43.23%,-,8e006e
05005,18.69%, 40.61%, 59.29%,-,670097
05007,2.76%, 51.25%, 48.49%,-,82007b
05009,13.74%, 42.99%, 56.73%,-,6d0090
05011,9.19%, 45.15%, 54.34%,-,73008a
05013,22.39%, 38.29%, 60.68%,-,61009a
05015,2.43%, 51.22%, 48.78%,-,82007c
05017,19.25%, 40.22%, 59.47%,-,660097
05019,37.15%, 31.21%, 68.36%,-,4f00ae
05021,24.07%, 37.57%, 61.64%,-,5f009d
05023,36.75%, 31.51%, 68.26%,-,5000ae
05025,4.39%, 47.39%, 51.78%,-,780084
05027,6.96%, 53.22%, 46.26%,-,870075
05029,27.67%, 36.02%, 63.69%,-,5b00a2
05031,23.42%, 38.13%, 61.55%,-,61009c
05033,3.55%, 48.07%, 51.62%,-,7a0083
05035,1.24%, 48.96%, 50.20%,-,7c0080
05037,5.98%, 46.88%, 52.86%,-,770086
05039,4.47%, 47.14%, 51.61%,-,780083
05041,26.05%, 36.86%, 62.91%,-,5d00a0
05043,3.13%, 51.18%, 48.05%,-,82007a
05045,30.34%, 34.61%, 64.95%,-,5800a5
05047,25.71%, 36.76%, 62.47%,-,5d009f
05049,33.55%, 33.09%, 66.64%,-,5400a9
05051,7.58%, 46.01%, 53.59%,-,750088
05053,12.14%, 42.93%, 55.07%,-,6d008c
