id,margin,bush,dukakis,trash,other,hex_color
01001,35.70%, 67.17%, 31.47%,-,1.3599999999999994%,ab0350
01003,46.81%, 72.85%, 26.04%,-,1.1100000000000136%,b90242
01005,12.61%, 55.71%, 43.11%,-,1.1800000000000068%,8e036d
01007,12.46%, 56.06%, 43.61%,-,0.3299999999999983%,8e006f
01009,31.51%, 64.61%, 33.10%, 2.17%,2.289999999999992%,a40554
01011,37.11%, 31.00%, 68.11%,-,0.8900000000000006%,4f02ad
01013,6.14%, 52.59%, 46.45%,-,0.9599999999999937%,860276
01015,21.65%, 58.31%, 36.66%,-,5.030000000000001%,940c5d
01017,20.00%, 59.39%, 39.39%,-,1.2199999999999989%,970364
01019,5.05%, 47.01%, 52.06%,-,0.9300000000000068%,770284
01021,39.14%, 69.41%, 30.26%,-,0.3299999999999983%,b0004d
01023,1.94%, 50.89%, 48.96%,-,0.15000000000000568%,81007c
01025,14.88%, 56.97%, 42.09%,-,0.9399999999999977%,91026b
01027,36.16%, 66.74%, 30.58%,-,2.680000000000007%,aa064d
01029,37.59%, 68.40%, 30.80%,-,0.7999999999999972%,ae024e
01031,34.23%, 66.57%, 32.34%,-,1.0900000000000034%,a90252
01033,14.25%, 42.25%, 56.49%,-,1.259999999999991%,6b0390
01035,3.68%, 51.22%, 47.54%,-,1.240000000000009%,820379
01037,12.72%, 56.15%, 43.43%,-,0.4200000000000017%,8f016e
01039,35.49%, 67.34%, 31.85%,-,0.8100000000000023%,ab0251
01041,17.44%, 58.44%, 41.00%,-,0.5600000000000023%,950168
01043,25.15%, 61.87%, 36.72%,-,1.4099999999999966%,9d035d
01045,44.87%, 71.80%, 26.94%,-,1.2600000000000051%,b70344
01047,11.65%, 43.79%, 55.44%,-,0.7700000000000102%,6f018d
01049,21.88%, 60.60%, 38.72%,-,0.6800000000000068%,9a0162
01051,40.87%, 69.84%, 28.97%,-,1.1899999999999977%,b20349
01053,25.44%, 62.14%, 36.70%,-,1.1599999999999966%,9e025d
01055,0.18%, 49.67%, 49.49%,-,0.8400000000000034%,7e027e
01057,15.24%, 57.40%, 42.16%,-,0.4399999999999977%,92016b
01059,1.81%, 50.25%, 48.44%,-,1.3100000000000023%,80037b
01061,35.62%, 67.32%, 31.69%,-,0.9900000000000091%,ab0250
01063,51.34%, 23.94%, 75.28%,-,0.7800000000000011%,3d01bf
01065,13.68%, 42.71%, 56.39%,-,0.9000000000000057%,6c028f
01067,24.08%, 61.82%, 37.75%,-,0.4300000000000068%,9d0160
01069,48.00%, 73.87%, 25.87%,-,0.2599999999999909%,bc0041
01071,9.72%, 44.55%, 54.27%,-,1.1800000000000068%,71038a
01073,15.95%, 57.74%, 41.80%,-,0.46000000000000796%,93016a
01075,17.10%, 58.48%, 41.38%,-,0.14000000000000057%,950069
01077,0.31%, 49.43%, 49.13%,-,1.4399999999999977%,7e037d
01079,12.24%, 42.96%, 55.20%,-,1.8400000000000034%,6d048c
01081,30.36%, 64.39%, 34.02%,-,1.5900000000000034%,a40456
01083,24.60%, 61.56%, 36.96%,-,1.4799999999999898%,9c035e
01085,40.26%, 29.42%, 69.68%,-,0.8999999999999915%,4b02b1
01087,65.07%, 16.81%, 81.88%,-,1.3100000000000023%,2a03d0
01089,34.76%, 67.06%, 32.29%,-,0.6500000000000057%,ab0152
01091,1.85%, 48.61%, 50.45%,-,0.9399999999999977%,7b0280
01093,13.81%, 56.73%, 42.92%,-,0.3499999999999943%,90006d
01095,24.02%, 60.90%, 36.88%,-,2.219999999999999%,9b055e
01097,22.50%, 60.88%, 38.39%,-,0.7299999999999898%,9b0161
01099,20.88%, 60.07%, 39.19%,-,0.7400000000000091%,990163
01101,17.65%, 58.43%, 40.79%,-,0.7800000000000011%,940168
01103,27.50%, 63.54%, 36.04%,-,0.4200000000000017%,a2015b
01105,25.48%, 36.59%, 62.07%,-,1.3400000000000034%,5d039e
01107,10.66%, 55.16%, 44.50%,-,0.3400000000000034%,8c0071
01109,21.22%, 60.04%, 38.82%,-,1.1400000000000006%,990262
01111,29.94%, 64.02%, 34.08%,-,1.9000000000000057%,a30456
01113,1.96%, 48.40%, 50.35%,-,1.25%,7b0380
01115,41.80%, 70.71%, 28.91%,-,0.38000000000000966%,b40049
