id,margin,bush,clinton,perot,hex_color
01001,25.00%, 55.92%, 30.92%, 12.29%,8e1f4e
01003,30.28%, 56.52%, 26.24%, 16.47%,902942
01005,3.46%, 42.90%, 46.36%, 9.78%,6d1876
01007,3.33%, 46.49%, 43.15%, 10.21%,761a6e
01009,20.90%, 53.81%, 32.92%, 11.81%,891e53
01011,41.65%, 26.02%, 67.67%, 5.52%,420eac
01013,6.22%, 41.21%, 47.43%, 10.23%,691a78
01015,9.74%, 48.18%, 38.44%, 11.02%,7a1c62
01017,1.96%, 43.40%, 45.36%, 10.90%,6e1b73
01019,18.75%, 34.85%, 53.61%, 10.74%,581b88
01021,21.98%, 56.17%, 34.19%, 9.42%,8f1857
01023,11.53%, 40.60%, 52.13%, 6.47%,671084
01025,4.03%, 46.90%, 42.87%, 7.44%,77126d
01027,13.66%, 49.68%, 36.02%, 11.33%,7e1c5b
01029,5.37%, 46.31%, 40.94%, 12.03%,761e68
01031,11.68%, 48.87%, 37.19%, 13.01%,7c215e
01033,18.42%, 35.98%, 54.40%, 9.35%,5b178a
01035,10.97%, 39.05%, 50.02%, 8.75%,63167f
01037,7.44%, 41.12%, 48.56%, 9.92%,68197b
01039,13.15%, 48.99%, 35.84%, 13.47%,7c225b
01041,1.23%, 44.22%, 45.44%, 9.17%,701773
01043,13.63%, 49.62%, 35.98%, 14.16%,7e245b
01045,19.16%, 51.45%, 32.29%, 15.35%,832752
01047,18.66%, 37.72%, 56.38%, 5.66%,600e8f
01049,10.54%, 48.73%, 38.20%, 12.70%,7c2061
01051,25.18%, 55.70%, 30.52%, 13.56%,8e224d
01053,8.94%, 46.44%, 37.50%, 12.60%,76205f
01055,7.28%, 41.15%, 48.43%, 10.08%,68197b
01057,2.67%, 42.55%, 45.22%, 11.95%,6c1e73
01059,9.77%, 40.43%, 50.20%, 9.07%,671780
01061,12.37%, 49.08%, 36.71%, 13.41%,7d225d
01063,62.69%, 16.49%, 79.18%, 3.97%,2a0ac9
01065,24.57%, 33.22%, 57.80%, 8.07%,541493
01067,2.55%, 45.70%, 43.15%, 10.26%,741a6e
01069,28.57%, 58.33%, 29.76%, 11.73%,941d4b
01071,25.99%, 30.19%, 56.19%, 13.02%,4c218f
01073,8.01%, 50.13%, 42.12%, 7.42%,7f126b
01075,5.99%, 47.29%, 41.30%, 11.06%,781c69
01077,6.54%, 40.67%, 47.21%, 11.88%,671e78
01079,24.06%, 30.86%, 54.91%, 14.01%,4e238c
01081,8.78%, 47.58%, 38.80%, 12.88%,792062
01083,8.22%, 45.66%, 37.45%, 16.59%,742a5f
01085,42.19%, 25.80%, 67.99%, 5.52%,410ead
01087,69.84%, 12.94%, 82.78%, 3.23%,2008d3
01089,11.56%, 47.71%, 36.14%, 15.75%,79285c
01091,10.33%, 39.75%, 50.09%, 8.17%,65147f
01093,3.58%, 42.89%, 46.47%, 10.47%,6d1a76
01095,6.84%, 45.85%, 39.01%, 14.20%,742463
01097,12.50%, 50.72%, 38.22%, 10.51%,811a61
01099,10.74%, 50.48%, 39.73%, 7.79%,801365
01101,3.95%, 47.29%, 43.34%, 8.88%,78166e
01103,13.60%, 47.92%, 34.31%, 17.47%,7a2c57
01105,32.39%, 31.46%, 63.86%, 3.66%,5009a2
01107,1.83%, 44.63%, 46.46%, 8.47%,711576
01109,6.57%, 48.45%, 41.88%, 9.15%,7b176a
01111,6.07%, 46.77%, 40.70%, 11.27%,771c67
01113,19.50%, 35.61%, 55.12%, 8.67%,5a168c
01115,27.42%, 57.56%, 30.14%, 12.09%,921e4c
01117,46.55%, 67.97%, 21.42%, 10.43%,ad1a36
01119,42.75%, 25.72%, 68.47%, 5.52%,410eae
01121,7.49%, 48.21%, 40.72%, 10.01%,7a1967
01123,15.77%, 52.67%, 36.90%, 10.11%,86195e
01125,6.82%, 47.27%, 40.46%, 12.07%,781e67
01127,11.95%, 38.26%, 50.22%, 11.32%,611c80
01129,9.51%, 40.06%, 49.57%, 10.16%,66197e
01131,33.33%, 31.50%, 64.84%, 3.28%,5008a5
01133,21.16%, 55.01%, 33.85%, 11.00%,8c1c56
02013,0%,-,-,-,000000
02016,0%,-,-,-,000000
02020,0%,-,-,-,000000
02050,0%,-,-,-,000000
02060,0%,-,-,-,000000
02068,0%,-,-,-,000000
02070,0%,-,-,-,000000
02090,0%,-,-,-,000000
02100,0%,-,-,-,000000
02105,0%,-,-,-,000000
02110,0%,-,-,-,000000
02122,0%,-,-,-,000000
02130,0%,-,-,-,000000
02150,0%,-,-,-,000000
02164,0%,-,-,-,000000
02170,0%,-,-,-,000000
02180,0%,-,-,-,000000
02185,0%,-,-,-,000000
02188,0%,-,-,-,000000
02195,0%,-,-,-,000000
02198,0%,-,-,-,000000
02220,0%,-,-,-,000000
02230,0%,-,-,-,000000
02240,0%,-,-,-,000000
02261,0%,-,-,-,000000
02270,0%,-,-,-,000000
02275,0%,-,-,-,000000
02282,0%,-,-,-,000000
02290,0%,-,-,-,000000
04001,36.31%, 25.13%, 61.44%, 10.84%,401b9c
04003,1.51%, 36.81%, 38.31%, 23.70%,5d3c61
04005,12.01%, 32.31%, 44.32%, 21.97%,523871
04007,9.69%, 31.29%, 40.97%, 25.40%,4f4068
04009,8.02%, 42.98%, 34.96%, 19.18%,6d3059
04011,6.11%, 36.34%, 42.45%, 19.88%,5c326c
04012,4.21%, 32.23%, 36.44%, 29.99%,524c5c
04013,8.51%, 41.06%, 32.56%, 25.26%,684053
04015,1.06%, 33.69%, 32.63%, 31.28%,554f53
04017,11.72%, 32.45%, 44.17%, 19.43%,523170
04019,11.20%, 34.47%, 45.68%, 19.16%,573074
04021,10.34%, 31.76%, 42.10%, 25.13%,50406b
04023,6.04%, 37.43%, 43.47%, 17.91%,5f2d6e
04025,8.67%, 39.42%, 30.75%, 27.62%,64464e
04027,4.58%, 41.55%, 36.97%, 20.42%,69345e
05001,26.50%, 32.51%, 59.01%, 8.01%,521496
05003,33.34%, 28.08%, 61.42%, 9.73%,47189c
05005,8.59%, 35.85%, 44.44%, 18.68%,5b2f71
05007,12.37%, 48.81%, 36.45%, 14.16%,7c245c
05009,0.24%, 42.21%, 42.45%, 14.40%,6b246c
05011,30.43%, 30.64%, 61.07%, 8.08%,4e149b
05013,12.66%, 38.75%, 51.41%, 9.51%,621883
05015,2.64%, 39.91%, 42.55%, 16.94%,652b6c
05017,44.36%, 24.36%, 68.72%, 6.81%,3e11af
05019,37.70%, 26.93%, 64.64%, 8.00%,4414a4
05021,45.21%, 23.26%, 68.47%, 8.02%,3b14ae
05023,15.13%, 35.87%, 51.00%, 12.66%,5b2082
05025,22.68%, 33.36%, 56.04%, 9.98%,55198e
05027,10.64%, 37.70%, 48.35%, 11.10%,601c7b
05029,25.69%, 32.06%, 57.75%, 9.47%,511893
05031,18.86%, 35.57%, 54.43%, 8.88%,5a168a
