id,margin,dole,clinton,perot,nader,other,hex_color
01001,29.14%, 61.66%, 32.52%, 5.27%,-,5.819999999999993%,9d0e52
01003,35.47%, 62.58%, 27.11%, 9.59%,-,10.310000000000002%,9f1a45
01005,12.96%, 40.51%, 53.47%, 5.75%,-,6.02000000000001%,670f88
01007,4.16%, 48.20%, 44.04%, 7.22%,-,7.759999999999991%,7a1370
01009,26.07%, 59.09%, 33.02%, 6.43%,-,7.889999999999986%,961454
01011,43.89%, 26.32%, 70.21%, 2.53%,-,3.469999999999999%,4308b3
01013,6.13%, 43.14%, 49.27%, 6.92%,-,7.590000000000003%,6e137d
01015,6.40%, 49.00%, 42.60%, 7.08%,-,8.400000000000006%,7c156c
01017,7.28%, 42.42%, 49.70%, 7.32%,-,7.8799999999999955%,6c147e
01019,16.04%, 36.20%, 52.24%, 10.68%,-,11.560000000000002%,5c1d85
01021,17.90%, 55.40%, 37.50%, 6.51%,-,7.099999999999994%,8d125f
01023,20.35%, 36.78%, 57.13%, 5.79%,-,6.090000000000003%,5d0f91
01025,0.45%, 47.29%, 47.75%, 4.72%,-,4.960000000000008%,780c79
01027,6.97%, 48.38%, 41.42%, 9.66%,-,10.199999999999989%,7b1a69
01029,7.69%, 48.64%, 40.96%, 9.08%,-,10.400000000000006%,7c1a68
01031,18.62%, 55.12%, 36.50%, 7.36%,-,8.379999999999995%,8c155d
01033,9.45%, 40.88%, 50.33%, 8.35%,-,8.789999999999992%,681680
01035,14.83%, 38.33%, 53.16%, 8.15%,-,8.510000000000005%,611587
01037,9.68%, 41.66%, 51.34%, 6.34%,-,7.0%,6a1182
01039,12.52%, 50.66%, 38.13%, 9.22%,-,11.210000000000008%,811c61
01041,5.24%, 43.60%, 48.84%, 7.13%,-,7.560000000000002%,6f137c
01043,17.94%, 53.88%, 35.94%, 9.19%,-,10.180000000000007%,89195b
01045,24.82%, 57.84%, 33.02%, 8.49%,-,9.139999999999986%,931754
01047,22.06%, 37.45%, 59.52%, 2.70%,-,3.030000000000001%,5f0797
01049,18.07%, 54.14%, 36.07%, 8.87%,-,9.789999999999992%,8a185b
01051,30.59%, 61.76%, 31.18%, 6.53%,-,7.060000000000002%,9d124f
01053,5.07%, 46.96%, 41.89%, 7.81%,-,11.150000000000006%,771c6a
01055,3.04%, 44.82%, 47.86%, 6.73%,-,7.319999999999993%,72127a
01057,2.64%, 44.26%, 46.90%, 8.18%,-,8.840000000000003%,701677
01059,5.52%, 42.44%, 47.97%, 9.22%,-,9.590000000000003%,6c187a
01061,17.27%, 52.60%, 35.33%, 9.54%,-,12.069999999999993%,861e5a
01063,61.71%, 17.99%, 79.70%,-,-,2.3100000000000023%,2d05cb
01065,27.02%, 34.59%, 61.61%, 3.47%,-,3.799999999999997%,58099d
