id,margin,bush,gore,trash1,trash2,other,hex_color
01001,40.98%, 69.69%, 28.72%,-,-,1.5900000000000034%,b10449
01003,47.58%, 72.37%, 24.78%,-,-,2.8499999999999943%,b8073f
01005,0.89%, 49.02%, 49.91%,-,-,1.0699999999999932%,7d027f
01007,22.01%, 60.17%, 38.16%,-,-,1.6700000000000017%,990461
01009,42.79%, 70.48%, 27.69%,-,-,1.8299999999999983%,b30446
01011,40.01%, 29.22%, 69.23%,-,-,1.5499999999999972%,4a03b0
01013,6.68%, 52.89%, 46.21%,-,-,0.9000000000000057%,860275
01015,16.77%, 57.33%, 40.56%,-,-,2.1099999999999994%,920567
01017,3.56%, 51.01%, 47.46%,-,-,1.5300000000000011%,820379
01019,8.40%, 53.10%, 44.70%,-,-,2.1999999999999886%,870571
01021,34.85%, 66.70%, 31.84%,-,-,1.4599999999999937%,aa0351
01023,1.45%, 48.82%, 50.27%,-,-,0.9099999999999966%,7c0280
01025,12.17%, 55.69%, 43.52%,-,-,0.789999999999992%,8e026e
01027,28.45%, 63.22%, 34.76%,-,-,2.0200000000000102%,a10558
01029,32.78%, 65.46%, 32.68%,-,-,1.8600000000000136%,a60453
01031,30.57%, 64.39%, 33.82%,-,-,1.789999999999992%,a40456
01033,0.12%, 48.85%, 48.96%,-,-,2.1899999999999977%,7c057c
01035,1.51%, 48.62%, 50.14%,-,-,1.240000000000009%,7b037f
01037,6.09%, 52.16%, 46.07%,-,-,1.7700000000000102%,850475
01039,33.21%, 65.83%, 32.62%,-,-,1.5500000000000114%,a70353
01041,17.91%, 58.25%, 40.33%,-,-,1.4200000000000017%,940366
01043,31.83%, 64.88%, 33.05%,-,-,2.0700000000000074%,a50554
01045,35.98%, 67.02%, 31.04%,-,-,1.9399999999999977%,aa044f
01047,19.54%, 39.86%, 59.40%,-,-,0.7400000000000091%,650197
01049,28.45%, 63.23%, 34.78%,-,-,1.990000000000009%,a10558
01051,42.53%, 70.48%, 27.94%,-,-,1.5799999999999983%,b30447
