id,margin,bush,kerry,trash1,trash2,trash1,other,hex_color
01001,51.98%, 75.67%, 23.69%,-,-, 0.63%,0.6400000000000006%,c0013c
01003,53.91%, 76.42%, 22.50%,-,-, 1.08%,1.0799999999999983%,c20239
01005,9.90%, 54.74%, 44.84%,-,-, 0.43%,0.4199999999999875%,8b0172
01007,44.51%, 72.00%, 27.49%,-,-, 0.51%,0.5100000000000051%,b70146
01009,62.54%, 80.85%, 18.31%,-,-, 0.84%,0.8400000000000034%,ce022e
01011,36.38%, 31.67%, 68.05%,-,-, 0.28%,0.28000000000000114%,5000ad
01013,18.61%, 59.16%, 40.55%,-,-, 0.29%,0.29000000000000625%,960067
01015,32.56%, 65.89%, 33.33%,-,-, 0.78%,0.7800000000000011%,a80154
01017,17.46%, 58.49%, 41.03%,-,-, 0.48%,0.47999999999998977%,950168
01019,31.86%, 65.45%, 33.59%,-,-, 0.95%,0.9599999999999937%,a60255
01021,54.22%, 76.85%, 22.63%,-,-, 0.52%,0.5200000000000102%,c30139
01023,8.22%, 53.92%, 45.70%,-,-, 0.37%,0.37999999999999545%,890074
01025,18.46%, 59.07%, 40.61%,-,-, 0.32%,0.3199999999999932%,960067
01027,41.53%, 70.32%, 28.79%,-,-, 0.90%,0.8900000000000148%,b30249
01029,51.38%, 75.37%, 23.99%,-,-, 0.64%,0.6400000000000006%,c0013d
01031,48.47%, 73.90%, 25.43%,-,-, 0.66%,0.6699999999999875%,bc0140
01033,10.82%, 55.10%, 44.28%,-,-, 0.62%,0.6200000000000045%,8c0170
01035,9.17%, 54.33%, 45.16%,-,-, 0.51%,0.5100000000000051%,8a0173
01037,17.00%, 58.09%, 41.09%,-,-, 0.82%,0.8199999999999932%,940268
01039,52.62%, 76.02%, 23.40%,-,-, 0.58%,0.5800000000000125%,c1013b
01041,37.80%, 68.67%, 30.87%,-,-, 0.45%,0.45999999999999375%,af014e
01043,53.35%, 76.21%, 22.86%,-,-, 0.93%,0.9300000000000068%,c2023a
01045,50.12%, 74.71%, 24.60%,-,-, 0.69%,0.6899999999999977%,be013e
01047,20.68%, 39.49%, 60.17%,-,-, 0.34%,0.3400000000000034%,640099
01049,40.60%, 69.94%, 29.34%,-,-, 0.72%,0.7199999999999989%,b2014a
01051,54.34%, 76.90%, 22.56%,-,-, 0.53%,0.539999999999992%,c40139
01053,37.91%, 68.68%, 30.77%,-,-, 0.55%,0.5499999999999972%,af014e
01055,27.35%, 63.26%, 35.91%,-,-, 0.83%,0.8300000000000125%,a1025b
01057,39.07%, 69.16%, 30.09%,-,-, 0.75%,0.75%,b0014c
01059,25.89%, 62.68%, 36.79%,-,-, 0.53%,0.5300000000000011%,9f015d
01061,59.21%, 79.30%, 20.09%,-,-, 0.62%,0.6099999999999994%,ca0133
01063,59.10%, 20.18%, 79.28%,-,-, 0.55%,0.539999999999992%,3301ca
01065,16.99%, 41.30%, 58.29%,-,-, 0.42%,0.4099999999999966%,690194
01067,33.00%, 66.31%, 33.31%,-,-, 0.38%,0.37999999999999545%,a90054
01069,48.98%, 74.24%, 25.26%,-,-, 0.51%,0.5%,bd0140
01071,14.27%, 56.76%, 42.49%,-,-, 0.75%,0.75%,90016c
01073,9.01%, 54.16%, 45.15%,-,-, 0.68%,0.6899999999999977%,8a0173
01075,42.67%, 71.08%, 28.41%,-,-, 0.51%,0.5100000000000051%,b50148
01077,20.30%, 59.72%, 39.42%,-,-, 0.86%,0.8599999999999994%,980264
01079,11.25%, 55.21%, 43.96%,-,-, 0.83%,0.8299999999999983%,8c0270
01081,26.33%, 62.70%, 36.38%,-,-, 0.92%,0.9199999999999875%,9f025c
01083,36.38%, 67.77%, 31.39%,-,-, 0.84%,0.8400000000000034%,ac0250
01085,40.64%, 29.66%, 70.30%,-,-, 0.03%,0.04000000000000625%,4b00b3
01087,66.23%, 16.69%, 82.92%,-,-, 0.39%,0.39000000000000057%,2a00d3
01089,18.72%, 58.88%, 40.17%,-,-, 0.95%,0.9499999999999886%,960266
01091,2.11%, 50.91%, 48.80%,-,-, 0.29%,0.29000000000000625%,81007c
01093,40.19%, 69.77%, 29.58%,-,-, 0.65%,0.6500000000000057%,b1014b
01095,45.51%, 72.35%, 26.84%,-,-, 0.81%,0.8100000000000023%,b80244
01097,18.04%, 58.69%, 40.65%,-,-, 0.65%,0.6599999999999966%,950167
01099,22.71%, 61.16%, 38.45%,-,-, 0.39%,0.39000000000000057%,9b0062
01101,1.19%, 49.19%, 50.37%,-,-, 0.44%,0.4399999999999977%,7d0180
01103,39.03%, 69.09%, 30.06%,-,-, 0.85%,0.8499999999999943%,b0024c
01105,36.74%, 31.47%, 68.21%,-,-, 0.33%,0.3200000000000074%,5000ad
01107,13.74%, 56.61%, 42.87%,-,-, 0.51%,0.5200000000000102%,90016d
01109,26.50%, 62.97%, 36.47%,-,-, 0.56%,0.5600000000000023%,a0015c
01111,36.77%, 68.07%, 31.30%,-,-, 0.63%,0.6300000000000097%,ad014f
01113,0.23%, 49.60%, 49.82%,-,-, 0.58%,0.5799999999999983%,7e017f
01115,61.88%, 80.59%, 18.71%,-,-, 0.70%,0.6999999999999886%,cd012f
01117,61.57%, 80.39%, 18.82%,-,-, 0.79%,0.789999999999992%,cc022f
01119,41.15%, 29.22%, 70.37%,-,-, 0.40%,0.4099999999999966%,4a01b3
01121,23.27%, 61.31%, 38.04%,-,-, 0.65%,0.6500000000000057%,9c0161
01123,38.66%, 69.03%, 30.36%,-,-, 0.61%,0.6099999999999994%,b0014d
01125,23.53%, 61.40%, 37.87%,-,-, 0.72%,0.730000000000004%,9c0160
01127,35.78%, 67.57%, 31.78%,-,-, 0.65%,0.6500000000000057%,ac0151
01129,23.22%, 61.36%, 38.14%,-,-, 0.51%,0.5%,9c0161
01131,35.27%, 32.28%, 67.55%,-,-, 0.18%,0.1700000000000017%,5200ac
01133,56.55%, 78.00%, 21.45%,-,-, 0.55%,0.5499999999999972%,c60136
02013,0%,-,-,-,-,-,0,000000
02016,0%,-,-,-,-,-,0,000000
02020,0%,-,-,-,-,-,0,000000
02050,0%,-,-,-,-,-,0,000000
02060,0%,-,-,-,-,-,0,000000
02068,0%,-,-,-,-,-,0,000000
02070,0%,-,-,-,-,-,0,000000
02090,0%,-,-,-,-,-,0,000000
02100,0%,-,-,-,-,-,0,000000
02105,0%,-,-,-,-,-,0,000000
02110,0%,-,-,-,-,-,0,000000
02122,0%,-,-,-,-,-,0,000000
02130,0%,-,-,-,-,-,0,000000
02150,0%,-,-,-,-,-,0,000000
02164,0%,-,-,-,-,-,0,000000
02170,0%,-,-,-,-,-,0,000000
02180,0%,-,-,-,-,-,0,000000
02185,0%,-,-,-,-,-,0,000000
02188,0%,-,-,-,-,-,0,000000
02195,0%,-,-,-,-,-,0,000000
02198,0%,-,-,-,-,-,0,000000
02220,0%,-,-,-,-,-,0,000000
02230,0%,-,-,-,-,-,0,000000
02240,0%,-,-,-,-,-,0,000000
02261,0%,-,-,-,-,-,0,000000
02270,0%,-,-,-,-,-,0,000000
02275,0%,-,-,-,-,-,0,000000
02282,0%,-,-,-,-,-,0,000000
02290,0%,-,-,-,-,-,0,000000
04001,30.06%, 34.65%, 64.71%,-,-, 0.64%,0.6400000000000148%,5801a5
04003,20.28%, 59.55%, 39.27%,-,-, 1.18%,1.1800000000000068%,970364
04005,12.82%, 43.00%, 55.82%,-,-, 1.19%,1.1800000000000068%,6d038e
04007,19.30%, 59.12%, 39.82%,-,-, 1.05%,1.0600000000000023%,960265
04009,39.94%, 69.65%, 29.71%,-,-, 0.63%,0.6399999999999864%,b1014b
04011,24.55%, 61.92%, 37.37%,-,-, 0.72%,0.710000000000008%,9d015f
04012,25.87%, 62.42%, 36.55%,-,-, 1.03%,1.0300000000000011%,9f025d
04013,14.61%, 56.86%, 42.25%,-,-, 0.89%,0.8900000000000006%,90026b
04015,28.13%, 63.53%, 35.40%,-,-, 1.07%,1.0699999999999932%,a2025a
04017,7.60%, 53.32%, 45.72%,-,-, 0.96%,0.960000000000008%,870274
04019,5.99%, 46.56%, 52.55%,-,-, 0.89%,0.8900000000000006%,760286
04021,15.09%, 57.27%, 42.17%,-,-, 0.56%,0.5600000000000023%,92016b
04023,19.17%, 39.93%, 59.11%,-,-, 0.96%,0.960000000000008%,650296
04025,23.22%, 61.05%, 37.82%,-,-, 1.13%,1.1299999999999955%,9b0260
04027,15.97%, 57.58%, 41.61%,-,-, 0.81%,0.8100000000000023%,92026a
05001,9.78%, 54.55%, 44.77%,-,-, 0.68%,0.6800000000000068%,8b0172
05003,8.06%, 53.65%, 45.59%,-,-, 0.75%,0.7599999999999909%,880174
05005,21.58%, 60.05%, 38.47%,-,-, 1.47%,1.480000000000004%,990362
05007,37.90%, 68.37%, 30.47%,-,-, 1.17%,1.1599999999999966%,ae024d
05009,34.87%, 66.27%, 31.40%,-,-, 2.33%,2.3300000000000125%,a80550
05011,4.59%, 47.33%, 51.92%,-,-, 0.75%,0.75%,780184
05013,17.44%, 58.29%, 40.84%,-,-, 0.87%,0.8700000000000045%,940268
05015,19.30%, 59.00%, 39.70%,-,-, 1.30%,1.2999999999999972%,960365
05017,26.66%, 36.26%, 62.92%,-,-, 0.82%,0.8199999999999932%,5c02a0
05019,9.18%, 44.99%, 54.17%,-,-, 0.84%,0.8400000000000034%,72028a
05021,8.28%, 45.26%, 53.54%,-,-, 1.20%,1.2000000000000028%,730388
05023,22.02%, 60.43%, 38.41%,-,-, 1.16%,1.1599999999999966%,9a0261
05025,15.99%, 57.47%, 41.48%,-,-, 1.06%,1.0500000000000114%,920269
05027,16.36%, 57.82%, 41.46%,-,-, 0.73%,0.7199999999999989%,930169
05029,0.33%, 49.59%, 49.26%,-,-, 1.15%,1.1500000000000057%,7e027d
05031,7.22%, 53.08%, 45.85%,-,-, 1.07%,1.0699999999999932%,870274
05033,32.48%, 65.64%, 33.16%,-,-, 1.21%,1.2000000000000028%,a70354
05035,8.80%, 45.29%, 54.10%,-,-, 0.61%,0.6099999999999994%,730189
05037,10.31%, 54.62%, 44.32%,-,-, 1.06%,1.0600000000000023%,8b0271
05039,0.86%, 50.18%, 49.32%,-,-, 0.50%,0.5%,7f017d
05041,24.14%, 37.21%, 61.35%,-,-, 1.44%,1.4399999999999977%,5e039c
05043,4.96%, 52.20%, 47.24%,-,-, 0.56%,0.5600000000000023%,850178
05045,19.02%, 58.64%, 39.63%,-,-, 1.73%,1.7299999999999898%,950465
05047,16.09%, 57.36%, 41.27%,-,-, 1.37%,1.3700000000000045%,920369
05049,3.07%, 50.90%, 47.83%,-,-, 1.27%,1.2700000000000102%,810379
05051,9.20%, 54.13%, 44.93%,-,-, 0.95%,0.9399999999999977%,8a0272
05053,24.83%, 62.11%, 37.28%,-,-, 0.61%,0.6099999999999994%,9e015f
05055,4.82%, 51.86%, 47.04%,-,-, 1.10%,1.0999999999999943%,840277
05057,3.18%, 48.04%, 51.22%,-,-, 0.74%,0.7400000000000091%,7a0182
05059,0.49%, 49.40%, 48.91%,-,-, 1.69%,1.6899999999999977%,7d047c
05061,11.53%, 55.35%, 43.82%,-,-, 0.83%,0.8299999999999983%,8d026f
