id,margin,mccain,obama,other,hex_color
01001,47.84%, 73.61%, 25.77%, 0.61%,bb0141
01003,51.45%, 75.26%, 23.81%, 0.93%,bf023c
01005,1.45%, 50.44%, 48.99%, 0.58%,80017c
01007,45.85%, 72.44%, 26.60%, 0.96%,b80243
01009,69.51%, 84.02%, 14.51%, 1.47%,d60325
01011,48.38%, 25.69%, 74.07%, 0.24%,4100bc
01013,13.36%, 56.49%, 43.14%, 0.37%,90006e
01015,32.52%, 65.69%, 33.17%, 1.14%,a70254
01017,8.48%, 53.94%, 45.46%, 0.60%,890173
01019,51.23%, 74.89%, 23.66%, 1.45%,be033c
01021,57.84%, 78.49%, 20.66%, 0.85%,c80234
01023,7.44%, 53.50%, 46.06%, 0.44%,880175
01025,11.55%, 55.57%, 44.02%, 0.41%,8d0170
01027,47.28%, 73.09%, 25.81%, 1.10%,ba0241
01029,62.35%, 80.35%, 17.99%, 1.66%,cc042d
01031,48.89%, 74.12%, 25.23%, 0.65%,bd0140
01033,20.27%, 59.33%, 39.06%, 1.61%,970463
01035,0.59%, 49.98%, 49.39%, 0.63%,7f017d
01037,17.53%, 58.39%, 40.86%, 0.75%,940168
01039,58.30%, 78.82%, 20.52%, 0.65%,c80134
01041,37.85%, 68.65%, 30.81%, 0.54%,af014e
01043,65.24%, 81.85%, 16.61%, 1.54%,d0032a
01045,44.60%, 71.87%, 27.28%, 0.85%,b70245
01047,34.47%, 32.60%, 67.07%, 0.33%,5300ab
01049,51.21%, 74.77%, 23.56%, 1.67%,be043c
01051,50.93%, 75.12%, 24.19%, 0.69%,bf013d
01053,28.53%, 63.89%, 35.36%, 0.76%,a2015a
01055,38.22%, 68.39%, 30.17%, 1.44%,ae034c
01057,48.88%, 73.93%, 25.06%, 1.01%,bc023f
01059,39.16%, 68.83%, 29.67%, 1.51%,af034b
01061,62.48%, 80.78%, 18.31%, 0.91%,cd022e
01063,66.58%, 16.51%, 83.09%, 0.40%,2a01d3
01065,21.69%, 38.96%, 60.65%, 0.39%,63009a
01067,29.68%, 64.58%, 34.90%, 0.52%,a40158
01069,40.80%, 70.09%, 29.29%, 0.61%,b2014a
01071,36.93%, 67.47%, 30.54%, 2.00%,ac054d
01073,5.09%, 47.07%, 52.15%, 0.78%,780184
01075,53.78%, 76.59%, 22.81%, 0.59%,c3013a
01077,28.18%, 63.16%, 34.98%, 1.86%,a10459
01079,28.02%, 63.19%, 35.18%, 1.63%,a10459
01081,19.76%, 59.33%, 39.57%, 1.10%,970264
01083,41.91%, 70.33%, 28.42%, 1.24%,b30348
01085,50.01%, 24.86%, 74.87%, 0.27%,3f00be
01087,74.05%, 12.83%, 86.88%, 0.29%,2000dd
01089,14.94%, 56.88%, 41.93%, 1.19%,91036a
01091,3.57%, 48.09%, 51.66%, 0.25%,7a0083
01093,56.14%, 77.18%, 21.04%, 1.77%,c40435
01095,56.35%, 77.57%, 21.22%, 1.21%,c50336
01097,8.75%, 54.04%, 45.30%, 0.66%,890173
01099,10.22%, 54.88%, 44.66%, 0.46%,8b0171
01101,19.22%, 40.13%, 59.35%, 0.52%,660197
01103,43.76%, 71.26%, 27.49%, 1.25%,b50346
01105,45.10%, 27.26%, 72.37%, 0.37%,4500b8
01107,8.34%, 53.98%, 45.63%, 0.39%,890074
01109,15.23%, 57.36%, 42.13%, 0.52%,92016b
01111,39.59%, 69.10%, 29.51%, 1.40%,b0034b
01113,7.30%, 46.02%, 53.32%, 0.66%,750187
01115,63.24%, 81.11%, 17.87%, 1.02%,ce022d
01117,53.43%, 76.19%, 22.75%, 1.06%,c2023a
01119,50.33%, 24.66%, 74.99%, 0.36%,3e00bf
01121,18.52%, 58.80%, 40.28%, 0.92%,950266
01123,36.52%, 67.92%, 31.40%, 0.68%,ad0150
01125,15.98%, 57.54%, 41.56%, 0.90%,920269
01127,46.43%, 72.32%, 25.90%, 1.78%,b80442
01129,29.48%, 64.43%, 34.95%, 0.62%,a40159
01131,42.25%, 28.77%, 71.02%, 0.22%,4900b5
01133,63.26%, 80.78%, 17.52%, 1.70%,cd042c
02013,0%,-,-,-,000000
02016,0%,-,-,-,000000
02020,0%,-,-,-,000000
02050,0%,-,-,-,000000
02060,0%,-,-,-,000000
02068,0%,-,-,-,000000
02070,0%,-,-,-,000000
02090,0%,-,-,-,000000
02100,0%,-,-,-,000000
02105,0%,-,-,-,000000
02110,0%,-,-,-,000000
02122,0%,-,-,-,000000
02130,0%,-,-,-,000000
