id,margin,romney,obama,other,hex_color
01001,45.95%, 72.49%, 26.54%, 0.96%,b80243
01003,55.67%, 77.22%, 21.55%, 1.23%,c40336
01005,3.14%, 48.19%, 51.33%, 0.48%,7a0182
01007,46.67%, 72.83%, 26.15%, 1.02%,b90242
01009,73.93%, 86.27%, 12.34%, 1.38%,db031f
01011,52.80%, 23.51%, 76.31%, 0.19%,3b00c2
01013,7.50%, 53.54%, 46.03%, 0.43%,880175
01015,31.85%, 65.30%, 33.45%, 1.24%,a60355
01017,5.16%, 52.13%, 46.97%, 0.90%,840277
01019,54.88%, 76.65%, 21.77%, 1.57%,c30437
01021,60.25%, 79.68%, 19.43%, 0.89%,cb0231
01023,4.59%, 52.06%, 47.47%, 0.48%,840179
01025,8.20%, 53.90%, 45.70%, 0.40%,890174
01027,45.52%, 72.12%, 26.61%, 1.27%,b70343
01029,68.06%, 83.43%, 15.37%, 1.20%,d40327
01031,49.14%, 73.99%, 24.85%, 1.16%,bc023f
01033,20.35%, 59.44%, 39.10%, 1.46%,970363
01035,1.65%, 48.95%, 50.60%, 0.44%,7c0181
01037,16.24%, 57.72%, 41.48%, 0.80%,930269
01039,58.26%, 78.72%, 20.45%, 0.83%,c80234
01041,35.51%, 67.42%, 31.91%, 0.67%,ab0151
01043,69.30%, 83.92%, 14.62%, 1.46%,d50325
01045,42.05%, 70.47%, 28.42%, 1.11%,b30248
01047,39.71%, 29.99%, 69.70%, 0.31%,4c00b1
01049,54.66%, 76.54%, 21.87%, 1.59%,c30437
01051,48.67%, 73.86%, 25.19%, 0.95%,bc0240
01053,25.50%, 62.35%, 36.85%, 0.79%,9e025d
01055,38.30%, 68.34%, 30.04%, 1.62%,ae044c
01057,53.24%, 76.07%, 22.83%, 1.09%,c1023a
01059,40.40%, 69.54%, 29.14%, 1.31%,b1034a
01061,62.98%, 80.97%, 17.99%, 1.03%,ce022d
01063,69.57%, 15.05%, 84.62%, 0.34%,2600d7
01065,25.45%, 37.12%, 62.58%, 0.30%,5e009f
01067,29.03%, 64.20%, 35.17%, 0.63%,a30159
01069,40.26%, 69.72%, 29.46%, 0.83%,b1024b
01071,41.77%, 69.98%, 28.22%, 1.80%,b20447
01073,5.97%, 46.53%, 52.50%, 0.97%,760285
01075,53.11%, 76.05%, 22.94%, 1.02%,c1023a
01077,30.78%, 64.57%, 33.78%, 1.65%,a40456
01079,26.89%, 62.72%, 35.83%, 1.45%,9f035b
01081,19.84%, 59.08%, 39.23%, 1.69%,960464
01083,43.52%, 71.17%, 27.66%, 1.17%,b50246
01085,53.05%, 23.34%, 76.39%, 0.27%,3b00c2
