id,1988,1992,1996,2000,2004,2008,2012
1001,-35.7,-25,-29.2,-41,-52,-47.8,-46
1003,-46.8,-30.3,-35.5,-47.6,-53.9,-51.5,-55.6
1005,-12.6,3.5,13,0.9,-9.9,-1.4,3.1
1007,-12.5,-3.3,-4.2,-22,-44.5,-45.8,-46.6
1009,-31.5,-20.9,-26.1,-42.8,-62.6,-69.5,-74
1011,37.1,41.7,43.9,40,36.4,48.4,52.8
1013,-6.1,6.2,6.2,-6.7,-18.6,-13.4,-7.5
1015,-21.6,-9.8,-6.4,-16.7,-32.6,-32.5,-31.8
1017,-20,2,7.3,-3.5,-17.5,-8.4,-5.1
1019,5.1,18.7,16,-8.4,-31.9,-51.2,-54.9
1021,-39.1,-22,-17.9,-34.9,-54.3,-57.8,-60.3
1023,-1.9,11.5,20.3,1.5,-8.2,-7.4,-4.6
1025,-14.9,-4,0.4,-12.2,-18.5,-11.6,-8.2
1027,-36.1,-13.7,-7,-28.4,-41.5,-47.3,-45.5
1029,-37.6,-5.4,-7.6,-32.8,-51.4,-62.3,-68
1031,-34.3,-11.7,-18.6,-30.6,-48.5,-48.9,-49.2
1033,14.3,18.4,9.4,0.2,-10.8,-20.2,-20.3
1035,-3.7,10.9,14.9,1.5,-9.1,-0.6,1.6
1037,-12.8,7.5,9.6,-6.1,-17,-17.5,-16.2
1039,-35.5,-13.2,-12.6,-33.2,-52.6,-58.3,-58.2
1041,-17.4,1.2,5.2,-17.9,-37.8,-37.9,-35.5
1043,-25.2,-13.6,-18,-31.9,-53.3,-65.2,-69.3
1045,-44.9,-19.2,-24.8,-36,-50.1,-44.6,-42.1
1047,11.6,18.7,22,19.5,20.7,34.5,39.7
1049,-21.9,-10.5,-18,-28.4,-40.6,-51.2,-54.6
1051,-40.8,-25.2,-30.6,-42.6,-54.3,-50.9,-48.7
1053,-25.4,-8.9,-5.1,-21,-37.9,-28.5,-25.5
1055,-0.2,7.3,3.1,-9.3,-27.4,-38.2,-38.3
1057,-15.2,2.6,2.6,-19.5,-39.1,-48.8,-53.3
1059,-1.8,9.8,5.6,-11.9,-25.9,-39.1,-40.4
1061,-35.6,-12.4,-17.3,-39.9,-59.2,-62.5,-63
1063,51.4,62.7,61.7,60.4,59.1,66.6,69.6
1065,13.7,24.6,27,21.6,17,21.7,25.5
1067,-24.1,-2.6,-0.9,-18.4,-33,-29.7,-29
1069,-48,-28.5,-31,-39.7,-48.9,-40.8,-40.2
1071,9.7,26,16.4,3.3,-14.3,-37,-41.8
1073,-15.9,-8,-4.1,-3.2,-9,5.1,6
1075,-17.1,-6,-1.7,-25.1,-42.7,-53.8,-53.1
1077,-0.3,6.5,-1.5,-11.2,-20.3,-28.2,-30.8
1079,12.2,24,13.4,5.2,-11.2,-28,-26.9
1081,-30.4,-8.8,-15.2,-20.5,-26.3,-19.7,-19.9
1083,-24.6,-8.3,-13.6,-22.1,-36.4,-41.9,-43.5
1085,40.3,42.2,47.8,46.8,40.6,50,53.1
1087,65.1,69.9,73.6,74.4,66.2,74.1,74.2
1089,-34.8,-11.6,-8.1,-12.3,-18.7,-15,-18.6
1091,1.9,10.3,9.5,1.6,-2.1,3.6,7.2
1093,-13.8,3.6,2.8,-19.7,-40.2,-56.2,-61.4
1095,-24,-6.8,-15.5,-23.9,-45.5,-56.4,-59.9
1097,-22.5,-12.5,-9.2,-13.9,-18,-8.7,-9.2
1099,-20.9,-10.8,-6.5,-15.8,-22.7,-10.2,-7.7
1101,-17.6,-4,0.7,2,1.2,19.3,24.2
1103,-27.5,-13.6,-17.9,-22.8,-39,-43.8,-44.4
1105,25.5,32.4,39.9,39.6,36.7,45.1,50.2
1107,-10.7,1.9,9,-1.9,-13.7,-8.4,-7
1109,-21.2,-6.5,-7.4,-16.2,-26.5,-15.3,-13.7
1111,-29.9,-6.1,-4,-19.8,-36.8,-39.6,-39.8
1113,2,19.5,20.5,14.9,0.2,7.3,11.7
1115,-41.8,-27.5,-32.1,-44.2,-61.9,-63.2,-65.9
1117,-58,-46.6,-50.9,-55.5,-61.6,-53.4,-55.4
1119,32.8,42.8,48.7,45.7,41.2,50.3,54.5
1121,-21.7,-7.5,-2.4,-9.9,-23.3,-18.5,-16
1123,-29.3,-15.8,-10.5,-22.3,-38.6,-36.5,-32.3
1125,-20.2,-6.8,-9,-15.7,-23.5,-15.9,-17.4
1127,1.4,11.9,12.4,-7.3,-35.8,-46.4,-52.8
1129,-4.7,9.5,13.4,-9.6,-23.3,-29.4,-31.7
1131,31.8,33.3,38.1,34.8,35.2,42.2,48.7
1133,-35.6,-21.2,-18.6,-39.9,-56.5,-63.3,-72.2
4001,24.7,36.3,40.8,36.3,30.1,28.1,34.4
4003,-14.3,1.5,-1.8,-14.5,-20.2,-20.5,-22.3
4005,-6.2,12,17.8,6.6,12.8,17,15.5
4007,-4.7,9.7,12.5,-8.2,-19.3,-27.7,-26.7
4009,-19.8,-8,-3,-27.5,-40,-40.5,-37.5
4011,6.3,6.1,17.5,-13.6,-24.5,-18.7,-9.4
4012,-18.6,4.2,1.4,-17.2,-25.9,-28.3,-32
4013,-31,-8.5,-2.7,-10.3,-14.7,-10.5,-10.7
4015,-26.4,-1.1,-3.3,-15.6,-28.1,-32.7,-42.1
4017,-6.9,11.8,14.7,-2.4,-7.6,-11.6,-7.9
4019,-1.8,11.2,12.8,8,6,6,6.9
4021,-3.8,10.3,17.8,-1.1,-15.1,-14.4,-16.3
4023,-0.8,6.1,36.6,21.2,19.2,31.2,37.8
4025,-30.8,-8.7,-13.7,-23.5,-23.2,-24.3,-30.3
4027,-19.2,-4.5,-2.7,-12.7,-16,-13.7,-12.6
5001,-12.9,26.5,34.5,-7.4,-9.7,-22.5,-22.2
5003,4.1,33.3,31.2,4.5,-8.1,-28.2,-25.3
5005,-28,8.5,-1.2,-18.1,-21.6,-31.6,-44.1
5007,-43.6,-12.4,-14.3,-32.7,-37.9,-36.5,-40.3
5009,-30.2,0.2,-2.6,-29.8,-34.9,-39.6,-48
5011,1.9,30.5,35.8,8.2,4.6,-14.4,-18.7
5013,-12.4,12.7,25.3,-5.1,-17.5,-34.7,-36.7
5015,-26.5,2.7,-3,-20.4,-19.3,-18.1,-23.8
5017,12.1,44.3,46.3,28.2,26.6,17.7,22.4
5019,15.8,37.7,39,10.2,9.2,-3.8,-6.3
5021,10.9,45.2,39.8,21.6,8.2,-14.3,-29.1
5023,-18.2,15.1,7.1,-15.7,-22,-44.2,-52.1
5025,-2,22.6,24.9,-8.3,-16,-43.9,-44.9
5027,-21.5,10.6,15.1,-10.9,-16.3,-24.1,-23.6
5029,0.8,25.7,24,-0.7,-0.3,-18.9,-19.5
5031,-13,18.8,16.5,0.9,-7.2,-24.5,-31
5033,-43,-1.4,-2.7,-25.6,-32.4,-46,-49.9
5035,-5.1,22.1,26.3,10.3,8.8,14.7,14.9
5037,-3.2,25.1,26.4,1,-10.3,-25.4,-29.8
5039,1.1,16.6,31.4,4.2,-0.9,-8.7,-10.6
5041,9.7,45.1,49.4,26.1,24.2,12.2,12.4
5043,-7.4,28.7,33.7,5.2,-5,-19.1,-18.9
5045,-18.5,14,7.7,-14.1,-19,-25.3,-31.6
5047,-18.5,10.8,16.5,-9.8,-16.1,-39.2,-44.4
5049,2.5,33.1,23.9,-1.5,-3.1,-18.9,-33.1
5051,-24.9,16.5,15.4,-9,-9.2,-25,-30
5053,-11.7,14.8,18.5,-12.4,-24.8,-50.9,-51.8
5055,-1,32.7,24.9,3.9,-4.9,-29.6,-36.8
5057,-1.3,34.6,39.2,9.3,3.2,-19.1,-26.2
5059,9.6,30.8,30.9,4.4,-0.5,-24.4,-29
5061,-16,20.9,27.3,-5.9,-11.6,-25,-31.8
5063,-18.8,22.2,19.1,-8.6,-15.3,-37.1,-43.9
5065,-3.1,33.8,22.3,5.7,-4.5,-26.9,-38.8
5067,15.8,40.9,42.7,22.6,14.3,-16.4,-18.3
5069,13.9,45.1,48.3,32.9,31,26.3,29
5071,-17.7,18.3,17.9,-5.4,-8.6,-23.1,-27.9
5073,1.5,27.2,38.8,7.9,-1.2,-19.1,-18.5
5075,-0.4,29.1,29.8,10.4,9,-20.9,-31.5
5077,21.1,42.3,49.6,33.4,25.9,21.5,24.1
5079,17.1,38.2,43.9,12.2,5.5,-18.2,-20.8
5081,7.7,32.3,34.7,11.4,2,-29,-36.3
5083,-27.1,6.8,10.8,-14.8,-20.1,-38.8,-41.9
5085,-20.1,10.8,10.2,-20.9,-31.6,-47.5,-50.8
5087,-18.4,3.4,3.8,-23.7,-22.8,-28.9,-32.9
5089,-18.5,11.7,7,-19.5,-22.2,-29.9,-38.8
5091,-13.2,12.1,12.7,-7.2,-15.8,-33.5,-39.8
5093,-7.3,33.5,32.8,15.2,10.4,-2.2,-1
5095,4.8,29.3,36.9,17.6,12.6,-4.1,-0.1
5097,-12.5,18.8,20,-18.4,-21.3,-35.2,-42.6
5099,0.5,26,35.7,1.9,-1.7,-16.1,-20.2
5101,-25.1,0.9,-7.1,-33.7,-29.1,-35.6,-41.4
5103,-8.9,29.8,32.9,7,-1.5,-10.9,-8.6
5105,-5,21.2,21,-11.7,-11.6,-32.5,-35.4
5107,17.1,38.2,41,30.7,28,29,32.8
5109,-11.1,13.9,22.5,-16.9,-20.9,-41.3,-52.7
5111,3,34,35.7,15.4,6.7,-27.2,-34.2
5113,-26,5.6,-0.4,-31.8,-34.9,-45.8,-57
5115,-34,-2,1,-24.8,-31.1,-43.3,-47.1
5117,-7.1,30.6,33.1,-8.5,-12.9,-34.7,-40.5
5119,-11.5,23.1,23.7,9.8,10.8,11.6,11.4
5121,4.1,34.1,25.2,5.9,3.8,-18.1,-27.7
5123,3.9,30.7,35.1,18.5,19.5,16.5,18.4
5125,-18.7,10,8.1,-18.3,-27.2,-41,-42.7
5127,-18.7,11.6,19.4,-24,-25.8,-43.5,-47.7
5129,-33.9,-2.4,-2.9,-34,-30,-45.9,-51.1
5131,-42.8,-0.6,-2.7,-19.8,-24.5,-34.7,-37.1
5133,-5,19.2,26.5,-0.4,-10.5,-40,-48.3
5135,-10.1,17.8,13.5,-6.5,-11.1,-28.9,-38.9
5137,-11.6,18.8,15.7,-12,-16.9,-36.4,-45.2
5139,-26.9,8,14.5,-15.3,-19.2,-26.2,-26.2
5141,-15.4,16.4,17.3,-4.1,-9.2,-31.7,-39.4
5143,-30.1,3.6,2.1,-13.3,-12.6,-13.1,-16.2
5145,-22.6,9.1,7.3,-21.8,-29.8,-47.2,-53.8
5147,27.2,54.8,50.7,30.2,31.5,7.4,4.2
5149,-12.2,21.7,24.6,-2.4,-11.5,-29.9,-38.9
6001,30.8,42.4,42.7,45.3,51.9,59.3,60.6
6003,-13.7,-1.1,-1,-2.8,8.8,24.5,23.4
6005,-13.8,-1.3,-6.9,-18.5,-25.5,-14.5,-19.5
6007,-13.6,1,-10.5,-17,-9.6,2.4,-2
6009,-14.5,-0.1,-9.5,-18.6,-23.8,-12.9,-16.9
6011,-20.4,-14,-17.7,-33.7,-35.6,-18.1,-21.3
6013,3.2,21.4,20.5,21.7,25.8,37.6,35.1
6015,-1.7,5.9,-0.2,-17,-15.6,-6.7,-9.4
6017,-20.2,-7.5,-15.5,-22,-23.9,-10.5,-17.8
6019,-1.1,1.5,-2.1,-10.1,-15.7,2.1,1.8
6021,-25.8,-13,-24.9,-37.8,-35,-22,-25.3
6023,15.9,17.6,8.7,2.9,18.7,28.1,27.1
6025,-11.4,5.4,18.5,10.2,6,26.1,32.1
6027,-30.4,-11.8,-17.4,-26.4,-20.2,-9.1,-11.4
6029,-24.1,-11.3,-17.2,-24.5,-34,-17.7,-16.7
6031,-13.8,-2.7,-4.3,-18.8,-31.7,-14.1,-14.9
6033,2.4,16.6,13.9,9.6,8.3,19.2,17
6035,-19.4,-4.3,-19,-38.7,-43.4,-34.1,-39.5
6037,5,23.5,28.3,31.1,27.5,40.4,41.9
6039,-10.8,-7.3,-17.1,-25.8,-29.3,-13.2,-17.1
6041,19.1,35,29.8,36,47.8,57.6,51.2
6043,-11.1,0.5,-13.3,-23.6,-22.7,-12.3,-18.2
6045,13.5,28.4,15.8,12.6,29.8,42.6,38.5
6047,-3.8,4.4,2,-6.7,-14.2,8.3,8.7
6049,-27.4,-6.8,-21.3,-49.3,-46.7,-37.7,-41.5
6051,-25.2,-1.9,-7.4,-11.6,0.1,13.2,8.7
6053,-1,15.8,16.5,20.3,22,38.3,36.8
6055,-2.1,16,14.8,14.4,20.5,32.4,28.7
6057,-17.3,-4.3,-14.8,-17.6,-8.5,5.3,-0.7
6059,-36.6,-12.3,-13.8,-15.4,-20.7,-2.6,-6.3
6061,-20.6,-8.2,-15.7,-23.3,-26.3,-11.3,-19.3
6063,-3.9,1.4,-14,-27.8,-24.8,-11.9,-16.9
6065,-19.9,1.5,-2.6,-6.5,-16.8,2.3,1.6
6067,-3.3,8.2,9,4,0.2,19,19
6069,-9.9,9.7,11.9,12.6,6.1,22.7,20.6
